"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,86,-1642,7.65986568975644,40037.3572558265
"2000/2001",2001,123,123,100,68,-1883.5,6.27930279822429,41430.282120289
"2001/2002",2002,123,123,100,42,-1876.5,4.80090495259396,42295.5664988231
"2002/2003",2003,123,123,100,69,-1647,8.94535505208979,40667.3373967701
"2003/2004",2004,123,123,100,39,-1753,4.87096044513339,41701.9556197292
"2004/2005",2005,123,123,100,42,-1861.5,6.90615661673833,41092.5938418641
"2005/2006",2006,123,123,100,76,-1718.5,8.40839633673413,41048.5065096109
"2006/2007",2007,123,123,100,80,-1563.5,12.1325412556398,38617.4913281098
"2007/2008",2008,123,123,100,117,-1963,7.42297967475596,40434.0821286481
"2008/2009",2009,123,123,100,122,-1736,8.73060293190643,40416.5318899293
"2009/2010",2010,123,123,100,48,-1590.5,10.0348024307635,40078.2636552181
"2010/2011",2011,123,123,100,24,-2093,2.01765685014338,44285.3111829776
"2011/2012",2012,123,123,100,136,-1607,13.5871650242816,39617.4526956819
"2012/2013",2013,123,123,100,102,-1415,10.8246020912895,38865.0342435753
"2013/2014",2014,123,123,100,32,-1835,7.42358487365263,41078.5717449028
"2014/2015",2015,123,123,100,67,-1766,8.04743110658207,40248.5114118571
"2015/2016",2016,123,123,100,50,-2049.5,3.53005821339596,43104.8835966997
"2016/2017",2017,123,123,100,32,-2243.5,2.22551709211731,42854.8693400559
"2017/2018",2018,123,123,100,30,-2008.5,4.71666165119677,41469.6315583207
"2018/2019",2019,123,123,100,191,-1368,16.2559195124393,37555.3557564854
"2019/2020",2020,123,123,100,87,-1790,5.12793126159326,41823.8093850394
"2020/2021",2021,123,123,100,42,-1769,6.00396227016361,41216.5167717342
"2021/2022",2022,123,123,100,63,-2068,3.96572289952437,42602.7656091438
"2022/2023",2023,123,123,100,55,-2079,7.55805901528734,43300.4046380399
"2023/2024",2024,123,123,100,57,-1600,6.85644670867589,39328.3512907685
"2024/2025",2025,123,123,100,97,-1827,10.264016971239,39966.3060651598
