"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2552.5,0,51258.3794898181
"2000/2001",2001,123,123,100,0,-2438.5,0,50660.0964532108
"2001/2002",2002,123,123,100,0,-2589.5,0,51799.2826568563
"2002/2003",2003,123,123,100,0,-2589.5,0,51937.0695867197
"2003/2004",2004,123,123,100,0,-2563.5,0,51872.5387368194
"2004/2005",2005,123,123,100,0,-2581,0,51049.5464255165
"2005/2006",2006,123,123,100,0,-2487,0,50344.7553176516
"2006/2007",2007,123,123,100,0,-2590,0,51513.6113405796
"2007/2008",2008,123,123,100,0,-2582.5,0,50781.0206482548
"2008/2009",2009,123,123,100,0,-2560,0,51504.7043208308
"2009/2010",2010,123,123,100,0,-2653.5,0,52430.1825565863
"2010/2011",2011,123,123,100,0,-2481,0,50454.1194344535
"2011/2012",2012,123,123,100,0,-2583.5,0,52105.1114350874
"2012/2013",2013,123,123,100,0,-2628,0,52551.6611401821
"2013/2014",2014,123,123,100,0,-2500.5,0,50430.0141464141
"2014/2015",2015,123,123,100,0,-2586.5,0,51888.8708659355
"2015/2016",2016,123,123,100,0,-2503,0,50803.1768628745
"2016/2017",2017,123,123,100,0,-2415.5,0,49953.1906130891
"2017/2018",2018,123,123,100,1,-2329.5,0,49438.5594292358
"2018/2019",2019,123,123,100,0,-2663,0,52509.3870088952
"2019/2020",2020,123,123,100,0,-2588,0,51238.8282215931
"2020/2021",2021,123,123,100,0,-2629,0,52018.5519061121
"2021/2022",2022,123,123,100,0,-2517,0,50807.6652230876
"2022/2023",2023,123,123,100,0,-2424,0,49901.8412360828
"2023/2024",2024,123,123,100,0,-2719.5,0,52959.7465223931
"2024/2025",2025,123,123,100,0,-2539,0,50593.5094148312
"2025/2026",2026,123,123,100,0,-2477,0,50594.7450639829
"2026/2027",2027,123,123,100,0,-2603,0,51493.2069221754
"2027/2028",2028,123,123,100,0,-2546.5,0,50738.3593675606
"2028/2029",2029,123,123,100,0,-2595.5,0,52085.4964781562
"2029/2030",2030,123,123,100,0,-2581,0,50994.003883495
"2030/2031",2031,123,123,100,0,-2548.5,0,51174.6877604928
"2031/2032",2032,123,123,100,0,-2475.5,0,50807.4192208136
"2032/2033",2033,123,123,100,0,-2644.5,0,52760.8321746327
"2033/2034",2034,123,123,100,0,-2675,0,52044.0706547014
"2034/2035",2035,123,123,100,0,-2430,0,49821.3409330379
"2035/2036",2036,123,123,100,0,-2413.5,0,49898.4680944635
"2036/2037",2037,123,123,100,0,-2575,0,51354.15792285
"2037/2038",2038,123,123,100,0,-2660,0,52095.6367943343
"2038/2039",2039,123,123,100,0,-2625,0,51446.758022286
"2039/2040",2040,123,123,100,0,-2525,0,51165.8351912498
"2040/2041",2041,123,123,100,0,-2608.5,0,51565.4094434706
"2041/2042",2042,123,123,100,0,-2585.5,0,51785.2146491231
"2042/2043",2043,123,123,100,0,-2611,0,51319.1097581843
"2043/2044",2044,123,123,100,0,-2476.5,0,50616.8802811895
"2044/2045",2045,123,123,100,0,-2399.5,0,49791.0804470396
"2045/2046",2046,123,123,100,0,-2275.5,0,48988.9527084129
"2046/2047",2047,123,123,100,0,-2571,0,51058.0895971395
"2047/2048",2048,123,123,100,0,-2515,0,51145.2923826333
"2048/2049",2049,123,123,100,0,-2617,0,52041.786212788
"2049/2050",2050,123,123,100,0,-2530.5,0,50855.1659982391
"2050/2051",2051,123,123,100,0,-2586.5,0,51328.7683630446
"2051/2052",2052,123,123,100,0,-2730,0,52595.8206215873
"2052/2053",2053,123,123,100,0,-2588.5,0,51829.5663037915
"2053/2054",2054,123,123,100,0,-2629.5,0,51463.9702342432
"2054/2055",2055,123,123,100,0,-2685.5,0,52423.2404286154
"2055/2056",2056,123,123,100,0,-2647.5,0,52576.7265718114
"2056/2057",2057,123,123,100,0,-2613.5,0,51829.5612154324
"2057/2058",2058,123,123,100,0,-2635.5,0,52778.2698771283
"2058/2059",2059,123,123,100,0,-2603.5,0,51623.4519986399
"2059/2060",2060,123,123,100,0,-2638,0,52319.7092069462
"2060/2061",2061,123,123,100,0,-2471,0,50805.2142249346
"2061/2062",2062,123,123,100,0,-2588.5,0,51776.8532922193
"2062/2063",2063,123,123,100,0,-2574,0,51458.6577114034
"2063/2064",2064,123,123,100,0,-2680,0,52510.3413280118
"2064/2065",2065,123,123,100,0,-2555,0,51295.5030320026
"2065/2066",2066,123,123,100,0,-2590.5,0,51593.4625744503
"2066/2067",2067,123,123,100,0,-2649,0,52252.3260018788
"2067/2068",2068,123,123,100,0,-2507,0,50910.7178208232
"2068/2069",2069,123,123,100,0,-2520.5,0,50551.5070678852
"2069/2070",2070,123,123,100,1,-2587,0,51067.6895940546
"2070/2071",2071,123,123,100,0,-2731.5,0,52912.6126772072
"2071/2072",2072,123,123,100,0,-2630,0,52398.6896396764
"2072/2073",2073,123,123,100,0,-2801.5,0,53858.6443796251
"2073/2074",2074,123,123,100,0,-2745.5,0,53393.7725521307
"2074/2075",2075,123,123,100,0,-2644,0,52229.3888086993
"2075/2076",2076,123,123,100,0,-2561,0,51535.8489458356
"2076/2077",2077,123,123,100,0,-2492.5,0,50275.5892353822
"2077/2078",2078,123,123,100,0,-2617,0,52267.6033596713
"2078/2079",2079,123,123,100,0,-2631,0,51880.8050744459
"2079/2080",2080,123,123,100,0,-2625,0,51668.8747325316
"2080/2081",2081,123,123,100,0,-2694,0,52677.2914967015
"2081/2082",2082,123,123,100,0,-2667.5,0,52677.8886316046
"2082/2083",2083,123,123,100,0,-2491.5,0,50798.450433271
"2083/2084",2084,123,123,100,0,-2631,0,51691.1581743658
"2084/2085",2085,123,123,100,0,-2526,0,51206.5827965289
"2085/2086",2086,123,123,100,0,-2397.5,0,49927.999518618
"2086/2087",2087,123,123,100,0,-2794.5,0,53561.3838682882
"2087/2088",2088,123,123,100,0,-2523,0,50895.8914114721
"2088/2089",2089,123,123,100,0,-2508.5,0,50586.8826333527
"2089/2090",2090,123,123,100,0,-2612,0,51671.4452483673
"2090/2091",2091,123,123,100,1,-2475.5,0,51016.843598472
"2091/2092",2092,123,123,100,0,-2652.5,0,52190.122132482
"2092/2093",2093,123,123,100,0,-2239.5,0,48403.6946565174
"2093/2094",2094,123,123,100,0,-2399.5,0,49933.4477038588
"2094/2095",2095,123,123,100,0,-2680.5,0,52181.0134562552
"2095/2096",2096,123,123,100,0,-2652.5,0,52862.351958435
"2096/2097",2097,123,123,100,0,-2520.5,0,50965.032758465
"2097/2098",2098,123,123,100,0,-2456,0,50506.4627327584
"2098/2099",2099,123,123,100,0,-2633,0,51677.2883534636
"2099/2100",2100,123,123,100,0,-2466.5,0,50314.4546710104
