"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2581.5,0,51758.3241239769
"2000/2001",2001,123,123,100,0,-2488.5,0,51242.8697684723
"2001/2002",2002,123,123,100,0,-2619,0,52382.6468238193
"2002/2003",2003,123,123,100,0,-2611,0,52463.3459413842
"2003/2004",2004,123,123,100,0,-2598,0,52403.1563980373
"2004/2005",2005,123,123,100,0,-2628,0,51582.9428346844
"2005/2006",2006,123,123,100,0,-2512,0,50858.8267332882
"2006/2007",2007,123,123,100,0,-2599,0,51889.9468089927
"2007/2008",2008,123,123,100,0,-2635,0,51321.9491864545
"2008/2009",2009,123,123,100,0,-2580.5,0,52008.2426406466
"2009/2010",2010,123,123,100,0,-2700,0,52872.5923829486
"2010/2011",2011,123,123,100,0,-2522,0,51062.8659038402
"2011/2012",2012,123,123,100,0,-2605.5,0,52590.2693630941
"2012/2013",2013,123,123,100,0,-2661,0,53018.1524763142
"2013/2014",2014,123,123,100,0,-2545.5,0,50960.755344511
"2014/2015",2015,123,123,100,0,-2636,0,52473.6485733693
"2015/2016",2016,123,123,100,0,-2542.5,0,51433.0321827303
"2016/2017",2017,123,123,100,0,-2473,0,50594.6464604787
"2017/2018",2018,123,123,100,2,-2383,0,50005.2004845156
"2018/2019",2019,123,123,100,0,-2679,0,52805.4519811575
"2019/2020",2020,123,123,100,0,-2628,0,51787.433243664
"2020/2021",2021,123,123,100,0,-2658,0,52571.8005081052
"2021/2022",2022,123,123,100,0,-2560,0,51424.3982979655
"2022/2023",2023,123,123,100,0,-2471,0,50448.3272425919
"2023/2024",2024,123,123,100,0,-2749.5,0,53457.2727282592
"2024/2025",2025,123,123,100,0,-2559,0,51098.1216743276
"2025/2026",2026,123,123,100,0,-2515,0,51080.2742899247
"2026/2027",2027,123,123,100,0,-2648.5,0,52106.7841967605
"2027/2028",2028,123,123,100,0,-2584.5,0,51334.6912743216
"2028/2029",2029,123,123,100,0,-2631,0,52579.4917107532
"2029/2030",2030,123,123,100,0,-2620,0,51628.7066683043
"2030/2031",2031,123,123,100,0,-2600,0,51593.7109374031
"2031/2032",2032,123,123,100,0,-2529.5,0,51339.2979349233
"2032/2033",2033,123,123,100,0,-2682.5,0,53225.0378689514
"2033/2034",2034,123,123,100,0,-2701.5,0,52590.2870186092
"2034/2035",2035,123,123,100,0,-2471,0,50432.6519749751
"2035/2036",2036,123,123,100,0,-2443,0,50460.4620314995
"2036/2037",2037,123,123,100,0,-2626,0,51904.8691722965
"2037/2038",2038,123,123,100,0,-2700,0,52587.946952601
"2038/2039",2039,123,123,100,0,-2664.5,0,52071.3718615305
