"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2811,0,55136.2035641815
"2000/2001",2001,123,123,100,0,-2766.5,0,54841.0625663818
"2001/2002",2002,123,123,100,0,-2846.5,0,55957.3669070966
"2002/2003",2003,123,123,100,0,-2833.5,0,55699.5929291709
"2003/2004",2004,123,123,100,0,-2831,0,55807.494794229
"2004/2005",2005,123,123,100,0,-2858.5,0,54869.8867106134
"2005/2006",2006,123,123,100,0,-2760.5,0,54209.0664766488
"2006/2007",2007,123,123,100,0,-2826.5,0,55440.3122380341
"2007/2008",2008,123,123,100,0,-2875.5,0,54839.1086846197
"2008/2009",2009,123,123,100,0,-2814.5,0,55031.2761560602
"2009/2010",2010,123,123,100,0,-2906.5,0,55646.073758729
"2010/2011",2011,123,123,100,0,-2819,0,54433.2657803672
"2011/2012",2012,123,123,100,0,-2836,0,55779.8258593348
"2012/2013",2013,123,123,100,0,-2858,0,55860.817660525
"2013/2014",2014,123,123,100,0,-2814.5,0,53937.1216858723
"2014/2015",2015,123,123,100,0,-2851.5,0,55630.575662869
"2015/2016",2016,123,123,100,0,-2799,0,55036.2994287489
"2016/2017",2017,123,123,100,0,-2798,0,54320.6022705887
"2017/2018",2018,123,123,100,0,-2716.5,0,53441.3096563704
"2018/2019",2019,123,123,100,0,-2850,0,55671.2776565519
"2019/2020",2020,123,123,100,0,-2846.5,0,54760.7771144654
"2020/2021",2021,123,123,100,0,-2868,0,55940.707104892
"2021/2022",2022,123,123,100,0,-2845,0,54809.5159983137
"2022/2023",2023,123,123,100,0,-2796,0,53943.2116440968
"2023/2024",2024,123,123,100,0,-2911,0,56446.4915704112
"2024/2025",2025,123,123,100,0,-2830.5,0,54952.4680320569
"2025/2026",2026,123,123,100,0,-2770,0,54474.3091782257
"2026/2027",2027,123,123,100,0,-2848.5,0,55316.6547742374
"2027/2028",2028,123,123,100,0,-2842,0,55042.7041612528
"2028/2029",2029,123,123,100,0,-2849,0,55810.4662368391
"2029/2030",2030,123,123,100,0,-2844,0,55205.3451393414
"2030/2031",2031,123,123,100,0,-2847.5,0,54447.6073215595
"2031/2032",2032,123,123,100,0,-2829,0,54847.4570338177
"2032/2033",2033,123,123,100,0,-2875.5,0,55856.3528631572
"2033/2034",2034,123,123,100,0,-2878.5,0,55639.9726232998
"2034/2035",2035,123,123,100,0,-2755,0,54197.8274646485
"2035/2036",2036,123,123,100,0,-2734.5,0,54112.0766369961
"2036/2037",2037,123,123,100,0,-2844.5,0,55273.7791475579
"2037/2038",2038,123,123,100,0,-2882,0,54972.6728052236
"2038/2039",2039,123,123,100,0,-2875.5,0,55550.1238913061
"2039/2040",2040,123,123,100,0,-2832.5,0,54874.4165948201
"2040/2041",2041,123,123,100,0,-2857.5,0,55605.7259059735
"2041/2042",2042,123,123,100,0,-2858.5,0,55264.6971311169
"2042/2043",2043,123,123,100,0,-2854.5,0,55436.7776973043
"2043/2044",2044,123,123,100,0,-2778.5,0,54733.381399896
"2044/2045",2045,123,123,100,0,-2809,0,53912.451763439
"2045/2046",2046,123,123,100,0,-2720,0,53525.4650685294
"2046/2047",2047,123,123,100,0,-2856,0,55327.9205747228
"2047/2048",2048,123,123,100,0,-2821,0,55132.7966323122
"2048/2049",2049,123,123,100,0,-2837.5,0,55912.7320771692
"2049/2050",2050,123,123,100,0,-2778.5,0,53998.1431424189
"2050/2051",2051,123,123,100,0,-2849,0,55067.7552301837
"2051/2052",2052,123,123,100,0,-2910,0,55787.8614931898
"2052/2053",2053,123,123,100,0,-2855,0,55048.0484556593
"2053/2054",2054,123,123,100,0,-2876.5,0,55287.1057203189
"2054/2055",2055,123,123,100,0,-2880,0,56140.7132924329
"2055/2056",2056,123,123,100,0,-2846.5,0,55882.3398816865
"2056/2057",2057,123,123,100,0,-2831.5,0,55419.5448973384
"2057/2058",2058,123,123,100,0,-2843.5,0,55880.9228667412
"2058/2059",2059,123,123,100,0,-2860,0,55674.8686867505
"2059/2060",2060,123,123,100,0,-2852.5,0,55912.0737116374
"2060/2061",2061,123,123,100,0,-2777.5,0,54602.8409199566
"2061/2062",2062,123,123,100,0,-2809.5,0,55359.9895479418
"2062/2063",2063,123,123,100,0,-2835.5,0,55409.3128483016
"2063/2064",2064,123,123,100,0,-2888.5,0,55671.1728424281
"2064/2065",2065,123,123,100,0,-2839.5,0,55148.7995716278
"2065/2066",2066,123,123,100,0,-2829.5,0,55595.1943751965
"2066/2067",2067,123,123,100,0,-2881,0,55627.2738264576
"2067/2068",2068,123,123,100,0,-2824.5,0,54874.0588342454
"2068/2069",2069,123,123,100,0,-2842,0,54888.4855922032
"2069/2070",2070,123,123,100,0,-2827.5,0,55086.3229403235
"2070/2071",2071,123,123,100,0,-2897.5,0,56233.5648152065
"2071/2072",2072,123,123,100,0,-2870.5,0,55921.3234158903
"2072/2073",2073,123,123,100,0,-2937,0,57535.4978983123
"2073/2074",2074,123,123,100,0,-2888.5,0,56211.1471551452
"2074/2075",2075,123,123,100,0,-2851.5,0,55954.3889220525
"2075/2076",2076,123,123,100,0,-2839.5,0,55661.8525405843
"2076/2077",2077,123,123,100,0,-2786.5,0,54489.5943478141
"2077/2078",2078,123,123,100,0,-2860,0,55677.0803848989
"2078/2079",2079,123,123,100,0,-2856.5,0,55724.0891162157
"2079/2080",2080,123,123,100,0,-2847.5,0,55775.0706854798
"2080/2081",2081,123,123,100,0,-2895,0,55665.6047959272
"2081/2082",2082,123,123,100,0,-2865,0,55999.952483017
"2082/2083",2083,123,123,100,0,-2803,0,54417.792373592
