"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-1548.5,0,43421.9733869654
"2000/2001",2001,123,123,100,0,-1662.5,0,44331.0415026814
"2001/2002",2002,123,123,100,11,-1547,0,43354.3409105009
"2002/2003",2003,123,123,100,0,-1540.5,0,43310.8379846527
"2003/2004",2004,123,123,100,0,-1587,0,43719.9810027492
"2004/2005",2005,123,123,100,5,-1556,0,43662.2649650549
"2005/2006",2006,123,123,100,6,-1631.5,0,44113.383479927
"2006/2007",2007,123,123,100,2,-1538,1.00400903790272,43154.6618701026
"2007/2008",2008,123,123,100,6,-1611,0,43580.1930053011
"2008/2009",2009,123,123,100,0,-1544,0,43170.5637309251
"2009/2010",2010,123,123,100,0,-1480.5,0,42890.1682565771
"2010/2011",2011,123,123,100,3,-1640,0,44591.6197631441
"2011/2012",2012,123,123,100,2,-1540.5,0,43332.2116964015
"2012/2013",2013,123,123,100,4,-1468,0,42830.1924234245
"2013/2014",2014,123,123,100,0,-1597,0,43854.7170057984
"2014/2015",2015,123,123,100,0,-1527,0,42954.8605363239
"2015/2016",2016,123,123,100,0,-1601.5,0,43899.73107102
"2016/2017",2017,123,123,100,0,-1697,0,44585.2795868078
"2017/2018",2018,123,123,100,0,-1729.5,0,44961.221308135
"2018/2019",2019,123,123,100,20,-1435,1.96964673167909,42445.8328931541
"2019/2020",2020,123,123,100,5,-1500.5,0,43240.6967042168
"2020/2021",2021,123,123,100,0,-1577.5,0,43478.7908031852
"2021/2022",2022,123,123,100,2,-1607,0,44115.1251032813
"2022/2023",2023,123,123,100,0,-1721,1.00783463038491,44987.3609546633
"2023/2024",2024,123,123,100,2,-1436.5,0,42491.1913480037
"2024/2025",2025,123,123,100,0,-1623.5,1.00601430796403,43615.1086918898
"2025/2026",2026,123,123,100,3,-1586.5,2.00012006424845,43570.3849203358
"2026/2027",2027,123,123,100,0,-1576,0,43877.0747970375
"2027/2028",2028,123,123,100,2,-1615.5,0,43792.1359212864
"2028/2029",2029,123,123,100,9,-1523,0,42928.7965590218
"2029/2030",2030,123,123,100,8,-1605,0,44071.903226261
"2030/2031",2031,123,123,100,0,-1535.5,0,43201.4569943026
"2031/2032",2032,123,123,100,4,-1650,0,44505.6308415979
"2032/2033",2033,123,123,100,3,-1442,0,42465.8029693961
"2033/2034",2034,123,123,100,0,-1512.5,0,43160.9334158879
"2034/2035",2035,123,123,100,0,-1724.5,0,45130.2507917034
"2035/2036",2036,123,123,100,0,-1704.5,0,44954.2579969224
