"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-1680,0,44378.1788519946
"2000/2001",2001,123,123,100,0,-1773.5,0,45210.2375731683
"2001/2002",2002,123,123,100,7,-1660.5,0,44181.964717476
"2002/2003",2003,123,123,100,0,-1650,0,44215.4787227744
"2003/2004",2004,123,123,100,0,-1691.5,0,44588.9900565901
"2004/2005",2005,123,123,100,0,-1674,0,44574.4310984692
"2005/2006",2006,123,123,100,5,-1733.5,0,44887.0639589266
"2006/2007",2007,123,123,100,0,-1642,0,43944.66386734
"2007/2008",2008,123,123,100,3,-1713,1.01653142416626,44577.6832625638
"2008/2009",2009,123,123,100,0,-1662.5,0,44128.2876359611
"2009/2010",2010,123,123,100,0,-1579,0,43703.7033767139
"2010/2011",2011,123,123,100,0,-1759,0,45464.3830141134
"2011/2012",2012,123,123,100,0,-1649,0,44158.2852255511
"2012/2013",2013,123,123,100,0,-1581,0,43617.4534014289
"2013/2014",2014,123,123,100,0,-1719,0,44771.9208440834
"2014/2015",2015,123,123,100,0,-1648.5,0,44022.3793605487
"2015/2016",2016,123,123,100,0,-1727,0,44820.2271248517
"2016/2017",2017,123,123,100,0,-1813,0,45679.4700551135
"2017/2018",2018,123,123,100,0,-1836.5,0,45876.2801667023
"2018/2019",2019,123,123,100,11,-1536.5,1.99534017264871,43273.3987041637
"2019/2020",2020,123,123,100,1,-1613.5,1.00997276250185,44129.6129060159
"2020/2021",2021,123,123,100,0,-1687,0,44392.7450536173
"2021/2022",2022,123,123,100,2,-1716.5,0,45093.1490505827
"2022/2023",2023,123,123,100,0,-1819.5,0.999909680488662,45819.6213543927
"2023/2024",2024,123,123,100,2,-1558.5,0,43430.0079846852
"2024/2025",2025,123,123,100,0,-1731,1.00480322019218,44496.0252983621
"2025/2026",2026,123,123,100,0,-1685,2.01773257059996,44454.1995239444
"2026/2027",2027,123,123,100,0,-1701,0,44809.0276981867
"2027/2028",2028,123,123,100,0,-1731.5,0,44695.4112954806
"2028/2029",2029,123,123,100,6,-1624.5,0,43671.0229318067
"2029/2030",2030,123,123,100,2,-1721,0,44946.1318069808
"2030/2031",2031,123,123,100,0,-1650,0,44050.3634793889
"2031/2032",2032,123,123,100,0,-1765.5,0,45392.031522722
"2032/2033",2033,123,123,100,0,-1544,0,43245.1138210893
"2033/2034",2034,123,123,100,0,-1646,0,44064.3700608807
"2034/2035",2035,123,123,100,0,-1831,0,45985.27935695
"2035/2036",2036,123,123,100,0,-1822.5,0,45769.285841791
"2036/2037",2037,123,123,100,0,-1703,0,44238.5987822842
"2037/2038",2038,123,123,100,0,-1559,0,43550.7524589775
"2038/2039",2039,123,123,100,0,-1713,0,44794.3489777921
"2039/2040",2040,123,123,100,0,-1706,0,44814.4285078868
"2040/2041",2041,123,123,100,1,-1717,0,44879.2422985127
"2041/2042",2042,123,123,100,8,-1635.5,0,44275.2164380606
"2042/2043",2043,123,123,100,0,-1728,0,44850.2891191375
"2043/2044",2044,123,123,100,0,-1754.5,0,45218.6542844214
"2044/2045",2045,123,123,100,0,-1831,0,45967.0944477282
"2045/2046",2046,123,123,100,0,-1871,0,46190.3859933568
"2046/2047",2047,123,123,100,0,-1758,0,45413.0830113264
"2047/2048",2048,123,123,100,5,-1687.5,0,44645.5593076795
"2048/2049",2049,123,123,100,0,-1611.5,0,43642.7901756987
"2049/2050",2050,123,123,100,1,-1578.5,5.03886371688083,43540.7975910809
"2050/2051",2051,123,123,100,0,-1602,1.00835656377704,43706.7208768148
"2051/2052",2052,123,123,100,8,-1566.5,0,43447.6921697492
"2052/2053",2053,123,123,100,0,-1555.5,0,43465.1049050121
"2053/2054",2054,123,123,100,0,-1675,0,44140.702593795
"2054/2055",2055,123,123,100,0,-1626,0,44052.4314948851
"2055/2056",2056,123,123,100,6,-1553,0,43391.7822313458
"2056/2057",2057,123,123,100,0,-1650.5,0,44187.6643568436
"2057/2058",2058,123,123,100,8,-1493.5,0,42909.7025745278
"2058/2059",2059,123,123,100,1,-1684,0,44493.9768312732
"2059/2060",2060,123,123,100,0,-1608.5,0,43981.9988273382
