"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-1443.5,0,42365.5739286338
"2000/2001",2001,123,123,100,0,-1558,1.00375133783185,43231.9312856327
"2001/2002",2002,123,123,100,11,-1439,0,42203.0636379233
"2002/2003",2003,123,123,100,0,-1435,0,42207.3597284555
"2003/2004",2004,123,123,100,0,-1474.5,0,42602.1244173972
"2004/2005",2005,123,123,100,5,-1449,1.003144110863,42533.0404115723
"2005/2006",2006,123,123,100,7,-1520.5,0,42997.796765105
"2006/2007",2007,123,123,100,2,-1427.5,1.01373167414073,42027.597734116
"2007/2008",2008,123,123,100,8,-1497.5,1.01719658280748,42503.7557833756
"2008/2009",2009,123,123,100,0,-1443.5,0,42162.8743172209
"2009/2010",2010,123,123,100,1,-1365,0,41714.696683943
"2010/2011",2011,123,123,100,4,-1520.5,0,43418.5945362039
"2011/2012",2012,123,123,100,3,-1424,0,42139.1291747692
"2012/2013",2013,123,123,100,4,-1362,0,41628.1431294649
"2013/2014",2014,123,123,100,0,-1486,1.00361891854233,42721.2068063284
"2014/2015",2015,123,123,100,0,-1433,1.01425151027791,41970.500881647
"2015/2016",2016,123,123,100,0,-1494,0,42754.6213436946
"2016/2017",2017,123,123,100,1,-1593.5,0,43570.4772990439
"2017/2018",2018,123,123,100,1,-1613,0,43914.2042814665
"2018/2019",2019,123,123,100,21,-1320,2.95920319469925,41344.9456507247
"2019/2020",2020,123,123,100,5,-1379.5,1.00100969310772,42065.5161349028
"2020/2021",2021,123,123,100,1,-1454.5,0,42398.0746039972
"2021/2022",2022,123,123,100,4,-1489.5,0,42997.2175952522
"2022/2023",2023,123,123,100,0,-1595.5,1.01834931424867,43855.9688881994
"2023/2024",2024,123,123,100,4,-1324,0,41371.8971140692
"2024/2025",2025,123,123,100,0,-1512.5,1.00513703750649,42569.5364947962
"2025/2026",2026,123,123,100,3,-1468,1.99663847781445,42496.2826202265
"2026/2027",2027,123,123,100,0,-1465.5,0,42717.8969475892
"2027/2028",2028,123,123,100,3,-1510.5,0,42689.8599821497
"2028/2029",2029,123,123,100,10,-1408,0,41746.787474887
"2029/2030",2030,123,123,100,8,-1489,0,42929.7605277663
"2030/2031",2031,123,123,100,1,-1415.5,1.00069828711125,42074.4294975596
"2031/2032",2032,123,123,100,7,-1541,0,43420.2153046774
"2032/2033",2033,123,123,100,4,-1328.5,1.00337460471211,41219.6564091016
"2033/2034",2034,123,123,100,0,-1403.5,0,42024.9061620198
"2034/2035",2035,123,123,100,0,-1612,0,44015.5801920602
"2035/2036",2036,123,123,100,0,-1591.5,0,43796.9526130771
"2036/2037",2037,123,123,100,1,-1483,0,42254.6056280052
"2037/2038",2038,123,123,100,0,-1345.5,0,41475.006886676
"2038/2039",2039,123,123,100,0,-1493.5,0,42731.2552102944
"2039/2040",2040,123,123,100,1,-1466.5,0,42741.6664500115
"2040/2041",2041,123,123,100,6,-1490.5,0,42905.4673915161
"2041/2042",2042,123,123,100,12,-1417,0,42234.1907724626
"2042/2043",2043,123,123,100,0,-1499.5,0,42881.7144809812
"2043/2044",2044,123,123,100,0,-1527.5,0,43228.0614826353
"2044/2045",2045,123,123,100,0,-1594,0,43957.3004502803
"2045/2046",2046,123,123,100,0,-1658.5,0,44227.6221712735
"2046/2047",2047,123,123,100,0,-1529.5,0,43400.8290907564
"2047/2048",2048,123,123,100,14,-1447,0,42662.4022164103
"2048/2049",2049,123,123,100,0,-1390,0,41715.8007963775
"2049/2050",2050,123,123,100,6,-1348,5.02755292259497,41562.7783006299
"2050/2051",2051,123,123,100,0,-1387,1.00254432021623,41691.4975411519
"2051/2052",2052,123,123,100,9,-1355.5,0,41447.6311711734
"2052/2053",2053,123,123,100,0,-1326,0,41422.903242697
"2053/2054",2054,123,123,100,0,-1459.5,0,42095.7764327573
"2054/2055",2055,123,123,100,2,-1395,1.0096485960875,42031.918920882
"2055/2056",2056,123,123,100,8,-1342,1.01062115136433,41428.2208555425
"2056/2057",2057,123,123,100,0,-1431.5,0,42225.0534481471
"2057/2058",2058,123,123,100,18,-1270,0,40897.4236325426
"2058/2059",2059,123,123,100,3,-1447.5,0,42473.2690844415
"2059/2060",2060,123,123,100,0,-1381,0,41980.6592717366
"2060/2061",2061,123,123,100,4,-1483.5,1.01033379297175,42882.5841417722
"2061/2062",2062,123,123,100,3,-1421.5,0,42128.3834511619
"2062/2063",2063,123,123,100,0,-1450.5,0,42360.2314591669
"2063/2064",2064,123,123,100,0,-1333.5,1.00399316521724,41399.5525272638
"2064/2065",2065,123,123,100,0,-1483.5,0,43049.1284662932
"2065/2066",2066,123,123,100,6,-1428,0,42130.4233422074
"2066/2067",2067,123,123,100,3,-1389,0,42019.809967475
"2067/2068",2068,123,123,100,8,-1490.5,0,42729.0062921327
"2068/2069",2069,123,123,100,2,-1535.5,1.00319579823708,43281.0821387321
"2069/2070",2070,123,123,100,0,-1528,0,43175.8598989695
"2070/2071",2071,123,123,100,0,-1341.5,0,41360.2924388144
"2071/2072",2072,123,123,100,0,-1382.5,0,41952.9114999827
"2072/2073",2073,123,123,100,21,-1267.5,1.00362418860686,40517.533481963
"2073/2074",2074,123,123,100,0,-1251.5,0,40451.9848849382
"2074/2075",2075,123,123,100,0,-1392.5,0,41595.4804177377
"2075/2076",2076,123,123,100,0,-1472.5,0,42594.2997171767
"2076/2077",2077,123,123,100,0,-1515,0,42761.182884749
"2077/2078",2078,123,123,100,0,-1384,0,41969.3903396223
