"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-1436.5,0,42151.1352205569
"2000/2001",2001,123,123,100,0,-1546,1.00836304167744,43017.2684874597
"2001/2002",2002,123,123,100,11,-1433,0,41956.5399500374
"2002/2003",2003,123,123,100,0,-1414.5,0,41953.8720255209
"2003/2004",2004,123,123,100,0,-1460,0,42394.9281144592
"2004/2005",2005,123,123,100,5,-1444,1.00368490574816,42339.2566789092
"2005/2006",2006,123,123,100,8,-1511,0,42785.4674204005
"2006/2007",2007,123,123,100,2,-1419,1.00781827630483,41781.181333299
"2007/2008",2008,123,123,100,7,-1486.5,1.00997223303257,42294.9625580672
"2008/2009",2009,123,123,100,0,-1432,1.00033714284621,41933.5782446533
"2009/2010",2010,123,123,100,0,-1356,0,41470.8378549069
"2010/2011",2011,123,123,100,3,-1512,0,43241.5192019087
"2011/2012",2012,123,123,100,4,-1410,0,41941.5523241214
"2012/2013",2013,123,123,100,4,-1351.5,0,41386.3489384544
"2013/2014",2014,123,123,100,0,-1478.5,1.00895537445373,42554.8840944231
"2014/2015",2015,123,123,100,0,-1423.5,0.998907110122627,41804.918608028
"2015/2016",2016,123,123,100,0,-1486.5,0,42528.7233299003
"2016/2017",2017,123,123,100,0,-1586,0,43410.8587968503
"2017/2018",2018,123,123,100,1,-1603,0,43749.7053942322
"2018/2019",2019,123,123,100,21,-1303.5,2.97276953816934,41159.1596990931
"2019/2020",2020,123,123,100,7,-1374.5,2.01700364808081,41891.7347386503
"2020/2021",2021,123,123,100,1,-1441.5,0,42157.411296424
"2021/2022",2022,123,123,100,5,-1482.5,0,42801.7275331276
"2022/2023",2023,123,123,100,0,-1595,1.00199641510303,43626.4549210225
"2023/2024",2024,123,123,100,5,-1315,0,41145.5970244762
"2024/2025",2025,123,123,100,0,-1506.5,1.00934259870511,42329.5288056647
"2025/2026",2026,123,123,100,3,-1460.5,2.0014907937772,42241.101483963
"2026/2027",2027,123,123,100,0,-1460.5,0,42546.3291318915
"2027/2028",2028,123,123,100,3,-1494,0,42462.7376075787
"2028/2029",2029,123,123,100,10,-1394,0,41483.772685972
"2029/2030",2030,123,123,100,10,-1485.5,0,42742.5702027399
"2030/2031",2031,123,123,100,1,-1406,0,41818.2677196385
"2031/2032",2032,123,123,100,5,-1535.5,0,43244.8568342468
"2032/2033",2033,123,123,100,4,-1313.5,0,40969.5216617556
"2033/2034",2034,123,123,100,0,-1401.5,0,41808.3672584547
"2034/2035",2035,123,123,100,0,-1606,0,43827.7664150996
"2035/2036",2036,123,123,100,0,-1584.5,0,43597.8916683365
"2036/2037",2037,123,123,100,0,-1470,0,41965.3990972908
"2037/2038",2038,123,123,100,0,-1329.5,1.00270257750506,41317.4628018951
"2038/2039",2039,123,123,100,0,-1479.5,0,42474.8675395399
"2039/2040",2040,123,123,100,1,-1462.5,0,42543.4168115389
"2040/2041",2041,123,123,100,5,-1478,0,42697.6436365843
"2041/2042",2042,123,123,100,11,-1407,0,42060.6538575897
"2042/2043",2043,123,123,100,0,-1494.5,0,42648.1330435714
"2043/2044",2044,123,123,100,0,-1517,0,43009.8119542403
