"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-1489.5,0,42677.5240848003
"2000/2001",2001,123,123,100,0,-1600,1.00031404378066,43575.8256678534
"2001/2002",2002,123,123,100,10,-1483.5,1.00104859234837,42526.7968673809
"2002/2003",2003,123,123,100,0,-1477,0,42495.1699348452
"2003/2004",2004,123,123,100,0,-1523,0,42917.8389126183
"2004/2005",2005,123,123,100,2,-1502,1.00335419525365,42852.9748075347
"2005/2006",2006,123,123,100,5,-1567.5,0,43253.9089016744
"2006/2007",2007,123,123,100,1,-1480,1.01010452979766,42274.9061697002
"2007/2008",2008,123,123,100,4,-1544,1.00884704389567,43027.0793106719
"2008/2009",2009,123,123,100,0,-1484.5,1.00671962571609,42461.8990513517
"2009/2010",2010,123,123,100,0,-1411.5,0,41966.5037216332
"2010/2011",2011,123,123,100,1,-1574,0,43724.4337935434
"2011/2012",2012,123,123,100,2,-1471.5,0,42503.8765949025
"2012/2013",2013,123,123,100,1,-1402.5,0,41863.5825868642
"2013/2014",2014,123,123,100,0,-1538.5,0,43070.9224360317
"2014/2015",2015,123,123,100,0,-1478,1.01184102838962,42335.0324900905
"2015/2016",2016,123,123,100,0,-1553.5,0,43148.5212125871
"2016/2017",2017,123,123,100,0,-1648.5,0,44052.9114857777
"2017/2018",2018,123,123,100,0,-1668.5,0,44265.1270943512
"2018/2019",2019,123,123,100,17,-1368,3.01579753700772,41575.4473642637
"2019/2020",2020,123,123,100,3,-1436,1.00963189966266,42421.5398796746
"2020/2021",2021,123,123,100,0,-1508,0,42706.6488387859
"2021/2022",2022,123,123,100,3,-1543.5,0,43426.1229344979
"2022/2023",2023,123,123,100,0,-1646,1.0032619922925,44171.6084746229
"2023/2024",2024,123,123,100,3,-1382.5,0,41715.6674900441
"2024/2025",2025,123,123,100,0,-1567.5,1.00037014033109,42903.0347715369
"2025/2026",2026,123,123,100,1,-1512,2.01478314164339,42795.6948086903
"2026/2027",2027,123,123,100,0,-1526.5,0,43098.1770824683
"2027/2028",2028,123,123,100,1,-1568,0,43105.973581464
"2028/2029",2029,123,123,100,8,-1447,0,41983.4864336937
"2029/2030",2030,123,123,100,6,-1554.5,0,43318.9679474672
"2030/2031",2031,123,123,100,0,-1467,0,42364.6857434139
"2031/2032",2032,123,123,100,2,-1591,1.00089367875479,43696.94852354
"2032/2033",2033,123,123,100,2,-1370.5,0,41506.9366442543
"2033/2034",2034,123,123,100,0,-1463,0,42373.1103863735
"2034/2035",2035,123,123,100,0,-1662,0,44385.3113772506
"2035/2036",2036,123,123,100,0,-1643,0,44076.1256917454
"2036/2037",2037,123,123,100,0,-1531.5,0,42649.253627466
"2037/2038",2038,123,123,100,0,-1387.5,1.00075462864618,41808.9432781786
"2038/2039",2039,123,123,100,0,-1544.5,0,43144.4434888428
"2039/2040",2040,123,123,100,0,-1528.5,0,43092.3333938057
"2040/2041",2041,123,123,100,3,-1541.5,0,43197.4836611561
"2041/2042",2042,123,123,100,9,-1471.5,0,42578.1057930412
"2042/2043",2043,123,123,100,0,-1562,0,43208.9221483832
"2043/2044",2044,123,123,100,0,-1587,0,43553.3252437962
"2044/2045",2045,123,123,100,0,-1656,0,44296.4197269594
"2045/2046",2046,123,123,100,0,-1702.5,0,44626.1988164699
"2046/2047",2047,123,123,100,0,-1581,0,43770.3355115317
"2047/2048",2048,123,123,100,9,-1505.5,1.01064811363531,42988.7571008671
"2048/2049",2049,123,123,100,0,-1433,0,41986.3562742714
"2049/2050",2050,123,123,100,4,-1400.5,5.02799831235679,41878.496118689
"2050/2051",2051,123,123,100,0,-1425,1.00285917912877,42016.976773222
"2051/2052",2052,123,123,100,9,-1395.5,0,41697.0058901617
"2052/2053",2053,123,123,100,0,-1382,0,41717.3621270601
"2053/2054",2054,123,123,100,0,-1510,0,42451.5583296204
"2054/2055",2055,123,123,100,0,-1450.5,1.00140364688211,42322.7187035317
"2055/2056",2056,123,123,100,7,-1384.5,1.00846319759831,41656.3418113776
"2056/2057",2057,123,123,100,0,-1475.5,0,42446.2157094497
"2057/2058",2058,123,123,100,14,-1315,1.00770433531046,41171.4171735318
"2058/2059",2059,123,123,100,2,-1501,0,42830.4833894577
"2059/2060",2060,123,123,100,0,-1429.5,1.0027270729542,42294.9472227199
"2060/2061",2061,123,123,100,2,-1534.5,1.00526637532735,43132.207200652
"2061/2062",2062,123,123,100,0,-1461.5,0,42355.9172373656
"2062/2063",2063,123,123,100,0,-1507,0,42694.3572798502
"2063/2064",2064,123,123,100,0,-1381,2.01139070837182,41649.8537530396
"2064/2065",2065,123,123,100,0,-1536,0,43386.9648906011
"2065/2066",2066,123,123,100,3,-1472,0,42493.4208540227
"2066/2067",2067,123,123,100,1,-1443.5,0,42294.6035635956
"2067/2068",2068,123,123,100,6,-1541.5,0,43057.5404473506
"2068/2069",2069,123,123,100,0,-1588,1.00060867956058,43726.9592421763
"2069/2070",2070,123,123,100,0,-1571,0,43463.043324085
"2070/2071",2071,123,123,100,0,-1394.5,0,41616.4378139954
"2071/2072",2072,123,123,100,0,-1433.5,0,42234.1787839625
"2072/2073",2073,123,123,100,18,-1308,1.00241153857647,40811.2850675303
"2073/2074",2074,123,123,100,0,-1283,0,40678.0091887396
"2074/2075",2075,123,123,100,0,-1431,0,41833.9054904915
"2075/2076",2076,123,123,100,0,-1530,0,42940.6826964393
"2076/2077",2077,123,123,100,0,-1570.5,0,43128.3521129694
"2077/2078",2078,123,123,100,0,-1435,0,42207.6281451639
"2078/2079",2079,123,123,100,0,-1473.5,0,42588.7037171964
"2079/2080",2080,123,123,100,15,-1477.5,0,42270.7538005114
"2080/2081",2081,123,123,100,0,-1355.5,0,41504.1668120716
"2081/2082",2082,123,123,100,0,-1372,1.01123705125969,41429.6351231281
"2082/2083",2083,123,123,100,9,-1524,0,42894.1213142462
"2083/2084",2084,123,123,100,0,-1499.5,0,42741.6854826957
"2084/2085",2085,123,123,100,0,-1471.5,0,42311.946694538
"2085/2086",2086,123,123,100,9,-1622.5,1.06462727459739,43866.0702196918
"2086/2087",2087,123,123,100,12,-1257.5,1.00034636495021,40443.3655953389
"2087/2088",2088,123,123,100,0,-1534,0,42970.4690447859
"2088/2089",2089,123,123,100,0,-1434,0,42201.2204327583
"2089/2090",2090,123,123,100,0,-1531,0,42949.7097314131
"2090/2091",2091,123,123,100,0,-1530.5,0,43008.7956584916
"2091/2092",2092,123,123,100,1,-1424,1.003130201456,42116.8527601641
"2092/2093",2093,123,123,100,0,-1721.5,0,44799.3411165215
"2093/2094",2094,123,123,100,0,-1651,0,44339.4962773528
"2094/2095",2095,123,123,100,0,-1449.5,0,42079.2019750196
"2095/2096",2096,123,123,100,0,-1425,0,42056.7514680196
"2096/2097",2097,123,123,100,0,-1546.5,0,43478.3267981354
"2097/2098",2098,123,123,100,0,-1559,0,43433.9754724354
"2098/2099",2099,123,123,100,0,-1419,0,41777.5326242652
"2099/2100",2100,123,123,100,0,-1627,0,43893.0799439978
