"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,75,-1689,4.88864949373405,39454.9920008664
"2000/2001",2001,123,123,100,148,-1510,9.67347782733625,37763.5025412202
"2001/2002",2002,123,123,100,54,-1792.5,3.98145411327483,41392.7410590537
"2002/2003",2003,123,123,100,59,-1841,3.16433564702422,40238.5972757293
"2003/2004",2004,123,123,100,50,-1839.5,2.7546183028413,40518.5171325667
"2004/2005",2005,123,123,100,52,-1640.5,3.94644416543299,39182.0838991993
"2005/2006",2006,123,123,100,117,-1636,7.57025218863605,38265.702675165
"2006/2007",2007,123,123,100,29,-1897.5,1.00471398670035,41468.2707786283
"2007/2008",2008,123,123,100,69,-1194,11.4287679714899,36307.1869265555
"2008/2009",2009,123,123,100,92,-1715.5,6.48823095792807,39868.869292011
"2009/2010",2010,123,123,100,27,-2004.5,0.991142455059602,41576.5485528121
"2010/2011",2011,123,123,100,93,-1447.5,8.15491682830643,38129.2694026264
"2011/2012",2012,123,123,100,111,-1733.5,5.86382292139938,39337.3242187863
"2012/2013",2013,123,123,100,49,-2023.5,2.44145203477819,41557.7653722628
"2013/2014",2014,123,123,100,91,-1553,6.83151137733302,39303.9126215128
"2014/2015",2015,123,123,100,86,-1599.5,5.10050263869653,39799.876365683
"2015/2016",2016,123,123,100,97,-1528.5,8.78016898750228,39533.9036230801
"2016/2017",2017,123,123,100,109,-1188.5,12.7169732812477,37303.6900582656
"2017/2018",2018,123,123,100,192,-1353,10.3132969418181,36936.1628702683
"2018/2019",2019,123,123,100,52,-1949,4.05733345458111,41267.6916849311
"2019/2020",2020,123,123,100,71,-1613.5,7.40132678542062,39810.6277002967
"2020/2021",2021,123,123,100,59,-1688.5,6.81980825035339,39255.8083926491
"2021/2022",2022,123,123,100,93,-1329,8.7952372394646,36989.4177839933
"2022/2023",2023,123,123,100,72,-1523.5,3.1151485479854,38373.4957697997
"2023/2024",2024,123,123,100,41,-1739,4.48142248025866,40652.5015087104
"2024/2025",2025,123,123,100,97,-1336,9.91823410685612,36833.2732517817
"2025/2026",2026,123,123,100,110,-1498.5,5.09483789080284,39142.5414946093
"2026/2027",2027,123,123,100,88,-1706.5,6.7459924391338,41129.3086951911
"2027/2028",2028,123,123,100,50,-1364,7.98408977717332,38035.1465804921
"2028/2029",2029,123,123,100,62,-1888,4.28542199329726,40457.1101365839
"2029/2030",2030,123,123,100,83,-1444,6.30421247649662,39672.2092755763
"2030/2031",2031,123,123,100,89,-1623,7.72415922383345,38431.3675787784
"2031/2032",2032,123,123,100,53,-1616,5.02189640664599,39641.1333994507
"2032/2033",2033,123,123,100,53,-2020,2.52690592448596,41026.4539645971
"2033/2034",2034,123,123,100,39,-1707,6.40776318306226,40207.038274209
"2034/2035",2035,123,123,100,124,-1455,7.39449506952337,38592.6719638952
"2035/2036",2036,123,123,100,95,-1662.5,3.89287039081535,38957.4414985292
"2036/2037",2037,123,123,100,56,-1501.5,7.07955026986571,38615.3566552009
"2037/2038",2038,123,123,100,87,-1770.5,10.8165896705451,39089.5030003451
"2038/2039",2039,123,123,100,63,-1576,6.03026225437895,39173.914679707
"2039/2040",2040,123,123,100,77,-1550,5.17171722010011,39311.4236350469
"2040/2041",2041,123,123,100,43,-1740.5,3.76552260168199,40853.4473181935
"2041/2042",2042,123,123,100,74,-1698,5.83454628217601,39571.1739591146
"2042/2043",2043,123,123,100,35,-1720.5,1.79336965373693,40388.2745065596
"2043/2044",2044,123,123,100,109,-1605,3.35848279726343,38725.1345888171
"2044/2045",2045,123,123,100,72,-1367.5,8.04211907122789,37993.083979371
"2045/2046",2046,123,123,100,181,-1175,14.0831598198276,35655.2198057892
"2046/2047",2047,123,123,100,71,-1454.5,4.99530372770835,39541.3888739906
"2047/2048",2048,123,123,100,66,-1647,7.94022918688148,39289.0212875996
"2048/2049",2049,123,123,100,44,-1847.5,4.04652375945432,39906.3215655545
"2049/2050",2050,123,123,100,128,-1607.5,8.66537673460959,38566.4081742167
"2050/2051",2051,123,123,100,106,-1613.5,7.6474272564846,38105.7563230162
"2051/2052",2052,123,123,100,15,-2066,0.976097120311977,41990.6654794998
