"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,111,-1410.5,7.55229872416189,38960.5521803039
"2000/2001",2001,123,123,100,201,-1259,14.4602005437661,37441.9998758823
"2001/2002",2002,123,123,100,74,-1524,7.27475724207074,41038.1448134083
"2002/2003",2003,123,123,100,92,-1580.5,6.95112262443612,40256.620089162
"2003/2004",2004,123,123,100,82,-1566.5,8.05239099390972,40399.8842909143
"2004/2005",2005,123,123,100,88,-1340.5,12.9895319183696,38367.3244768663
"2005/2006",2006,123,123,100,156,-1347,13.0463664263319,37801.0476726216
"2006/2007",2007,123,123,100,50,-1642,0.996064174060322,41456.0586311532
"2007/2008",2008,123,123,100,137,-838.5,16.5884464077001,34581.1780624727
"2008/2009",2009,123,123,100,128,-1454,10.8389509014769,39684.5611978516
"2009/2010",2010,123,123,100,36,-1737,3.01717875708063,41449.2651712857
"2010/2011",2011,123,123,100,157,-1162.5,10.9786255750467,37065.5780881234
"2011/2012",2012,123,123,100,142,-1493.5,8.88330047873228,38973.7789468546
"2012/2013",2013,123,123,100,65,-1784,6.05726270833665,41876.1288567143
"2013/2014",2014,123,123,100,149,-1272,10.2275473931058,38502.8974277992
"2014/2015",2015,123,123,100,135,-1324.5,11.5752418426837,38765.6792007671
"2015/2016",2016,123,123,100,134,-1203,10.993404587855,38329.6181497928
"2016/2017",2017,123,123,100,194,-821.5,15.908253039778,35097.0136968708
"2017/2018",2018,123,123,100,271,-1069,16.8055305219609,35991.9144964502
"2018/2019",2019,123,123,100,92,-1705,4.00304315142895,41301.722270926
"2019/2020",2020,123,123,100,112,-1295,10.859922856981,38491.1260559806
"2020/2021",2021,123,123,100,130,-1410,10.9562884834983,39075.3268490932
"2021/2022",2022,123,123,100,154,-997,17.3586253036337,35550.7499967059
"2022/2023",2023,123,123,100,102,-1215.5,8.8171914951464,37808.4658678928
"2023/2024",2024,123,123,100,76,-1436,11.0462555370291,39335.2463266701
"2024/2025",2025,123,123,100,151,-999,17.953591979723,35795.1744501102
"2025/2026",2026,123,123,100,151,-1209.5,9.87277117560274,38154.1402269071
"2026/2027",2027,123,123,100,146,-1400,11.3541528651427,40233.6267276197
"2027/2028",2028,123,123,100,111,-1035.5,9.76613143610416,36599.2443196229
"2028/2029",2029,123,123,100,85,-1660,5.77544671743658,40826.4222420235
"2029/2030",2030,123,123,100,127,-1102.5,11.9237488071125,38038.6899431092
"2030/2031",2031,123,123,100,140,-1367,12.319723214886,38072.7350887703
"2031/2032",2032,123,123,100,95,-1309.5,9.09526560509869,38703.3369500749
"2032/2033",2033,123,123,100,90,-1778.5,8.55404871701199,41142.3450084878
"2033/2034",2034,123,123,100,74,-1404,10.7128835401681,39314.7551244525
"2034/2035",2035,123,123,100,159,-1142,9.17999275476353,37180.1181535176
"2035/2036",2036,123,123,100,128,-1370.5,8.12686007268081,38535.2564838305
"2036/2037",2037,123,123,100,96,-1160,11.0818158457798,37390.3208396854
"2037/2038",2038,123,123,100,139,-1525,11.5615873457493,38785.1505251136
"2038/2039",2039,123,123,100,104,-1254.5,11.4335244826047,37989.0755446032
"2039/2040",2040,123,123,100,119,-1242,9.87741613500123,38254.2834834661
"2040/2041",2041,123,123,100,84,-1431.5,6.81060682865973,40197.9313766416
"2041/2042",2042,123,123,100,102,-1403,13.3037958204488,38775.0698476769
"2042/2043",2043,123,123,100,55,-1422.5,6.0418184132015,39389.0171725694
"2043/2044",2044,123,123,100,167,-1314.5,12.8539712745679,38077.6884652078
"2044/2045",2045,123,123,100,121,-1060.5,11.8999963135075,36928.4352648882
"2045/2046",2046,123,123,100,260,-834,20.0790650865276,33884.6207341449
"2046/2047",2047,123,123,100,116,-1127,10.9486373921656,37965.2248984016
"2047/2048",2048,123,123,100,128,-1377,10.6480862521668,38701.7604231536
"2048/2049",2049,123,123,100,82,-1647,7.57762103153937,40150.2989320848
"2049/2050",2050,123,123,100,188,-1349.5,13.8376844258916,37709.3805605387
"2050/2051",2051,123,123,100,156,-1345.5,13.0523154292086,37711.9862676263
"2051/2052",2052,123,123,100,37,-1839.5,1.88483881761135,42568.5935906442
"2052/2053",2053,123,123,100,126,-1411.5,13.1829894089657,38931.3431108678
"2053/2054",2054,123,123,100,106,-1356,9.87664508767716,37836.6221318124
"2054/2055",2055,123,123,100,60,-1541,8.24996169283361,40184.1602142639
"2055/2056",2056,123,123,100,72,-1794,7.04379442159404,42311.3045843523
"2056/2057",2057,123,123,100,83,-1669.5,5.94870346251821,40499.7207632447
"2057/2058",2058,123,123,100,75,-1784,5.79369295141862,42818.7726750597
"2058/2059",2059,123,123,100,115,-1479.5,7.86297474321202,39849.5612642262
"2059/2060",2060,123,123,100,83,-1498.5,10.1074795245112,40160.7563304715
"2060/2061",2061,123,123,100,118,-1490.5,6.7969135935366,39465.0070731761
"2061/2062",2062,123,123,100,82,-1778.5,2.1960035704891,41304.870934777
"2062/2063",2063,123,123,100,70,-1376.5,7.82957643844509,39095.510963236
"2063/2064",2064,123,123,100,97,-1721.5,7.31378545678649,40951.4764174568
"2064/2065",2065,123,123,100,101,-1314,9.14715421064977,39100.8974544033
"2065/2066",2066,123,123,100,137,-1328.5,9.58439666781635,39078.4703783654
"2066/2067",2067,123,123,100,48,-1720,2.99434863723695,41573.8191661201
"2067/2068",2068,123,123,100,143,-1251,12.7982673841612,38008.4118976565
"2068/2069",2069,123,123,100,162,-975,17.452593013829,36679.067627144
"2069/2070",2070,123,123,100,76,-1362.5,4.98724735039309,40038.3991131149
"2070/2071",2071,123,123,100,26,-1831.5,2.02299643315507,42192.2237340752
"2071/2072",2072,123,123,100,114,-1627,8.0028082295388,40511.9018326141
