"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,63,-1791,6.01589724184409,41460.5506148205
"2000/2001",2001,123,123,100,136,-1629,10.8904887414744,39941.3858399086
"2001/2002",2002,123,123,100,44,-1914.5,3.13105506915373,43737.7917779352
"2002/2003",2003,123,123,100,56,-1921,4.06084588018932,42551.0016069412
"2003/2004",2004,123,123,100,37,-1963.5,3.86902364145115,42940.9243632251
"2004/2005",2005,123,123,100,46,-1745,4.21337523193137,41097.66681112
"2005/2006",2006,123,123,100,102,-1714.5,8.65489162965683,40150.6916749798
"2006/2007",2007,123,123,100,30,-2044.5,1.00729496219486,43985.1608167838
"2007/2008",2008,123,123,100,63,-1310.5,10.5823996539343,37994.8899064848
"2008/2009",2009,123,123,100,77,-1819.5,6.99280754461025,41783.9772382574
"2009/2010",2010,123,123,100,26,-2081.5,1.00065614931167,43680.9745267218
"2010/2011",2011,123,123,100,81,-1571,8.63718225595677,40082.444216002
"2011/2012",2012,123,123,100,92,-1847,5.61702324110631,41397.8103185548
"2012/2013",2013,123,123,100,43,-2134.5,2.99357448591439,43888.673976385
"2013/2014",2014,123,123,100,75,-1626.5,7.84427302405892,40988.6375372109
"2014/2015",2015,123,123,100,79,-1711,5.59959142119848,41647.4337883468
"2015/2016",2016,123,123,100,84,-1613,8.20025231290175,41386.6160177691
"2016/2017",2017,123,123,100,86,-1239,13.474241060587,38587.492143169
"2017/2018",2018,123,123,100,197,-1419.5,12.329928866446,38486.4266800927
"2018/2019",2019,123,123,100,44,-2048,3.53094275513209,43105.4516513436
"2019/2020",2020,123,123,100,66,-1720,7.00595187983689,41535.7869112012
"2020/2021",2021,123,123,100,64,-1794,8.05827676087895,41480.1501482842
"2021/2022",2022,123,123,100,84,-1394,11.5532884764744,38596.9080935018
"2022/2023",2023,123,123,100,64,-1609.5,3.61577693598812,40593.4773913249
"2023/2024",2024,123,123,100,37,-1825,5.66082671810119,42137.245669568
"2024/2025",2025,123,123,100,76,-1404.5,9.95566604251283,38697.3407382141
"2025/2026",2026,123,123,100,91,-1598,7.3202053287188,40940.9676300301
"2026/2027",2027,123,123,100,80,-1777.5,6.90571426154722,42925.6235117675
"2027/2028",2028,123,123,100,39,-1471,7.05536935879556,39941.9570634072
"2028/2029",2029,123,123,100,58,-2021,4.33516894023396,42995.44285938
"2029/2030",2030,123,123,100,58,-1533.5,6.65956510307782,41371.8866393561
"2030/2031",2031,123,123,100,94,-1712.5,12.5136078254139,40338.1057296055
"2031/2032",2032,123,123,100,58,-1722,2.97952241349557,41667.5060985074
"2032/2033",2033,123,123,100,36,-2118,2.95292924771647,43183.4617355559
"2033/2034",2034,123,123,100,34,-1786.5,5.78478383383975,42050.7515139556
"2034/2035",2035,123,123,100,125,-1526,8.70589969754036,40303.3470511944
"2035/2036",2036,123,123,100,92,-1771.5,4.59173498918727,41207.4889796865
"2036/2037",2037,123,123,100,50,-1572.5,9.39914203468544,40217.6623993181
"2037/2038",2038,123,123,100,91,-1839.5,10.87961505511,40847.5968938628
"2038/2039",2039,123,123,100,54,-1675.5,8.61429140339777,41211.2241199035
"2039/2040",2040,123,123,100,88,-1644,5.76177990300374,41079.9044797029
"2040/2041",2041,123,123,100,43,-1849,4.01917733974943,42989.7902524238
"2041/2042",2042,123,123,100,65,-1792,7.03730680943005,41248.3482360011
"2042/2043",2043,123,123,100,22,-1847.5,1.97703061181903,42608.1071352568
"2043/2044",2044,123,123,100,83,-1713,5.99034014129074,40839.2413195428
"2044/2045",2045,123,123,100,50,-1484.5,8.21132755991039,40002.1116207074
"2045/2046",2046,123,123,100,165,-1229,15.1855288504151,37086.8839244945
"2046/2047",2047,123,123,100,51,-1564,7.03552326214952,41276.6424341695
"2047/2048",2048,123,123,100,56,-1739.5,7.1022651374771,41360.1427903473
"2048/2049",2049,123,123,100,36,-1983.5,5.13744896983411,42360.2878307533
