"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,40,-1948,5.01454275810692,42281.7857937253
"2000/2001",2001,123,123,100,124,-1740.5,7.67621018965757,40268.7567693675
"2001/2002",2002,123,123,100,36,-2048,3.22011122916641,44362.5839986395
"2002/2003",2003,123,123,100,35,-2062.5,2.91382692437498,43075.1770977619
"2003/2004",2004,123,123,100,31,-2086,2.99628017193835,43215.6823645335
"2004/2005",2005,123,123,100,35,-1909.5,2.20759948616491,42008.5852618214
"2005/2006",2006,123,123,100,75,-1846,7.12288880541841,40442.3760834638
"2006/2007",2007,123,123,100,22,-2194,0,44658.346875633
"2007/2008",2008,123,123,100,46,-1491,9.90739406534993,38989.4876473326
"2008/2009",2009,123,123,100,62,-1949,5.01687250932429,42268.9280248429
"2009/2010",2010,123,123,100,26,-2213.5,1.00089156060237,44032.2965375877
"2010/2011",2011,123,123,100,57,-1712.5,7.49187356779073,40692.5040264025
"2011/2012",2012,123,123,100,90,-1963,6.19768775596428,41327.198004229
"2012/2013",2013,123,123,100,36,-2250,2.96146505295232,44032.2709978677
"2013/2014",2014,123,123,100,56,-1763,4.94009024365211,41648.0003614784
"2014/2015",2015,123,123,100,64,-1852,5.29260328023824,42453.8081857341
"2015/2016",2016,123,123,100,76,-1759.5,8.64343872244115,41962.2927001361
"2016/2017",2017,123,123,100,54,-1417.5,10.8615607630483,39771.6439724397
"2017/2018",2018,123,123,100,157,-1554,9.15831776956384,39158.7637904549
"2018/2019",2019,123,123,100,32,-2212,4.03280615308884,43961.4783435855
"2019/2020",2020,123,123,100,54,-1858,5.93278584272562,41901.6815279028
"2020/2021",2021,123,123,100,37,-1932.5,6.05122016530366,41964.4295857581
"2021/2022",2022,123,123,100,78,-1566.5,10.6341722754092,39234.3991684234
"2022/2023",2023,123,123,100,55,-1798,2.85757558840328,41544.202635583
"2023/2024",2024,123,123,100,31,-1987,4.81221619774297,42716.1895563942
"2024/2025",2025,123,123,100,56,-1588.5,7.93574711128278,39814.222441203
