"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,44,-1948,4.8879723973428,41388.7278355937
"2000/2001",2001,123,123,100,116,-1747,7.52488568107871,39365.0853103106
"2001/2002",2002,123,123,100,37,-2053,2.2053440459177,43426.7532325489
"2002/2003",2003,123,123,100,41,-2047.5,2.55521761266747,41906.5877530276
"2003/2004",2004,123,123,100,31,-2096,2.9781887606126,42276.0732740719
"2004/2005",2005,123,123,100,34,-1911,2.23421533793653,41248.9110583783
"2005/2006",2006,123,123,100,96,-1847.5,6.65435217930846,39491.9622540292
"2006/2007",2007,123,123,100,23,-2183,0,43398.7809614033
"2007/2008",2008,123,123,100,45,-1493,9.04150007494587,38354.8510769503
"2008/2009",2009,123,123,100,63,-1939.5,6.73859454574711,41073.6704900006
"2009/2010",2010,123,123,100,21,-2221.5,1.00184559662365,43046.2056826761
"2010/2011",2011,123,123,100,69,-1745.5,5.27005690953255,40152.7744650021
"2011/2012",2012,123,123,100,84,-1952.5,5.5070417895685,40304.0462090175
"2012/2013",2013,123,123,100,37,-2264.5,1.9232281979256,43059.3143543315
"2013/2014",2014,123,123,100,59,-1799,5.63280250805978,41223.9574960058
"2014/2015",2015,123,123,100,56,-1867,5.18823230170263,41813.7330735107
"2015/2016",2016,123,123,100,77,-1776.5,7.12114465753,41292.7310083734
"2016/2017",2017,123,123,100,68,-1454.5,10.0195234709865,39550.097752139
"2017/2018",2018,123,123,100,160,-1582.5,8.15190266414864,38572.17487834
"2018/2019",2019,123,123,100,38,-2192.5,3.00130008714119,42847.2998560173
"2019/2020",2020,123,123,100,46,-1877,4.7445747137286,41400.361931656
"2020/2021",2021,123,123,100,34,-1925,6.01846574005556,40789.6315930099
"2021/2022",2022,123,123,100,73,-1582.5,7.49867884329727,38592.0768041755
"2022/2023",2023,123,123,100,59,-1778,2.49564305648548,40514.1969743185
"2023/2024",2024,123,123,100,23,-1991.5,5.00510921948569,42041.7246874459
"2024/2025",2025,123,123,100,55,-1576,8.78949077744792,38798.7715867939
"2025/2026",2026,123,123,100,78,-1763.5,5.16434268737197,41056.950720856
"2026/2027",2027,123,123,100,63,-1954.5,3.84571668922317,42993.2119666152
