"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1324,1194.5,74.4053115783535,10653.2842657076
"2000/2001",2001,123,123,100,1297,1117,71.3468418389869,11219.3377327069
"2001/2002",2002,123,123,100,1351,1173.5,77.9126857363154,10135.3285209586
"2002/2003",2003,123,123,100,1348,1197.5,75.2317705665931,10566.222081067
"2003/2004",2004,123,123,100,1336,1172,75.6691842757369,10937.572561284
"2004/2005",2005,123,123,100,1300,1150.5,76.6218680807935,10540.5790972925
"2005/2006",2006,123,123,100,1307,1124,70.9058209183961,11394.4300452312
"2006/2007",2007,123,123,100,1289,1117,71.3565942042605,11377.8398174433
"2007/2008",2008,123,123,100,1245,1109,75.7509614540472,10318.614272466
"2008/2009",2009,123,123,100,1373,1190,75.6177247784938,10242.111084433
"2009/2010",2010,123,123,100,1324,1228.5,78.4815243246417,10568.6275254319
"2010/2011",2011,123,123,100,1300,1114,74.0416913988797,10998.2499844754
"2011/2012",2012,123,123,100,1379,1246,76.8028751867746,10123.482570441
"2012/2013",2013,123,123,100,1377,1259.5,76.1782240794701,10413.8552851686
"2013/2014",2014,123,123,100,1310,1143.5,75.4467801700912,10600.2037094001
"2014/2015",2015,123,123,100,1310,1174.5,76.5803474392278,9953.44920991256
"2015/2016",2016,123,123,100,1314,1123,75.0351551795952,10331.6054331429
"2016/2017",2017,123,123,100,1247,1049,73.4363922729199,10674.6935491178
"2017/2018",2018,123,123,100,1296,1052.5,71.9792060697864,11725.5160898092
"2018/2019",2019,123,123,100,1397,1245.5,76.6269230997586,9924.31152212061
"2019/2020",2020,123,123,100,1331,1214.5,76.8265526855675,9872.2894637197
"2020/2021",2021,123,123,100,1325,1165.5,77.7951025444081,10611.5267184048
"2021/2022",2022,123,123,100,1233,1106,74.9613830648523,10563.827844498
"2022/2023",2023,123,123,100,1280,1033.5,72.8687896632209,11983.5797855658
"2023/2024",2024,123,123,100,1304,1242.5,79.6798453155125,9323.63563351915
"2024/2025",2025,123,123,100,1250,1065.5,73.4627013751096,11207.3402436096
"2025/2026",2026,123,123,100,1294,1104.5,72.6919279221902,11302.5794287114
"2026/2027",2027,123,123,100,1307,1121,74.3608134904271,10108.6737382547
"2027/2028",2028,123,123,100,1271,1077,74.5819407738263,10594.52235537
"2028/2029",2029,123,123,100,1357,1240,75.3769475519739,10796.440629099
"2029/2030",2030,123,123,100,1284,1086.5,73.8382772656496,10244.0181104671
"2030/2031",2031,123,123,100,1330,1205,75.1749755204755,10717.6289014961
"2031/2032",2032,123,123,100,1308,1096,71.7044303662215,11380.4274114955
"2032/2033",2033,123,123,100,1381,1304.5,77.3742486331575,10008.876615999
"2033/2034",2034,123,123,100,1300,1186,76.3785226906475,10054.3859685934
"2034/2035",2035,123,123,100,1266,1040,73.171579705745,11341.4283067191
"2035/2036",2036,123,123,100,1328,1082.5,69.9847934867284,12154.7287265838
"2036/2037",2037,123,123,100,1260,1104.5,74.0734779762024,10634.4466227971
"2037/2038",2038,123,123,100,1320,1268,78.2304376919819,9840.31046040263
"2038/2039",2039,123,123,100,1257,1106,75.3458999384602,10135.1709359495
"2039/2040",2040,123,123,100,1334,1148.5,74.5298685022699,10290.5557974637
"2040/2041",2041,123,123,100,1304,1111.5,73.9178866922011,10959.1280721736
"2041/2042",2042,123,123,100,1333,1199.5,79.6241337835982,10182.0196521187
"2042/2043",2043,123,123,100,1295,1107.5,73.9629541460836,10752.9318294455
"2043/2044",2044,123,123,100,1293,1109.5,75.9519449760483,11230.4372068795
"2044/2045",2045,123,123,100,1289,1075,75.0347245267749,11259.0835758236
"2045/2046",2046,123,123,100,1247,1026.5,71.2608805275122,11892.3223312076
"2046/2047",2047,123,123,100,1247,1060.5,73.4790058699382,10770.9081183204
"2047/2048",2048,123,123,100,1347,1157.5,73.1741041103996,10383.9938209935
"2048/2049",2049,123,123,100,1363,1213,76.7272830464881,10606.4079506742
"2049/2050",2050,123,123,100,1279,1147.5,74.5663544718627,11081.9005639357
"2050/2051",2051,123,123,100,1319,1209,76.3008840002913,10484.4368493492
"2051/2052",2052,123,123,100,1340,1251,77.9372893714626,10361.8502990915
"2052/2053",2053,123,123,100,1337,1229.5,75.9148492680397,9909.00141039444
"2053/2054",2054,123,123,100,1306,1194,78.594103297517,10705.4314518352
"2054/2055",2055,123,123,100,1348,1222,75.2236568751341,9910.27492097206
"2055/2056",2056,123,123,100,1411,1280,77.5236283622926,9913.24376415927
"2056/2057",2057,123,123,100,1314,1169,75.4847394095705,11492.0616728603
"2057/2058",2058,123,123,100,1486,1277,78.4396205537832,8841.48646420753
"2058/2059",2059,123,123,100,1302,1152.5,75.9326117886303,10389.7964421962
"2059/2060",2060,123,123,100,1329,1194,73.4713733302251,10028.2141305287
"2060/2061",2061,123,123,100,1318,1111.5,74.5398334165529,11391.0460561384
"2061/2062",2062,123,123,100,1365,1175.5,72.9377268496264,11260.6506074108
"2062/2063",2063,123,123,100,1262,1141.5,73.4180256607615,10614.2809750605
"2063/2064",2064,123,123,100,1381,1284.5,80.1730050495553,10069.8138470598
"2064/2065",2065,123,123,100,1271,1095.5,74.3342928688162,10600.1857831655
"2065/2066",2066,123,123,100,1313,1156.5,74.4643019175019,10127.4478287851
"2066/2067",2067,123,123,100,1356,1216,76.1129761627217,10212.4580702269
"2067/2068",2068,123,123,100,1292,1131,72.8531820428434,10733.4339375515
"2068/2069",2069,123,123,100,1256,1048.5,73.722932671817,10268.0848276024
"2069/2070",2070,123,123,100,1311,1083.5,73.1220604405553,11085.5853126589
"2070/2071",2071,123,123,100,1360,1245,78.2254745390474,10204.7345852405
"2071/2072",2072,123,123,100,1344,1222,77.2181072194671,10139.6066640192
"2072/2073",2073,123,123,100,1420,1251.5,77.8230970078766,9041.04599255044
"2073/2074",2074,123,123,100,1397,1369,77.976762822258,9649.66091636801
"2074/2075",2075,123,123,100,1327,1192,74.4254611776087,11120.5934585845
"2075/2076",2076,123,123,100,1349,1172,75.0806826546668,10499.5928202388
"2076/2077",2077,123,123,100,1265,1097,73.4065549787265,11195.0444888817
"2077/2078",2078,123,123,100,1401,1246.5,80.1185439351502,10222.4207435814
"2078/2079",2079,123,123,100,1295,1182.5,76.0235670916663,10535.2093875487
"2079/2080",2080,123,123,100,1355,1157.5,77.0223197753076,10205.2177172196
"2080/2081",2081,123,123,100,1369,1304,78.0200476802165,9674.95406415546
"2081/2082",2082,123,123,100,1368,1242,77.2272927918712,10167.4771874682
"2082/2083",2083,123,123,100,1292,1152,72.482875555299,11054.9199211979
"2083/2084",2084,123,123,100,1286,1146,77.5772648329694,10238.2702850201
"2084/2085",2085,123,123,100,1276,1160,74.6698213472009,10351.8610020177
"2085/2086",2086,123,123,100,1285,1075,72.2565022210074,11068.4007040667
"2086/2087",2087,123,123,100,1358,1287,78.4390731669082,8634.57118697651
"2087/2088",2088,123,123,100,1316,1153.5,76.791669115566,11117.9788009878
"2088/2089",2089,123,123,100,1354,1244,74.4684824850483,10725.7893570904
"2089/2090",2090,123,123,100,1335,1128,77.5592098193847,11021.6744052069
"2090/2091",2091,123,123,100,1352,1187.5,73.5080296996348,11655.7139190636
"2091/2092",2092,123,123,100,1300,1199,75.8211093087411,10666.6980473837
"2092/2093",2093,123,123,100,1224,1012,69.5429797356264,11980.8240890624
"2093/2094",2094,123,123,100,1319,1088,72.3414290205656,11576.6482066908
