"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1250,931.5,66.6640049093462,13565.5410000002
"2000/2001",2001,123,123,100,1210,851.5,64.218730041359,14150.2562560576
"2001/2002",2002,123,123,100,1290,951,68.2653505177362,12966.2830655807
"2002/2003",2003,123,123,100,1279,952.5,68.5079543442718,13478.7682364549
"2003/2004",2004,123,123,100,1239,909.5,70.3002615665429,13892.1284109803
"2004/2005",2005,123,123,100,1226,901,67.8066039326725,13448.5364443106
"2005/2006",2006,123,123,100,1231,872.5,64.4391252814967,14238.6157083445
"2006/2007",2007,123,123,100,1226,866.5,64.928370870286,14250.0336818857
"2007/2008",2008,123,123,100,1173,860.5,67.2253585970814,13213.7528955313
"2008/2009",2009,123,123,100,1309,954.5,70.738667679361,13078.1259645905
"2009/2010",2010,123,123,100,1266,971,65.9157558474813,13515.2215843244
"2010/2011",2011,123,123,100,1206,867,66.1629379909023,13933.2522001759
"2011/2012",2012,123,123,100,1276,1012.5,68.6996683402872,12970.0066483672
"2012/2013",2013,123,123,100,1285,1007,69.522153904994,13287.5042995159
"2013/2014",2014,123,123,100,1224,900,67.5424250822803,13543.9438507613
"2014/2015",2015,123,123,100,1242,951,69.5990453500135,12801.1270385897
"2015/2016",2016,123,123,100,1239,896,67.6745955825336,13234.1804980644
"2016/2017",2017,123,123,100,1171,776.5,67.9959739289116,13583.0777294146
"2017/2018",2018,123,123,100,1226,780.5,61.2094422770851,14639.6493872642
"2018/2019",2019,123,123,100,1295,1052.5,71.5974439374095,12627.4591554118
"2019/2020",2020,123,123,100,1231,984,69.0954582547565,12746.5793368256
"2020/2021",2021,123,123,100,1236,915.5,67.3649432743177,13543.9129355606
"2021/2022",2022,123,123,100,1168,841.5,67.8952248557716,13519.4143750619
"2022/2023",2023,123,123,100,1197,748.5,62.7094492350288,14941.3000778474
"2023/2024",2024,123,123,100,1234,1024.5,73.822154415142,12121.4811343318
"2024/2025",2025,123,123,100,1180,802,64.304303908194,14141.3725895723
"2025/2026",2026,123,123,100,1240,865.5,69.2102726423591,14127.522513062
"2026/2027",2027,123,123,100,1235,888.5,69.0168966180436,13017.9143895514
"2027/2028",2028,123,123,100,1197,847,67.4479842736546,13455.0120627349
"2028/2029",2029,123,123,100,1278,983.5,68.646155060258,13674.0420738435
"2029/2030",2030,123,123,100,1235,869.5,69.3295405612935,13093.7010674886
"2030/2031",2031,123,123,100,1267,952.5,63.7043890480863,13631.981587104
"2031/2032",2032,123,123,100,1210,829.5,66.7169680095303,14276.7468157748
"2032/2033",2033,123,123,100,1310,1075.5,69.3619738005173,12918.2367887998
"2033/2034",2034,123,123,100,1219,945,66.9801307243315,12932.9729129323
