"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1224,1105.5,69.308465743582,10351.0801591355
"2000/2001",2001,123,123,100,1227,1150.5,71.8839107448476,11008.9397997176
"2001/2002",2002,123,123,100,1202,1173.5,74.6291045888191,10641.0688895133
"2002/2003",2003,123,123,100,1215,1112.5,72.175299701634,9895.51973958165
"2003/2004",2004,123,123,100,1160,1186.5,72.6030480937804,9709.87115432264
"2004/2005",2005,123,123,100,1168,1077,70.812122853332,11210.8066417478
"2005/2006",2006,123,123,100,1173,1126.5,72.2724478007893,10565.2975815371
"2006/2007",2007,123,123,100,1114,1024.5,72.9577855276738,10503.9574537793
"2007/2008",2008,123,123,100,1181,946,62.8735002208649,12947.0434133399
"2008/2009",2009,123,123,100,1143,1060,72.0287272175478,10744.3039307005
"2009/2010",2010,123,123,100,1273,1183.5,77.644345579024,8744.96855649212
"2010/2011",2011,123,123,100,1284,1287.5,76.4049916200729,10541.8190674947
"2011/2012",2012,123,123,100,1196,1104,72.0488789624703,10414.4478777235
"2012/2013",2013,123,123,100,1212,1185.5,77.491608595162,8867.30387635366
"2013/2014",2014,123,123,100,1151,1108,71.805651460877,11312.2212715952
"2014/2015",2015,123,123,100,1174,1016.5,68.0319573545266,11575.4361272519
"2015/2016",2016,123,123,100,1223,1135.5,70.7582733319716,11712.5535327601
"2016/2017",2017,123,123,100,1087,1068.5,66.9891611130827,13577.0186267693
"2017/2018",2018,123,123,100,1189,1143.5,68.4481185774659,12025.368493119
"2018/2019",2019,123,123,100,1057,963,70.4653869434137,10133.8796766591
"2019/2020",2020,123,123,100,1215,1119,72.7697372593814,10485.6771734669
"2020/2021",2021,123,123,100,1199,1127,71.8550624776176,10373.0797662092
"2021/2022",2022,123,123,100,1274,1076,64.8911455116795,12282.6361215769
"2022/2023",2023,123,123,100,1169,1191.5,71.5508691650944,11311.2345129028
"2023/2024",2024,123,123,100,1130,1036,69.2885431413169,10893.9736914677
"2024/2025",2025,123,123,100,1177,1055.5,65.3224007019762,11583.2213743606
"2025/2026",2026,123,123,100,1131,1046.5,69.4427886016329,11374.3763636977
"2026/2027",2027,123,123,100,1118,1032.5,66.0760747603376,12549.2284645962
"2027/2028",2028,123,123,100,1157,1005,66.0736673217957,12468.328983427
"2028/2029",2029,123,123,100,1286,1247,74.590450013096,8547.46936645359
"2029/2030",2030,123,123,100,1115,1040,68.0287096436314,12986.9722873061
"2030/2031",2031,123,123,100,1292,1161,72.5410263945591,9654.93509917753
"2031/2032",2032,123,123,100,1320,1295,71.9474546370707,10366.4830127414
"2032/2033",2033,123,123,100,1292,1218,74.6488561717929,8466.80968903797
"2033/2034",2034,123,123,100,1169,1090.5,68.720670843576,10948.9170064987
"2034/2035",2035,123,123,100,1190,1087.5,69.0959826373714,12547.3547853031
"2035/2036",2036,123,123,100,1264,1335,75.9449510541654,9868.58392290631
"2036/2037",2037,123,123,100,1152,952.5,62.2410233902724,12412.5987349311
"2037/2038",2038,123,123,100,1253,1087,67.3440894986834,9905.3410539655
"2038/2039",2039,123,123,100,1193,1071.5,68.094749055238,12292.6058880785
"2039/2040",2040,123,123,100,1153,1127.5,73.0428741501109,11424.7698824941
"2040/2041",2041,123,123,100,1109,1081.5,70.7850303047044,11365.1832605395
"2041/2042",2042,123,123,100,1298,1149.5,73.8657497843978,10591.8953498933
"2042/2043",2043,123,123,100,1165,1189.5,73.6289441062972,10617.1444000434
"2043/2044",2044,123,123,100,1192,1121,71.0561884697472,10881.3730268748
"2044/2045",2045,123,123,100,1249,1225.5,70.8428820193858,11687.1449055858
"2045/2046",2046,123,123,100,1184,1153,67.627279768858,12296.9049937055
"2046/2047",2047,123,123,100,1199,1092,65.0301433790837,12754.6753740977
"2047/2048",2048,123,123,100,1226,1163.5,72.7622443769051,10860.3279351867
"2048/2049",2049,123,123,100,1132,1082.5,71.7146974724346,9514.6661908729
"2049/2050",2050,123,123,100,1019,950,67.3181450134834,11373.8857209003
"2050/2051",2051,123,123,100,1186,1056,70.7365508977582,9926.23006012058
"2051/2052",2052,123,123,100,1248,1128,72.4172142522502,9070.58373862645
"2052/2053",2053,123,123,100,1180,1202,74.7930315585218,9308.72123657912
