"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1636,1824,87.0248173213501,6191.4632514737
"2000/2001",2001,123,123,100,1555,1884.5,86.8882965646716,6714.098632507
"2001/2002",2002,123,123,100,1627,1906.5,88.046328033969,6172.5752596159
"2002/2003",2003,123,123,100,1647,1823.5,85.5662848788965,5922.29231484199
"2003/2004",2004,123,123,100,1679,1878,87.0916696007819,5853.63749472582
"2004/2005",2005,123,123,100,1609,1866.5,86.4884459281642,6428.98694090301
"2005/2006",2006,123,123,100,1526,1858,88.5714818978325,6313.27547499799
"2006/2007",2007,123,123,100,1569,1696.5,83.9457404117744,6464.37959941901
"2007/2008",2008,123,123,100,1443,1764,84.6111629225422,8248.62341738131
"2008/2009",2009,123,123,100,1552,1745,84.8031625689628,6753.25457659794
"2009/2010",2010,123,123,100,1798,1914.5,88.8392651672327,4881.1437804451
"2010/2011",2011,123,123,100,1647,2108,92.0037976477931,5911.97709526971
"2011/2012",2012,123,123,100,1595,1880,86.4284669134202,6019.24386026501
"2012/2013",2013,123,123,100,1634,1868,86.0768725370376,4921.5106275517
"2013/2014",2014,123,123,100,1558,1820,87.4467847781477,6862.13565482094
"2014/2015",2015,123,123,100,1576,1798,83.8685012376473,6926.94413918338
"2015/2016",2016,123,123,100,1643,1953.5,89.2772817347877,6808.48824285064
"2016/2017",2017,123,123,100,1381,1784,83.9150387111454,8650.40075774444
"2017/2018",2018,123,123,100,1520,1849,86.0223273272968,7626.39769336884
"2018/2019",2019,123,123,100,1453,1710.5,83.9805017194917,5862.33790071541
"2019/2020",2020,123,123,100,1629,1962,90.2858205328635,5703.24221536517
"2020/2021",2021,123,123,100,1669,1861,87.543965610274,6216.78029084718
"2021/2022",2022,123,123,100,1579,1935,86.9170781811936,7213.41055138269
"2022/2023",2023,123,123,100,1473,1920,87.2969217775722,7128.00652227132
"2023/2024",2024,123,123,100,1630,1791,87.1891751894195,6013.03169696545
"2024/2025",2025,123,123,100,1501,1745.5,80.1693226892235,7800.49464702932
"2025/2026",2026,123,123,100,1468,1768,84.1256768758244,7203.66776343109
"2026/2027",2027,123,123,100,1614,1944,88.850535703119,6764.98229665402
"2027/2028",2028,123,123,100,1548,1765.5,83.4892014864017,7807.8868783582
"2028/2029",2029,123,123,100,1775,1899,86.4265376485578,5135.36654871842
"2029/2030",2030,123,123,100,1459,1850.5,85.0542358559496,7587.69444506336
"2030/2031",2031,123,123,100,1610,1797.5,83.7934646024296,6212.07011371572
"2031/2032",2032,123,123,100,1625,2019.5,90.050381442381,6271.69477672642
"2032/2033",2033,123,123,100,1783,1900.5,88.5362779943398,4644.88629560266
"2033/2034",2034,123,123,100,1565,1858.5,87.6662316889406,6368.46801898815
"2034/2035",2035,123,123,100,1541,1876.5,87.599020691825,7635.70300366404
"2035/2036",2036,123,123,100,1680,1978,87.6069046450011,6159.24219255988
"2036/2037",2037,123,123,100,1477,1624,81.6539831928749,8169.20125214662
"2037/2038",2038,123,123,100,1672,1861.5,88.7349419935026,5375.24704620009
"2038/2039",2039,123,123,100,1629,1940,87.7746317172332,7050.6946328925
"2039/2040",2040,123,123,100,1600,1911.5,88.4057872515978,6584.97310530674
"2040/2041",2041,123,123,100,1584,1831.5,88.4388248466521,6534.96417149715
"2041/2042",2042,123,123,100,1672,1890,88.5461275346261,5937.30677969428
"2042/2043",2043,123,123,100,1623,1969,90.0420490485621,6281.0282906238
"2043/2044",2044,123,123,100,1622,1875,86.3998183383956,6461.86153470352
"2044/2045",2045,123,123,100,1598,2049,89.7310414398326,6814.49737701006
"2045/2046",2046,123,123,100,1442,1922.5,87.4004353361561,7961.4427070599
"2046/2047",2047,123,123,100,1562,1812.5,86.1940541166323,7761.25337520801
"2047/2048",2048,123,123,100,1613,1979.5,89.8544988803988,6074.84073734889
"2048/2049",2049,123,123,100,1594,1723,86.3583725197577,5944.31596819777
"2049/2050",2050,123,123,100,1340,1590.5,79.9412821643418,7596.79075121926
"2050/2051",2051,123,123,100,1604,1755.5,85.7057432689053,6217.59393612109
"2051/2052",2052,123,123,100,1773,1829.5,89.279016666299,5061.77174802963
"2052/2053",2053,123,123,100,1719,1916.5,89.5055539029281,4930.42942308309
"2053/2054",2054,123,123,100,1711,1875,85.8205872076032,5994.85526047321
"2054/2055",2055,123,123,100,1704,1938,87.7782571926991,5491.43372489838
"2055/2056",2056,123,123,100,1647,1855.5,89.0890187318964,4894.823325729
"2056/2057",2057,123,123,100,1779,1867,87.9589349299777,5047.05257425783
"2057/2058",2058,123,123,100,1752,1871.5,85.8528858687723,5400.21440398041
"2058/2059",2059,123,123,100,1621,1860,87.6393411959025,6530.40158461081
"2059/2060",2060,123,123,100,1484,1766,86.0006831859046,6365.94477060577
"2060/2061",2061,123,123,100,1594,1956,87.9222660523192,5967.24021466821
"2061/2062",2062,123,123,100,1733,1885,90.0060376943347,4884.88931379281
"2062/2063",2063,123,123,100,1681,1894.5,84.9181204118086,6659.76399963815
"2063/2064",2064,123,123,100,1617,1829,84.9885879690082,5415.83196283132
"2064/2065",2065,123,123,100,1647,1913.5,87.66587493712,6967.90323932562
"2065/2066",2066,123,123,100,1439,1691,81.9767050249739,7502.92612349149
"2066/2067",2067,123,123,100,1730,2032,88.9673520022006,4867.265332154
"2067/2068",2068,123,123,100,1542,1843,86.6659940084191,7011.12867591344
"2068/2069",2069,123,123,100,1446,1786.5,85.3227263517983,8535.6663156217
"2069/2070",2070,123,123,100,1554,1881,87.1818991964556,6879.75432027597
"2070/2071",2071,123,123,100,1763,1886.5,90.4660114809558,4420.23537904769
"2071/2072",2072,123,123,100,1734,1991,89.9025692013984,5088.21831950266
"2072/2073",2073,123,123,100,1536,1631,81.2652765402418,6209.92502348591
