"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1657,1844,87.9027036639539,5699.95437924827
"2000/2001",2001,123,123,100,1577,1874,86.2086202487467,6305.42822445089
"2001/2002",2002,123,123,100,1643,1893.5,88.112591594345,5736.44733897393
"2002/2003",2003,123,123,100,1652,1820.5,85.6580659553186,5476.75158909039
"2003/2004",2004,123,123,100,1708,1851.5,87.9306759216223,5507.56812970422
"2004/2005",2005,123,123,100,1661,1882.5,86.4073182050195,5932.24126385874
"2005/2006",2006,123,123,100,1573,1882.5,87.750850471288,5806.49994569767
"2006/2007",2007,123,123,100,1560,1687.5,83.2382407347804,6052.53462696786
"2007/2008",2008,123,123,100,1497,1749,85.2278928367623,7770.98131573561
"2008/2009",2009,123,123,100,1568,1751,84.9430733394233,6274.72151329648
"2009/2010",2010,123,123,100,1809,1878.5,87.2018139934119,4569.98061717721
"2010/2011",2011,123,123,100,1698,2131.5,92.6488124284526,5402.392822386
"2011/2012",2012,123,123,100,1619,1873.5,88.2109126789762,5624.34213149035
"2012/2013",2013,123,123,100,1645,1854.5,86.5003729305733,4593.60188732063
"2013/2014",2014,123,123,100,1588,1831,86.3153694098528,6381.38801293494
"2014/2015",2015,123,123,100,1599,1773.5,87.3210143065394,6486.83902211813
"2015/2016",2016,123,123,100,1652,1955.5,88.5288802139648,6376.96883922489
"2016/2017",2017,123,123,100,1439,1810.5,83.5283287792381,8125.5666104604
"2017/2018",2018,123,123,100,1549,1842,85.8990667623416,7158.06826258986
"2018/2019",2019,123,123,100,1500,1744.5,84.9128876465475,5335.07799915411
"2019/2020",2020,123,123,100,1654,1955,89.7903602567681,5365.70457789535
"2020/2021",2021,123,123,100,1681,1864,88.0908792796145,5786.08333995752
"2021/2022",2022,123,123,100,1627,1950,88.2957654357283,6718.17917983257
"2022/2023",2023,123,123,100,1537,1938.5,88.9610326585389,6564.52111516614
"2023/2024",2024,123,123,100,1652,1770.5,87.1228750379078,5671.79353309632
"2024/2025",2025,123,123,100,1521,1770,80.4476086099612,7307.70576394326
"2025/2026",2026,123,123,100,1484,1788,82.8699734971633,6711.3235139919
"2026/2027",2027,123,123,100,1647,1942.5,89.6582144510203,6287.9909552664
"2027/2028",2028,123,123,100,1567,1762,83.9819070394974,7391.78690162511
"2028/2029",2029,123,123,100,1770,1881.5,86.8414260953214,4817.16896572663
"2029/2030",2030,123,123,100,1492,1863.5,86.6398465430966,7075.19874908892
"2030/2031",2031,123,123,100,1629,1766,83.4007842468591,5898.42027020245
"2031/2032",2032,123,123,100,1675,2004.5,87.8539444075686,5872.79727854836
"2032/2033",2033,123,123,100,1783,1843.5,87.6689086056895,4396.60649341764
"2033/2034",2034,123,123,100,1599,1861,87.8373099045048,5898.36724141845
"2034/2035",2035,123,123,100,1584,1896,89.7735255935577,7144.55265157623
"2035/2036",2036,123,123,100,1736,1974,89.6650107380856,5733.30434093019
"2036/2037",2037,123,123,100,1464,1630,81.626258372452,7757.13115715561
"2037/2038",2038,123,123,100,1716,1847.5,88.5297527143366,4983.35036155721
"2038/2039",2039,123,123,100,1660,1937,88.1098291331054,6624.6986873229
