"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1806,1720,85.6333426090485,2885.63175337062
"2000/2001",2001,123,123,100,1816,1824,88.5881452445923,3221.35340368949
"2001/2002",2002,123,123,100,1838,1795.5,87.4322964431626,2809.73432942438
"2002/2003",2003,123,123,100,1782,1712,86.8614720154326,2732.98115104492
"2003/2004",2004,123,123,100,1793,1695.5,88.6341632296443,2800.24492360701
"2004/2005",2005,123,123,100,1794,1752.5,87.0150266964472,2971.19929166703
"2005/2006",2006,123,123,100,1765,1814,88.8871370408862,2845.80602616258
"2006/2007",2007,123,123,100,1608,1603,85.3162308192527,3142.79956706078
"2007/2008",2008,123,123,100,1740,1698.5,85.8088156646218,4050.00782203762
"2008/2009",2009,123,123,100,1722,1663,85.1688157282829,3221.21717685834
"2009/2010",2010,123,123,100,1863,1687.5,86.8545725171875,2156.76417173503
"2010/2011",2011,123,123,100,1961,2008,91.2919869605275,2587.25434014353
"2011/2012",2012,123,123,100,1814,1750.5,88.0789276291716,2772.93308920669
"2012/2013",2013,123,123,100,1786,1710.5,84.6476552846225,2171.31965291919
"2013/2014",2014,123,123,100,1805,1755,88.2217345835325,3192.67311445845
"2014/2015",2015,123,123,100,1692,1639,86.4391668752364,3397.770361915
"2015/2016",2016,123,123,100,1882,1851.5,88.6115288273827,3154.86683359463
"2016/2017",2017,123,123,100,1726,1862,88.3208477735488,4265.70822063647
"2017/2018",2018,123,123,100,1781,1812.5,87.8321580598317,3730.23714069475
"2018/2019",2019,123,123,100,1650,1567,83.7062678210082,2634.07629665709
"2019/2020",2020,123,123,100,1807,1770,88.8911196488871,2534.44456996443
"2020/2021",2021,123,123,100,1829,1702,88.6634735972311,2956.27661257517
"2021/2022",2022,123,123,100,1910,1844,87.576710567801,3424.62926239055
"2022/2023",2023,123,123,100,1835,1948,88.9413042869733,3358.27988086501
"2023/2024",2024,123,123,100,1708,1596.5,86.1379630382548,2777.78261340386
"2024/2025",2025,123,123,100,1744,1690.5,84.4499771163173,3977.25935336202
"2025/2026",2026,123,123,100,1701,1701.5,85.6617442332372,3578.15999484248
"2026/2027",2027,123,123,100,1812,1787.5,87.9441403699984,3096.73784186225
"2027/2028",2028,123,123,100,1698,1717.5,87.3684692039315,3961.17369471164
"2028/2029",2029,123,123,100,1852,1680,87.3687237916729,2432.74178421218
"2029/2030",2030,123,123,100,1693,1837.5,88.0854337004075,3496.56806711713
"2030/2031",2031,123,123,100,1800,1669,85.9199325111958,2967.11586609017
"2031/2032",2032,123,123,100,1903,1887,88.4361566767593,2939.92281786911
"2032/2033",2033,123,123,100,1875,1644,85.4827606067201,2090.89986131806
"2033/2034",2034,123,123,100,1785,1745,87.9600491967803,2922.93980814749
"2034/2035",2035,123,123,100,1781,1871,88.4177722151853,3615.81949013867
"2035/2036",2036,123,123,100,1925,1928.5,88.6885821640099,2836.94691481628
"2036/2037",2037,123,123,100,1649,1582,84.0069457508998,4157.12472435809
"2037/2038",2038,123,123,100,1800,1662,86.6143226126223,2417.86067734309
"2038/2039",2039,123,123,100,1841,1829.5,88.9725272927035,3300.89554667939
"2039/2040",2040,123,123,100,1822,1775.5,88.8822348041276,3066.45933788922
"2040/2041",2041,123,123,100,1731,1740.5,88.9778884945326,2972.50461623166
"2041/2042",2042,123,123,100,1786,1732.5,87.6469183354102,2701.72112381691
"2042/2043",2043,123,123,100,1833,1808,89.4312351357412,2877.52782008285
"2043/2044",2044,123,123,100,1832,1813,88.6730300299942,2958.1486862842
"2044/2045",2045,123,123,100,1945,1986,90.372528116075,3150.71581946174
"2045/2046",2046,123,123,100,1864,1966,89.8413735311906,3883.39624342555
"2046/2047",2047,123,123,100,1754,1788.5,88.1211222735246,3747.31017726474
"2047/2048",2048,123,123,100,1863,1857.5,89.0987307822252,2690.3160470291
"2048/2049",2049,123,123,100,1689,1619,86.8571848833535,2825.63560122252
"2049/2050",2050,123,123,100,1562,1540,81.7336321218318,3864.06501640845
"2050/2051",2051,123,123,100,1746,1616.5,86.1885751262689,2952.78257892793
"2051/2052",2052,123,123,100,1812,1582.5,86.0127775641686,2374.37219151156
"2052/2053",2053,123,123,100,1788,1719.5,87.9705094083602,2082.21042019781
"2053/2054",2054,123,123,100,1850,1719.5,88.3643994139165,3064.90261242352
"2054/2055",2055,123,123,100,1831,1736,87.8523265169733,2420.90799064655
"2055/2056",2056,123,123,100,1719,1660,86.0355078474659,2089.88700989168
"2056/2057",2057,123,123,100,1822,1656,86.3910143802586,2259.6484279111
"2057/2058",2058,123,123,100,1721,1559,87.2674117540955,2417.93696367275
"2058/2059",2059,123,123,100,1754,1738,88.7168098954735,3123.10911072046
"2059/2060",2060,123,123,100,1632,1657,87.2516646242839,2948.4243176952
"2060/2061",2061,123,123,100,1785,1865.5,89.0470079994739,2616.4592780848
"2061/2062",2062,123,123,100,1824,1695.5,86.8828576383985,2187.7583937766
"2062/2063",2063,123,123,100,1826,1721.5,87.7355192771211,3259.92022604216
"2063/2064",2064,123,123,100,1773,1644,85.1963602764699,2492.02141641546
"2064/2065",2065,123,123,100,1812,1769.5,88.3427765331035,3260.87437193422
"2065/2066",2066,123,123,100,1643,1621.5,85.5735840090438,3681.5043120007
"2066/2067",2067,123,123,100,1854,1780,88.8116310452024,2138.87936437083
"2067/2068",2068,123,123,100,1747,1762,88.9669490620927,3326.75167754805
"2068/2069",2069,123,123,100,1685,1797,89.3374727573264,4161.05953649152
"2069/2070",2070,123,123,100,1764,1784,89.6233101459493,3223.02466746327
"2070/2071",2071,123,123,100,1797,1639,87.0106881631746,1934.34878777433
"2071/2072",2072,123,123,100,1855,1724,87.0007141913338,2187.97867036983
"2072/2073",2073,123,123,100,1602,1480.5,81.8489558586116,3034.83062225254
"2073/2074",2074,123,123,100,1806,1485.5,84.7514689603759,1488.27033227962
"2074/2075",2075,123,123,100,1899,1664,87.2025676154572,2190.23723560106
"2075/2076",2076,123,123,100,1816,1723,88.2185093823409,3120.88775367197
"2076/2077",2077,123,123,100,1700,1657,85.5704465660583,4010.45750648249
"2077/2078",2078,123,123,100,1793,1730.5,87.0580018460369,2257.94252995821
"2078/2079",2079,123,123,100,1921,1729.5,87.3877026291375,2614.92285855068
"2079/2080",2080,123,123,100,1826,1713.5,86.9460792777772,3159.58344480023
"2080/2081",2081,123,123,100,1812,1632,85.4880386406694,2041.02809604723
"2081/2082",2082,123,123,100,1668,1577,85.8744814839538,2309.34135985747
"2082/2083",2083,123,123,100,1858,1739.5,88.4191108580835,2789.0479588462
"2083/2084",2084,123,123,100,1765,1650.5,86.9740370637992,3472.46268397849
"2084/2085",2085,123,123,100,1575,1573.5,86.2124830303455,3637.72392236162
