"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1782,1982.5,88.7666384408539,3996.81954077033
"2000/2001",2001,123,123,100,1717,2023,89.9756924654343,4537.92318385556
"2001/2002",2002,123,123,100,1786,2035,91.6617892403949,3953.96534415119
"2002/2003",2003,123,123,100,1787,1953.5,88.1720422397309,3797.47116590466
"2003/2004",2004,123,123,100,1813,1931.5,91.7021517541892,3909.9255473997
"2004/2005",2005,123,123,100,1808,1982.5,91.4145165693485,4209.87665876251
"2005/2006",2006,123,123,100,1717,2008,92.3509367529582,4112.38280530181
"2006/2007",2007,123,123,100,1706,1826,86.9602739264087,4267.93911390676
"2007/2008",2008,123,123,100,1671,1935.5,87.5289260985608,5456.22036941955
"2008/2009",2009,123,123,100,1720,1896.5,86.9216169661781,4390.05356022238
"2009/2010",2010,123,123,100,1941,1974,89.4354172351975,3104.89773307601
"2010/2011",2011,123,123,100,1827,2218,94.2226394833997,3888.26694072981
"2011/2012",2012,123,123,100,1785,1996,88.1758603455878,3940.31635732984
"2012/2013",2013,123,123,100,1823,1969.5,89.0586253169236,3159.35251975583
"2013/2014",2014,123,123,100,1705,1974,90.4373408620313,4483.12456571893
"2014/2015",2015,123,123,100,1692,1887.5,86.0234368007173,4601.19935017871
"2015/2016",2016,123,123,100,1836,2080,91.5421741336877,4413.63774912746
"2016/2017",2017,123,123,100,1610,1987.5,89.1388788015702,5837.41768009029
"2017/2018",2018,123,123,100,1715,2025,89.7301638419331,5142.29348132561
"2018/2019",2019,123,123,100,1606,1819,87.5506898615358,3729.43098673481
"2019/2020",2020,123,123,100,1795,2013.5,91.3663849905406,3717.09682085272
"2020/2021",2021,123,123,100,1866,1994,90.0368854150856,4077.36843880103
"2021/2022",2022,123,123,100,1837,2088.5,89.9147886914811,4736.86821367615
"2022/2023",2023,123,123,100,1695,2089.5,92.9478569068365,4823.21545948135
"2023/2024",2024,123,123,100,1785,1856.5,88.6645938441661,3855.47110576066
"2024/2025",2025,123,123,100,1700,1930.5,88.5972232635086,5277.64964157459
"2025/2026",2026,123,123,100,1647,1916.5,89.0360310106471,4860.93183091679
"2026/2027",2027,123,123,100,1779,2008.5,91.3860191795029,4398.69137045741
"2027/2028",2028,123,123,100,1661,1908.5,89.8735379500904,5329.69806620153
"2028/2029",2029,123,123,100,1896,1964,90.1022611440385,3431.33610077435
"2029/2030",2030,123,123,100,1647,1992,91.8225557469486,4927.87880577287
"2030/2031",2031,123,123,100,1769,1944,87.5389107839528,4085.31679913495
"2031/2032",2032,123,123,100,1798,2134,92.7865406985084,4236.22134251078
"2032/2033",2033,123,123,100,1925,1956,90.4939935243356,3002.60385853634
"2033/2034",2034,123,123,100,1769,1975.5,89.6203167370159,4074.28032218199
"2034/2035",2035,123,123,100,1719,2072,91.5239125474664,5095.78636812069
"2035/2036",2036,123,123,100,1876,2120,90.425471005673,4118.688544665
"2036/2037",2037,123,123,100,1639,1821,86.6756113602269,5376.06805006857
"2037/2038",2038,123,123,100,1857,1910.5,89.2345336486051,3487.2475090106
"2038/2039",2039,123,123,100,1811,2073.5,91.3016659357363,4548.73304904671
"2039/2040",2040,123,123,100,1787,2003,91.6246445176303,4309.84322430007
"2040/2041",2041,123,123,100,1744,1964,90.6384466088357,4224.26653709635
"2041/2042",2042,123,123,100,1805,1982,90.3586465935186,3861.07808743604
"2042/2043",2043,123,123,100,1792,2065,91.8879318122772,4101.187990929
"2043/2044",2044,123,123,100,1820,2047.5,91.36298471791,4213.26837658556
"2044/2045",2045,123,123,100,1837,2202.5,91.7747725052986,4494.29481419083
"2045/2046",2046,123,123,100,1675,2122,92.5878124216542,5463.83789916709
"2046/2047",2047,123,123,100,1721,1979,91.1053486996352,5087.55609157868
"2047/2048",2048,123,123,100,1803,2069.5,91.1517219153056,3911.90412270371
"2048/2049",2049,123,123,100,1746,1846.5,87.5670102468757,3888.78915550606
"2049/2050",2050,123,123,100,1431,1742.5,83.4016957624335,5135.48671145085
"2050/2051",2051,123,123,100,1792,1891.5,89.2645841549456,4069.21536050318
"2051/2052",2052,123,123,100,1896,1904,89.8459996834135,3317.50566007337
"2052/2053",2053,123,123,100,1845,1941,89.1521764991412,3076.90030792542
"2053/2054",2054,123,123,100,1885,1988,89.0850778038839,4274.32824680069
"2054/2055",2055,123,123,100,1859,2003,91.5655551297295,3517.24354598904
"2055/2056",2056,123,123,100,1745,1905.5,88.9986233243326,3073.1825402109
"2056/2057",2057,123,123,100,1920,1959,89.9018434673399,3243.30815872177
"2057/2058",2058,123,123,100,1821,1839.5,88.7505594286413,3433.61742517352
"2058/2059",2059,123,123,100,1785,1969,89.4535215092983,4292.51545691816
"2059/2060",2060,123,123,100,1620,1866.5,88.2068824482867,4117.73177857557
"2060/2061",2061,123,123,100,1764,2055.5,91.3247580457155,3888.66179854376
"2061/2062",2062,123,123,100,1862,1961,91.8245335813335,3233.10097111668
"2062/2063",2063,123,123,100,1808,1964,88.9897988409375,4415.6038317848
"2063/2064",2064,123,123,100,1753,1915.5,87.3255090183757,3549.01146223955
"2064/2065",2065,123,123,100,1778,2027,90.6726767702894,4533.8242483302
"2065/2066",2066,123,123,100,1614,1842.5,87.0462282704411,4934.25686335796
"2066/2067",2067,123,123,100,1838,2026,91.4960843721346,3223.77219149331
"2067/2068",2068,123,123,100,1719,1963.5,90.5525726877822,4641.24957961543
"2068/2069",2069,123,123,100,1601,1966.5,90.4033097855408,5672.34330004221
"2069/2070",2070,123,123,100,1718,2014,90.921349996077,4475.95260764658
"2070/2071",2071,123,123,100,1885,1924.5,90.1379855618434,2864.0023079766
"2071/2072",2072,123,123,100,1894,2019,89.6197142290603,3183.41811266541
"2072/2073",2073,123,123,100,1673,1732.5,85.6433030669632,3993.28684258927
"2073/2074",2074,123,123,100,1955,1849.5,88.7683320647338,2228.73964360915
"2074/2075",2075,123,123,100,1932,1986.5,89.0773929991556,3088.26089352835
"2075/2076",2076,123,123,100,1812,1982.5,90.7217865042021,4255.61181707634
"2076/2077",2077,123,123,100,1712,1856,88.0379994138912,5391.50448158756
"2077/2078",2078,123,123,100,1801,1982.5,89.7040301232119,3264.32721123938
"2078/2079",2079,123,123,100,1899,2046,89.9226572073931,3740.00232283399
"2079/2080",2080,123,123,100,1799,1976.5,88.7651011401413,4306.06615860388
"2080/2081",2081,123,123,100,1859,1904.5,88.5831041354559,2953.3912224276
"2081/2082",2082,123,123,100,1711,1788,89.7130976053322,3341.23500102852
"2082/2083",2083,123,123,100,1858,2014,90.6595220326908,3925.82067863736
"2083/2084",2084,123,123,100,1796,1914.5,88.4891830232282,4653.48237559386
"2084/2085",2085,123,123,100,1624,1770.5,87.5546729691032,4892.26446545403
"2085/2086",2086,123,123,100,1731,2029,89.0279570225175,5303.67708920874
"2086/2087",2087,123,123,100,1756,1793,87.24020249555,3187.03637516964
"2087/2088",2088,123,123,100,1744,1980,89.4199758161812,4249.36666628625
"2088/2089",2089,123,123,100,1707,1827.5,87.5373485696709,3965.11874734517
"2089/2090",2090,123,123,100,1840,1996,89.8421232622113,4132.54297479056
"2090/2091",2091,123,123,100,2043,2158,92.0033309607716,3230.19209786039
"2091/2092",2092,123,123,100,1735,1931.5,90.8262153922733,3823.05064847693
"2092/2093",2093,123,123,100,1590,2043.5,91.4397833430467,5820.01972721238
"2093/2094",2094,123,123,100,1916,2225,92.8474002584971,4438.22213066556
"2094/2095",2095,123,123,100,1751,1833.5,88.286508764877,4220.83822002914
"2095/2096",2096,123,123,100,2008,2072,90.3435976505843,2847.57041592989
