"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2524.5,2.02136580171108,41618.6093578774
"2000/2001",2001,123,123,100,13,-2670,1.00017584680405,42521.631358991
"2001/2002",2002,123,123,100,8,-2708.5,0,42837.78268468
"2002/2003",2003,123,123,100,3,-2590.5,1.00417576900093,43146.4482378561
"2003/2004",2004,123,123,100,0,-2653,0,42925.5049120768
"2004/2005",2005,123,123,100,0,-2601,3.02422269319634,40782.5912492025
"2005/2006",2006,123,123,100,17,-2548,3.03558328608914,42348.9792045112
"2006/2007",2007,123,123,100,11,-2421.5,3.02873114469554,40591.6742932834
"2007/2008",2008,123,123,100,27,-2578,1.94595497574802,39342.7433409221
"2008/2009",2009,123,123,100,34,-2497,2.83619687385,40758.1550505436
"2009/2010",2010,123,123,100,3,-2489,2.01760976952966,42289.0922911454
"2010/2011",2011,123,123,100,0,-2793.5,0,42721.4107803365
"2011/2012",2012,123,123,100,28,-2384,2.02887476341568,40876.0191097106
"2012/2013",2013,123,123,100,3,-2436,3.01754338587921,42510.3495880596
"2013/2014",2014,123,123,100,6,-2620.5,1.00268011604842,41284.4817823954
"2014/2015",2015,123,123,100,8,-2652.5,0.978084770732096,41002.4472695787
"2015/2016",2016,123,123,100,0,-2798,0,42619.5674624781
"2016/2017",2017,123,123,100,0,-2834.5,0,40233.0289372255
"2017/2018",2018,123,123,100,0,-2739.5,1.00222480637246,41424.5445512156
"2018/2019",2019,123,123,100,83,-2088,9.61577783741067,38943.5061220769
"2019/2020",2020,123,123,100,23,-2633.5,2.00691756998732,42102.6203574631
"2020/2021",2021,123,123,100,4,-2671.5,1.01173789225007,42665.9511638577
"2021/2022",2022,123,123,100,4,-2718.5,1.00000887838755,41411.1253462867
"2022/2023",2023,123,123,100,30,-2667,1.99590048365668,41095.6453362028
"2023/2024",2024,123,123,100,4,-2599.5,1.00601329416621,41993.7905772398
"2024/2025",2025,123,123,100,13,-2543,4.04599095106042,40233.9382057851
"2025/2026",2026,123,123,100,26,-2554,4.01114898585122,40813.8848356274
"2026/2027",2027,123,123,100,0,-2853,0,41445.8270293442
"2027/2028",2028,123,123,100,0,-2766,0,41111.6324760476
"2028/2029",2029,123,123,100,8,-2584.5,1.00163074683766,43748.5594656342
"2029/2030",2030,123,123,100,9,-2786.5,0,40982.521041974
"2030/2031",2031,123,123,100,15,-2455.5,3.80437809558252,40625.7503410969
"2031/2032",2032,123,123,100,15,-2744,1.00302648247792,42538.6369965617
"2032/2033",2033,123,123,100,9,-2432,1.64201674445727,42063.3755754395
"2033/2034",2034,123,123,100,17,-2573.5,1.00000000578359,41637.4849254792
"2034/2035",2035,123,123,100,0,-2837.5,0,42013.6858764617
"2035/2036",2036,123,123,100,0,-2749.5,0,43076.8201363101
"2036/2037",2037,123,123,100,0,-2572,0,39841.6417320333
"2037/2038",2038,123,123,100,20,-2439.5,2.98898272596636,41323.0746816657
"2038/2039",2039,123,123,100,0,-2845.5,0,41730.1813903078
"2039/2040",2040,123,123,100,3,-2747,0,41899.9980248185
"2040/2041",2041,123,123,100,0,-2765,0,42442.810045315
"2041/2042",2042,123,123,100,6,-2650.5,0,41923.292083811
"2042/2043",2043,123,123,100,0,-2762,0,43290.6771229319
"2043/2044",2044,123,123,100,0,-2715.5,0,42632.4508757722
"2044/2045",2045,123,123,100,0,-2842.5,0,41859.6951172557
"2045/2046",2046,123,123,100,9,-2726,1.93549139408749,40594.823389098
"2046/2047",2047,123,123,100,0,-2861,0,41204.1555886818
"2047/2048",2048,123,123,100,14,-2638,0,42027.246231677
"2048/2049",2049,123,123,100,1,-2418.5,3.02436168073386,42218.1304788161
"2049/2050",2050,123,123,100,70,-2230,9.97671697783747,37600.5512027359
"2050/2051",2051,123,123,100,6,-2436,3.00472332488668,41337.3307271805
"2051/2052",2052,123,123,100,10,-2495.5,3.01128321004155,42165.4773627128
"2052/2053",2053,123,123,100,0,-2478,0,42745.7622115603
"2053/2054",2054,123,123,100,0,-2692.5,0,43108.4893038627
"2054/2055",2055,123,123,100,9,-2715.5,0.978144518170382,43108.8993591638
"2055/2056",2056,123,123,100,20,-2467,2.01276078031785,43352.7091826834
"2056/2057",2057,123,123,100,0,-2450,1.00256876304131,42596.0873461207
"2057/2058",2058,123,123,100,29,-2536.5,0,41447.8178666821
"2058/2059",2059,123,123,100,0,-2756,0,42438.1850649016
"2059/2060",2060,123,123,100,12,-2509,2.02406982460266,40490.5096349623
"2060/2061",2061,123,123,100,8,-2651.5,1.80661117266679,42836.2197661754
"2061/2062",2062,123,123,100,3,-2480.5,0,43360.8282509912
"2062/2063",2063,123,123,100,0,-2739.5,0,42662.1650323011
"2063/2064",2064,123,123,100,57,-2408,5.69409673253294,41025.8973291535
"2064/2065",2065,123,123,100,3,-2805,1.00914730659827,41518.251149388
"2065/2066",2066,123,123,100,5,-2607,2.025732605627,40400.5892953807
"2066/2067",2067,123,123,100,1,-2607.5,1.00545908623302,42418.0261790911
"2067/2068",2068,123,123,100,9,-2666.5,0,41023.7469251165
"2068/2069",2069,123,123,100,0,-2820,0,39826.9714730131
"2069/2070",2070,123,123,100,0,-2780,0,41594.6582377292
"2070/2071",2071,123,123,100,0,-2517,1.00625137677758,43277.2094037812
"2071/2072",2072,123,123,100,6,-2546,2.01660071305905,42247.520265162
"2072/2073",2073,123,123,100,52,-2306,4.98494641798358,40471.8075966882
"2073/2074",2074,123,123,100,0,-2404,1.00427257554188,43751.0187614989
