"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2551.5,2.00818303904352,39334.3211028654
"2000/2001",2001,123,123,100,13,-2694,1.00340795935321,40259.0872593535
"2001/2002",2002,123,123,100,9,-2739,1.00292715304529,40516.7286457329
"2002/2003",2003,123,123,100,4,-2642.5,1.01358854517276,41050.8416724149
"2003/2004",2004,123,123,100,0,-2705,0,40854.9071283257
"2004/2005",2005,123,123,100,0,-2632.5,3.0278674275639,38706.5546248265
"2005/2006",2006,123,123,100,20,-2572.5,2.02503947483911,39953.6631608519
"2006/2007",2007,123,123,100,10,-2448,3.03178917061088,38398.2238985202
"2007/2008",2008,123,123,100,25,-2577.5,2.97043234228126,36719.6456990247
"2008/2009",2009,123,123,100,36,-2521,3.09063767751311,38315.4143160942
"2009/2010",2010,123,123,100,2,-2609.5,0,41432.6083462988
"2010/2011",2011,123,123,100,0,-2823,0,40500.2466297748
"2011/2012",2012,123,123,100,25,-2429,2.01170133978555,39012.8143743835
"2012/2013",2013,123,123,100,5,-2511.5,3.02474093413849,41133.5154151244
"2013/2014",2014,123,123,100,1,-2698.5,1.01832974806622,39774.9080292683
"2014/2015",2015,123,123,100,8,-2713,0.487392391402111,39125.7419897232
"2015/2016",2016,123,123,100,0,-2831.5,0,40467.4003204217
"2016/2017",2017,123,123,100,1,-2853.5,0,37727.3781226776
"2017/2018",2018,123,123,100,0,-2803.5,0,39806.4039182076
"2018/2019",2019,123,123,100,91,-2109,9.38338732367863,36576.9895380852
"2019/2020",2020,123,123,100,14,-2685,1.98188081023834,40340.3260276895
"2020/2021",2021,123,123,100,5,-2703.5,1.01629321227851,40379.7377938
"2021/2022",2022,123,123,100,0,-2750.5,1.00253265751741,39451.8149061995
"2022/2023",2023,123,123,100,31,-2692,2.01230589676856,38554.5752559598
"2023/2024",2024,123,123,100,3,-2665.5,1.005553634641,40429.7471574806
"2024/2025",2025,123,123,100,16,-2546.5,4.02827117521914,37491.1861509834
"2025/2026",2026,123,123,100,27,-2585,3.99643061333886,38411.9128731508
"2026/2027",2027,123,123,100,0,-2884.5,0,39294.259852814
"2027/2028",2028,123,123,100,0,-2797.5,0,38856.3063008338
"2028/2029",2029,123,123,100,9,-2652.5,0,42319.5175158028
"2029/2030",2030,123,123,100,7,-2801.5,0,38381.9636117858
"2030/2031",2031,123,123,100,5,-2555.5,2.00591563976634,39552.9392292397
"2031/2032",2032,123,123,100,15,-2777.5,0.967885404909161,40454.5947184134
