"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2544,2.02351494860253,40991.8679375479
"2000/2001",2001,123,123,100,14,-2680.5,1.00024081897303,41809.2275502323
"2001/2002",2002,123,123,100,9,-2720,0,42049.7372793677
"2002/2003",2003,123,123,100,4,-2613.5,1.01364303103785,42482.4395684883
"2003/2004",2004,123,123,100,0,-2667,0,42216.2951088219
"2004/2005",2005,123,123,100,0,-2619,3.02607564843578,40335.4296248034
"2005/2006",2006,123,123,100,20,-2552,2.01872698439306,41481.6497950889
"2006/2007",2007,123,123,100,9,-2433,3.0239935559623,39901.5818623576
"2007/2008",2008,123,123,100,27,-2570.5,2.95495832806657,38334.9630793711
"2008/2009",2009,123,123,100,36,-2510,2.69780129616794,40010.6882787324
"2009/2010",2010,123,123,100,2,-2548.5,1.01407859569954,42187.6800815137
"2010/2011",2011,123,123,100,0,-2813.5,0,42200.2936761384
"2011/2012",2012,123,123,100,31,-2391,2.01803752235859,40167.3185204479
"2012/2013",2013,123,123,100,4,-2478.5,3.02738825388244,42291.5382438092
"2013/2014",2014,123,123,100,3,-2657,1.00383558759174,40993.5476853459
"2014/2015",2015,123,123,100,8,-2683.5,0.959264881606806,40584.2739488313
"2015/2016",2016,123,123,100,0,-2810,0,41934.5259770777
"2016/2017",2017,123,123,100,1,-2844.5,0,39553.5448568577
"2017/2018",2018,123,123,100,0,-2775,0,41143.4623114211
"2018/2019",2019,123,123,100,88,-2105.5,9.43655837159695,38239.8938291674
"2019/2020",2020,123,123,100,26,-2652,1.99716627557946,41623.7952611349
"2020/2021",2021,123,123,100,5,-2677.5,1.01525401445492,41863.9403984547
"2021/2022",2022,123,123,100,0,-2728,1.00218453625941,40805.0078457128
"2022/2023",2023,123,123,100,31,-2678,1.98889383417422,40365.2767533688
"2023/2024",2024,123,123,100,5,-2629,1.01113932235585,41625.1594570917
"2024/2025",2025,123,123,100,14,-2538,4.03952410277368,39163.1120565361
"2025/2026",2026,123,123,100,27,-2569.5,3.99636514520178,40151.4815204353
"2026/2027",2027,123,123,100,0,-2872.5,0,40897.7914570756
"2027/2028",2028,123,123,100,0,-2777,0,40292.7027375642
"2028/2029",2029,123,123,100,9,-2612.5,1.00899823645938,43358.5114980885
"2029/2030",2030,123,123,100,6,-2794.5,0,40168.6447604243
"2030/2031",2031,123,123,100,8,-2504.5,3.87212658062603,40442.1436364949
"2031/2032",2032,123,123,100,15,-2761.5,0.954908267835187,42101.7378019444
"2032/2033",2033,123,123,100,8,-2500,1.60768546342333,42108.3982809992
"2033/2034",2034,123,123,100,18,-2586,1.00180776869279,40965.615376797
"2034/2035",2035,123,123,100,0,-2848,0,41369.3323301673
"2035/2036",2036,123,123,100,0,-2774,0,42589.0336435004
"2036/2037",2037,123,123,100,0,-2596.5,0,39237.6779993745
"2037/2038",2038,123,123,100,22,-2485.5,2.98425638205662,41306.7562125456
"2038/2039",2039,123,123,100,0,-2866,0,41017.2632476948
"2039/2040",2040,123,123,100,1,-2771.5,0,41380.5145716537
"2040/2041",2041,123,123,100,0,-2773.5,0,41625.9337991336
"2041/2042",2042,123,123,100,3,-2697,0,41704.2865880318
"2042/2043",2043,123,123,100,0,-2775,0,42436.4303213321
"2043/2044",2044,123,123,100,0,-2727.5,0,42038.0901402663
"2044/2045",2045,123,123,100,0,-2859.5,0,41279.8299462982
"2045/2046",2046,123,123,100,9,-2738.5,1.92364899862393,39899.9323590333
"2046/2047",2047,123,123,100,0,-2869,0,40461.6329215225
"2047/2048",2048,123,123,100,14,-2662,0,41389.3896551486
"2048/2049",2049,123,123,100,1,-2418,3.02293924776785,41232.3454612726
