"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2724.5,1.00182447864829,36129.1483519846
"2000/2001",2001,123,123,100,0,-2798.5,1.00040850530818,35735.5308083484
"2001/2002",2002,123,123,100,6,-2842.5,0,36130.9745031417
"2002/2003",2003,123,123,100,0,-2811.5,0,37916.9866545813
"2003/2004",2004,123,123,100,0,-2816,0,36626.9631738947
"2004/2005",2005,123,123,100,0,-2770,1.00970933873477,34855.338056287
"2005/2006",2006,123,123,100,4,-2725,1.00971569888297,36007.6564118499
"2006/2007",2007,123,123,100,0,-2652.5,1.00308562357314,35500.7164797551
"2007/2008",2008,123,123,100,12,-2683,1.00883832515602,31721.7724019274
"2008/2009",2009,123,123,100,14,-2677,1.9932335345599,34702.791461653
"2009/2010",2010,123,123,100,0,-2814.5,0,39095.4107629838
"2010/2011",2011,123,123,100,0,-2911.5,0,35895.0714928407
"2011/2012",2012,123,123,100,7,-2587.5,1.01565046711424,35428.5985785596
"2012/2013",2013,123,123,100,0,-2725,0,39256.0345758107
"2013/2014",2014,123,123,100,0,-2844.5,0,35770.842904391
"2014/2015",2015,123,123,100,3,-2836,0,35587.4646870112
"2015/2016",2016,123,123,100,0,-2895,0,35716.3303109971
"2016/2017",2017,123,123,100,0,-2921.5,0,32002.5224523367
"2017/2018",2018,123,123,100,0,-2891.5,0,35396.7424471641
"2018/2019",2019,123,123,100,36,-2338.5,5.29160699584158,34187.8999168216
"2019/2020",2020,123,123,100,2,-2778.5,2.01034979951376,36589.4004676393
"2020/2021",2021,123,123,100,0,-2835,0,36393.9625494287
"2021/2022",2022,123,123,100,0,-2833,0,34883.3072903228
"2022/2023",2023,123,123,100,17,-2791.5,1.88348966516281,33191.5668678773
"2023/2024",2024,123,123,100,0,-2811.5,0,37592.9251459897
"2024/2025",2025,123,123,100,2,-2681,2.00866934252136,33017.1930567699
"2025/2026",2026,123,123,100,10,-2723,2.00210147322905,34659.9576261188
"2026/2027",2027,123,123,100,0,-2942.5,0,34307.3715512017
"2027/2028",2028,123,123,100,0,-2905,0,33909.367160826
"2028/2029",2029,123,123,100,4,-2793.5,0,39433.49180244
"2029/2030",2030,123,123,100,0,-2890.5,0,33133.9110543476
"2030/2031",2031,123,123,100,0,-2732.5,0,36707.1530011948
"2031/2032",2032,123,123,100,5,-2856,0,35950.6352467979
"2032/2033",2033,123,123,100,0,-2778.5,0,39723.8476599078
"2033/2034",2034,123,123,100,5,-2770,0,35788.2404733156
"2034/2035",2035,123,123,100,0,-2916.5,0,34434.6142966496
"2035/2036",2036,123,123,100,0,-2878.5,0,36359.9843114801
"2036/2037",2037,123,123,100,0,-2812,0,34147.0198337217
"2037/2038",2038,123,123,100,6,-2723,1.00572579404533,38456.7506544315
"2038/2039",2039,123,123,100,0,-2927,0,34562.1797440443
"2039/2040",2040,123,123,100,0,-2891,0,35259.9121801551
"2040/2041",2041,123,123,100,0,-2898,0,35156.3338059238
"2041/2042",2042,123,123,100,0,-2860.5,0,37171.9482241231
"2042/2043",2043,123,123,100,0,-2891,0,36383.4431557655
"2043/2044",2044,123,123,100,0,-2873.5,0,36391.8269620598
"2044/2045",2045,123,123,100,0,-2934.5,0,33992.4755087625
"2045/2046",2046,123,123,100,0,-2842.5,0,32679.3098317091
"2046/2047",2047,123,123,100,0,-2933.5,0,33198.34093267
"2047/2048",2048,123,123,100,5,-2794.5,0,36159.1509523047
"2048/2049",2049,123,123,100,0,-2651,1.00514564952143,36723.6428496111
"2049/2050",2050,123,123,100,16,-2447,8.05789029685813,31855.7271776251
"2050/2051",2051,123,123,100,0,-2683.5,2.01579754374561,36672.263333417
"2051/2052",2052,123,123,100,5,-2768,0,38470.6993474215
"2052/2053",2053,123,123,100,0,-2788.5,0,39217.6476448709
"2053/2054",2054,123,123,100,0,-2862,0,37912.2036975874
"2054/2055",2055,123,123,100,0,-2870.5,0,37090.6263875058
"2055/2056",2056,123,123,100,5,-2722.5,1.00381880749528,38970.7481376836
"2056/2057",2057,123,123,100,0,-2733.5,0,38883.0817829622
"2057/2058",2058,123,123,100,10,-2750,0,37176.7585861795
"2058/2059",2059,123,123,100,0,-2900.5,0,36229.0099222055
"2059/2060",2060,123,123,100,1,-2689,1.00316725765531,34662.7371617574
"2060/2061",2061,123,123,100,0,-2825.5,0,36668.1098274766
"2061/2062",2062,123,123,100,0,-2742.5,0,38606.7962514125
"2062/2063",2063,123,123,100,0,-2896,0,37398.9352408163
"2063/2064",2064,123,123,100,12,-2619,4.01322074159562,36355.4402669454
"2064/2065",2065,123,123,100,0,-2911,0,34806.277349432
"2065/2066",2066,123,123,100,1,-2779,1.00018710192036,34231.3498121751
"2066/2067",2067,123,123,100,0,-2809.5,0,37493.203631781
"2067/2068",2068,123,123,100,0,-2836.5,0,34747.0740889097
"2068/2069",2069,123,123,100,0,-2902,0,31622.3524291767
"2069/2070",2070,123,123,100,0,-2875.5,0,33856.7419608738
"2070/2071",2071,123,123,100,0,-2800,0,39760.3453537123
"2071/2072",2072,123,123,100,0,-2752.5,1.00873799527454,37471.5048787976
"2072/2073",2073,123,123,100,22,-2531,4.03056049066974,35274.2100838078
"2073/2074",2074,123,123,100,0,-2780,0,42834.8357094144
"2074/2075",2075,123,123,100,0,-2768.5,0,40360.7977439081
"2075/2076",2076,123,123,100,0,-2908,0,36760.3727202239
"2076/2077",2077,123,123,100,0,-2842.5,0,33576.4724225691
"2077/2078",2078,123,123,100,8,-2776.5,1.00830073216756,37944.4961007033
"2078/2079",2079,123,123,100,0,-2881,0,37737.8956419919
"2079/2080",2080,123,123,100,2,-2829,0,35978.2166007962
"2080/2081",2081,123,123,100,0,-2819.5,0,41370.0785295963
"2081/2082",2082,123,123,100,2,-2717.5,1.0138695775256,37600.5346076684
"2082/2083",2083,123,123,100,0,-2873,0,38225.6660392694
"2083/2084",2084,123,123,100,0,-2895,0,35786.7610750478
"2084/2085",2085,123,123,100,0,-2790.5,0,35806.6400838168
"2085/2086",2086,123,123,100,1,-2899,0,33218.7083115643
"2086/2087",2087,123,123,100,3,-2604,2.00331372438125,37918.8175815791
"2087/2088",2088,123,123,100,3,-2722,1.00037207090065,36022.4405470295
"2088/2089",2089,123,123,100,0,-2636.5,0,36758.9720903812
"2089/2090",2090,123,123,100,0,-2907,0,36294.4390274025
"2090/2091",2091,123,123,100,0,-2895.5,0,40971.1111851418
"2091/2092",2092,123,123,100,0,-2694.5,1.0038129904669,36770.2951708138
"2092/2093",2093,123,123,100,0,-2875,0,32612.4660658538
"2093/2094",2094,123,123,100,0,-2946,0,33498.9974438716
"2094/2095",2095,123,123,100,0,-2781,1.00358514958074,36065.1609806875
"2095/2096",2096,123,123,100,0,-2874,0,39665.3328903206
"2096/2097",2097,123,123,100,0,-2849.5,0,34473.2700312696
"2097/2098",2098,123,123,100,0,-2865.5,0,37099.6304310616
"2098/2099",2099,123,123,100,0,-2704,0,37565.7603361774
"2099/2100",2100,123,123,100,0,-2894,0,33121.0868460014
