"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,766,389,17.4275982136512,25079.3228342458
"2000/2001",2001,123,123,100,749,320,16.3513991583046,25587.2385655738
"2001/2002",2002,123,123,100,789,319.5,13.2375171946342,25492.098056743
"2002/2003",2003,123,123,100,788,412.5,16.8132795288945,24930.091997542
"2003/2004",2004,123,123,100,781,369,14.803046652723,25159.2420560031
"2004/2005",2005,123,123,100,770,361.5,11.7498668094501,25362.0491012647
"2005/2006",2006,123,123,100,752,314,15.1014737393767,25560.658182934
"2006/2007",2007,123,123,100,737,405,17.3353943688947,24774.8813571677
"2007/2008",2008,123,123,100,770,292,11.726254379908,25771.4392690138
"2008/2009",2009,123,123,100,806,338,13.6616411271335,25292.3186542131
"2009/2010",2010,123,123,100,811,452,18.3825547372601,24470.2676756285
"2010/2011",2011,123,123,100,746,316.5,10.697262210381,25896.8088674401
"2011/2012",2012,123,123,100,803,397,15.9702670803846,24943.3043115495
"2012/2013",2013,123,123,100,804,440,17.6459153406632,24515.6940820976
"2013/2014",2014,123,123,100,768,350,13.359207175401,25507.0274360694
"2014/2015",2015,123,123,100,808,304,10.5549544232197,25590.2380454377
"2015/2016",2016,123,123,100,781,310.5,7.84109128033947,25808.8139034268
"2016/2017",2017,123,123,100,734,252.5,7.5234188062031,26453.8049860757
"2017/2018",2018,123,123,100,700,259.5,12.9207969625035,26309.0356744889
"2018/2019",2019,123,123,100,803,379,17.128552008047,24464.1893276763
"2019/2020",2020,123,123,100,805,365.5,10.4770483137769,25212.7531452575
"2020/2021",2021,123,123,100,802,393,12.8133732207423,25157.5713944589
"2021/2022",2022,123,123,100,793,366.5,11.9097428676517,25528.3134502438
"2022/2023",2023,123,123,100,677,295,16.1182970285773,25974.672145329
"2023/2024",2024,123,123,100,870,364.5,14.0195691461208,25081.7913035825
"2024/2025",2025,123,123,100,772,353.5,16.5490209085467,25164.1149443788
"2025/2026",2026,123,123,100,742,346,17.1386879714598,25612.3491246859
"2026/2027",2027,123,123,100,797,273.5,4.72078856975884,26153.5077399067
"2027/2028",2028,123,123,100,761,255,10.9816318395421,26031.7864997084
"2028/2029",2029,123,123,100,759,403.5,23.2590586720514,24706.1644114326
"2029/2030",2030,123,123,100,761,247.5,5.70101964694436,26360.1809692592
"2030/2031",2031,123,123,100,791,415.5,21.4185435246114,24897.7606136031
