"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,798,484,21.5162766329312,24289.6576354122
"2000/2001",2001,123,123,100,763,407.5,18.3356488014342,24808.9773541097
"2001/2002",2002,123,123,100,812,420,20.1602885783744,24643.6086386357
"2002/2003",2003,123,123,100,802,502,22.201922549725,24094.9661880028
"2003/2004",2004,123,123,100,807,448.5,19.5883795168947,24322.9033503118
"2004/2005",2005,123,123,100,789,451,17.0235168462136,24615.8608535302
"2005/2006",2006,123,123,100,777,418.5,21.9053516894778,24631.5135418765
"2006/2007",2007,123,123,100,762,489.5,20.8757677850284,23985.6494168628
"2007/2008",2008,123,123,100,804,402.5,13.0533209323542,24975.2910569562
"2008/2009",2009,123,123,100,842,444.5,20.8213600143046,24527.5961457051
"2009/2010",2010,123,123,100,823,559.5,23.8665352662298,23659.6899720195
"2010/2011",2011,123,123,100,759,401,20.7844533810136,25005.6928785805
"2011/2012",2012,123,123,100,832,486,18.9862721396053,24092.7291826392
"2012/2013",2013,123,123,100,826,518.5,23.2164179315882,23721.2321897643
"2013/2014",2014,123,123,100,793,418.5,19.1166551803997,24735.5833679442
"2014/2015",2015,123,123,100,836,380.5,16.9342372195296,24890.7436599252
"2015/2016",2016,123,123,100,807,388,11.5456461641176,25047.4001138855
"2016/2017",2017,123,123,100,756,328.5,10.8423052575887,25818.769634018
"2017/2018",2018,123,123,100,712,340.5,17.0344197357442,25620.5887960396
"2018/2019",2019,123,123,100,838,494.5,24.4594179051388,23622.1112273675
"2019/2020",2020,123,123,100,852,454,15.4202441150602,24364.6823309627
"2020/2021",2021,123,123,100,834,488,18.7312027610822,24327.3757885254
"2021/2022",2022,123,123,100,819,440.5,16.2587507616711,24812.4953378038
"2022/2023",2023,123,123,100,713,390,19.1812446015588,25119.1779085675
"2023/2024",2024,123,123,100,883,448,15.2942818607853,24394.5193276862
"2024/2025",2025,123,123,100,782,450.5,17.6806458112069,24497.771711037
"2025/2026",2026,123,123,100,759,428,19.8677949079604,24855.2897143015
"2026/2027",2027,123,123,100,821,361.5,9.57358474253817,25399.8924365719
"2027/2028",2028,123,123,100,773,367.5,11.8395928738421,25225.5391105488
"2028/2029",2029,123,123,100,780,506.5,27.5198333715249,23830.3779536891
"2029/2030",2030,123,123,100,776,344.5,8.26761625025551,25569.8289550277
"2030/2031",2031,123,123,100,823,486,23.0914440695095,24175.2834725138
"2031/2032",2032,123,123,100,718,389.5,19.9302429584939,24899.4195038555
"2032/2033",2033,123,123,100,866,528.5,24.2008259027798,23592.3329162751
"2033/2034",2034,123,123,100,814,440.5,18.1352006869275,24491.5403837864
"2034/2035",2035,123,123,100,718,354.5,12.4297259578965,25672.8867185186
"2035/2036",2036,123,123,100,714,437,20.3978140152951,24759.9871417219
"2036/2037",2037,123,123,100,820,397.5,18.2027366522871,25074.5435085478
"2037/2038",2038,123,123,100,875,511.5,23.5897444550958,23818.2229331504
"2038/2039",2039,123,123,100,816,380,9.66160006468158,25212.8327351529
"2039/2040",2040,123,123,100,792,386,14.8682222062937,25077.6266344078
"2040/2041",2041,123,123,100,787,408.5,15.8735959069813,24960.9752211608
"2041/2042",2042,123,123,100,824,426,13.2298989576639,24568.5956219812
"2042/2043",2043,123,123,100,789,413,19.8190106211055,24837.1723128604
"2043/2044",2044,123,123,100,780,440,19.3696418822733,24775.714689611
"2044/2045",2045,123,123,100,742,373.5,10.5561264314852,25406.2918917495
"2045/2046",2046,123,123,100,713,397.5,16.0266796055441,25418.4777711108
"2046/2047",2047,123,123,100,774,357.5,14.8602133621118,25561.5185581418
"2047/2048",2048,123,123,100,793,415.5,17.5392538608864,24722.3146448378
"2048/2049",2049,123,123,100,828,535,23.2444163173213,23724.2693812409
"2049/2050",2050,123,123,100,844,499,18.9973237368597,23816.0173345106
"2050/2051",2051,123,123,100,820,517,24.2507366252605,23842.8992686551
"2051/2052",2052,123,123,100,850,523.5,25.4578223771637,23648.0636407128
"2052/2053",2053,123,123,100,851,479.5,21.8501835159107,23939.5544202235
"2053/2054",2054,123,123,100,800,473,22.0603243591418,24148.1348177949
"2054/2055",2055,123,123,100,845,438.5,19.1454756642584,24520.6539308652
"2055/2056",2056,123,123,100,841,448.5,20.8822227450048,24075.7355590137
"2056/2057",2057,123,123,100,769,567,25.6959808993481,23564.274350727
"2057/2058",2058,123,123,100,876,353.5,11.823740066013,24656.2927992139
"2058/2059",2059,123,123,100,821,442.5,15.014900068458,24708.2921159929
"2059/2060",2060,123,123,100,820,408.5,16.714902074614,24628.8788432116
"2060/2061",2061,123,123,100,765,397.5,19.534868716318,24881.9555642866
"2061/2062",2062,123,123,100,791,504.5,26.5317723945109,23882.289973435
"2062/2063",2063,123,123,100,783,388.5,15.0791209113884,24901.1389664132
"2063/2064",2064,123,123,100,864,524,21.7042435184596,23633.5180213405
"2064/2065",2065,123,123,100,802,389.5,10.0856667218834,25288.8721719198
"2065/2066",2066,123,123,100,827,410,18.7299172204994,24888.2346203327
"2066/2067",2067,123,123,100,835,448,19.3175173211976,24408.3653440513
"2067/2068",2068,123,123,100,773,425.5,16.2675528125701,24860.4959270759
"2068/2069",2069,123,123,100,788,305.5,9.8554830333203,25945.3075305773
"2069/2070",2070,123,123,100,787,374,14.7445620519916,25364.8336056862
"2070/2071",2071,123,123,100,864,541,24.614070428325,23588.5633715177
"2071/2072",2072,123,123,100,863,465,16.7212403921442,24152.0414050529
"2072/2073",2073,123,123,100,895,493.5,23.9525290003671,23783.1004139036
"2073/2074",2074,123,123,100,908,591.5,30.4221404281648,22911.2661166508
"2074/2075",2075,123,123,100,787,538,26.4094834655421,23380.8408356216
"2075/2076",2076,123,123,100,814,427.5,18.5495683616023,24663.0320947031
"2076/2077",2077,123,123,100,799,407.5,18.9325515620903,24941.8251208095
"2077/2078",2078,123,123,100,827,469.5,23.7268307117306,24215.3547275327
"2078/2079",2079,123,123,100,836,478.5,24.2209672038643,24302.874776138
"2079/2080",2080,123,123,100,812,393.5,20.9554473359053,24700.8663043268
"2080/2081",2081,123,123,100,855,506,23.8116804877786,23753.6020614747
"2081/2082",2082,123,123,100,832,479.5,23.4427027307779,23873.5295293871
"2082/2083",2083,123,123,100,781,454,18.6976933475844,24451.310654074
"2083/2084",2084,123,123,100,817,433.5,15.9401296134733,24615.6993242428
"2084/2085",2085,123,123,100,800,415,19.3432303725399,24592.6966722021
"2085/2086",2086,123,123,100,734,362,17.1144182209537,25448.7720576441
"2086/2087",2087,123,123,100,922,523,20.5021504614797,23549.2738252524
"2087/2088",2088,123,123,100,780,455,21.1677095777713,24326.1282756748
"2088/2089",2089,123,123,100,798,536.5,29.232582947729,23697.4865009524
"2089/2090",2090,123,123,100,810,402.5,16.6112515953714,24918.4254311165
"2090/2091",2091,123,123,100,739,504,23.4589760901213,24045.8219866185
"2091/2092",2092,123,123,100,806,514,22.7884775586977,23930.0062942095
"2092/2093",2093,123,123,100,694,385.5,17.2262387157957,25568.397751878
"2093/2094",2094,123,123,100,736,397,13.7854135610382,25319.0676132608
"2094/2095",2095,123,123,100,861,435.5,17.4641538464907,24491.5645654984
"2095/2096",2096,123,123,100,856,506.5,27.6396849421003,23909.4848430771
"2096/2097",2097,123,123,100,787,402.5,13.1153203283679,25120.1810432374
"2097/2098",2098,123,123,100,751,439.5,21.3531559161374,24740.3642836865
"2098/2099",2099,123,123,100,835,479,20.0752902816666,23988.2037704755
"2099/2100",2100,123,123,100,747,357.5,12.9984646346229,25455.5180964619
