"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2438,0,51165.1666745957
"2000/2001",2001,123,123,100,8,-2404.5,0,50781.1195165378
"2001/2002",2002,123,123,100,0,-2383.5,0,50408.4177973922
"2002/2003",2003,123,123,100,0,-2494,0,51695.9495312046
"2003/2004",2004,123,123,100,0,-2462,0,51077.7384119441
"2004/2005",2005,123,123,100,0,-2350.5,0,50407.2319521825
"2005/2006",2006,123,123,100,0,-2414.5,0,50121.2188911156
"2006/2007",2007,123,123,100,0,-2414.5,0,50441.3844867391
"2007/2008",2008,123,123,100,8,-2236,0,49201.0372094119
"2008/2009",2009,123,123,100,3,-2423.5,0,50936.3603772838
"2009/2010",2010,123,123,100,0,-2483.5,0,51749.5012160207
"2010/2011",2011,123,123,100,0,-2384.5,0,51018.0031963317
"2011/2012",2012,123,123,100,0,-2417,0,51057.5139376158
"2012/2013",2013,123,123,100,0,-2474,0,51603.8101982335
"2013/2014",2014,123,123,100,0,-2367.5,0,50648.9909303365
"2014/2015",2015,123,123,100,5,-2293,0,50070.2745924438
"2015/2016",2016,123,123,100,0,-2324.5,0,50051.1581435939
"2016/2017",2017,123,123,100,0,-2243.5,0,49489.2849423024
"2017/2018",2018,123,123,100,4,-2404,0,50639.7749363887
"2018/2019",2019,123,123,100,0,-2397,0,50486.5989721301
"2019/2020",2020,123,123,100,0,-2315,0,50242.4425498992
"2020/2021",2021,123,123,100,0,-2431,0,51157.9661397422
"2021/2022",2022,123,123,100,0,-2287.5,0,50191.0431849323
"2022/2023",2023,123,123,100,0,-2466.5,0,51143.0277282097
"2023/2024",2024,123,123,100,0,-2267.5,0,49520.6933685048
"2024/2025",2025,123,123,100,7,-2341.5,0,50021.3459248259
"2025/2026",2026,123,123,100,0,-2423.5,0,50957.8834587755
"2026/2027",2027,123,123,100,0,-2287,0,49975.4689628119
"2027/2028",2028,123,123,100,0,-2246,0,49011.4248998081
"2028/2029",2029,123,123,100,0,-2484,0,51536.7957256194
"2029/2030",2030,123,123,100,0,-2254.5,0,49388.310771144
"2030/2031",2031,123,123,100,0,-2446,0,51540.0129017374
"2031/2032",2032,123,123,100,0,-2393.5,0,50313.3120040419
"2032/2033",2033,123,123,100,0,-2487.5,0,51834.0364425024
"2033/2034",2034,123,123,100,0,-2334.5,0,50384.0446003256
"2034/2035",2035,123,123,100,0,-2327.5,0,49587.1803846387
"2035/2036",2036,123,123,100,0,-2524.5,0,51773.1337227579
"2036/2037",2037,123,123,100,2,-2328.5,0,50166.6018577674
"2037/2038",2038,123,123,100,3,-2362,0,50499.9710855419
"2038/2039",2039,123,123,100,0,-2274,0,49872.7324406486
"2039/2040",2040,123,123,100,0,-2369,0,50440.4989114758
"2040/2041",2041,123,123,100,3,-2361,1.01112000575189,50264.7958463775
"2041/2042",2042,123,123,100,0,-2339.5,0,50213.3219658267
"2042/2043",2043,123,123,100,0,-2366.5,0,49911.0943084415
"2043/2044",2044,123,123,100,0,-2413,0,50805.0121340174
"2044/2045",2045,123,123,100,7,-2354.5,0,50518.2398852054
"2045/2046",2046,123,123,100,0,-2387.5,0,50688.2425350202
"2046/2047",2047,123,123,100,3,-2255,0,49597.9553782297
"2047/2048",2048,123,123,100,0,-2347,0,50301.6127534667
"2048/2049",2049,123,123,100,0,-2526,0,51787.4378243973
"2049/2050",2050,123,123,100,2,-2409.5,0,50971.2287121033
"2050/2051",2051,123,123,100,0,-2444.5,0,51241.3426176794
"2051/2052",2052,123,123,100,0,-2469,0,51480.5404181555
"2052/2053",2053,123,123,100,0,-2362,0,50541.0889130645
"2053/2054",2054,123,123,100,0,-2415,0,50703.2559167873
"2054/2055",2055,123,123,100,0,-2356.5,0,50451.597919778
"2055/2056",2056,123,123,100,0,-2453,0,50741.9191394337
"2056/2057",2057,123,123,100,0,-2526.5,0,51687.6097220872
"2057/2058",2058,123,123,100,0,-2334.5,0,49697.5219890662
"2058/2059",2059,123,123,100,0,-2330.5,0,50151.9442390408
"2059/2060",2060,123,123,100,0,-2366,0,50281.9173796289
"2060/2061",2061,123,123,100,0,-2458,0,50539.9540216047
"2061/2062",2062,123,123,100,0,-2519,0,51262.2345548924
"2062/2063",2063,123,123,100,0,-2330,0,50165.5105206016
"2063/2064",2064,123,123,100,0,-2474,0,51533.1125965286
"2064/2065",2065,123,123,100,0,-2304.5,0,49940.4889257271
"2065/2066",2066,123,123,100,7,-2296.5,0,50170.2077731136
"2066/2067",2067,123,123,100,0,-2419,0,50695.7580212988
"2067/2068",2068,123,123,100,0,-2350,0,50369.0959932059
"2068/2069",2069,123,123,100,0,-2190.5,0,48667.5208493955
"2069/2070",2070,123,123,100,0,-2409,0,50948.6793969478
"2070/2071",2071,123,123,100,0,-2455,0,51049.4542135783
"2071/2072",2072,123,123,100,0,-2397.5,0,50505.7412582785
"2072/2073",2073,123,123,100,0,-2353,0,50267.6220512502
"2073/2074",2074,123,123,100,0,-2483.5,0,51707.272687465
"2074/2075",2075,123,123,100,0,-2521,0,51623.753304597
"2075/2076",2076,123,123,100,2,-2415.5,0,51057.4425200187
"2076/2077",2077,123,123,100,0,-2344.5,0,50254.807641184
"2077/2078",2078,123,123,100,0,-2470.5,0,51438.1432042923
"2078/2079",2079,123,123,100,0,-2363,0,50580.1603504959
"2079/2080",2080,123,123,100,0,-2343,0,49675.3577150442
"2080/2081",2081,123,123,100,0,-2388.5,0,50587.3622808345
"2081/2082",2082,123,123,100,0,-2437,0,51024.1233072244
"2082/2083",2083,123,123,100,0,-2384.5,0,50562.7301914115
"2083/2084",2084,123,123,100,2,-2259,0,49316.669556329
"2084/2085",2085,123,123,100,0,-2301,0,49703.0972187202
"2085/2086",2086,123,123,100,7,-2316.5,0,50182.7915794589
"2086/2087",2087,123,123,100,0,-2289,0,49821.9144228194
"2087/2088",2088,123,123,100,0,-2480,0,51692.6581226569
"2088/2089",2089,123,123,100,0,-2447.5,0,51617.6969429981
"2089/2090",2090,123,123,100,4,-2431,0,50749.4351962935
"2090/2091",2091,123,123,100,0,-2568,0,52002.0775430296
"2091/2092",2092,123,123,100,0,-2394,0,50788.3567114845
"2092/2093",2093,123,123,100,0,-2364,0,50727.7749984767
"2093/2094",2094,123,123,100,2,-2438,0,51123.8881204296
"2094/2095",2095,123,123,100,0,-2359,0,50287.1501248553
"2095/2096",2096,123,123,100,0,-2516.5,0,52082.6485182978
"2096/2097",2097,123,123,100,0,-2370,0,50795.3703584243
"2097/2098",2098,123,123,100,0,-2466.5,0,51472.7887142077
"2098/2099",2099,123,123,100,7,-2345.5,0,50006.6874102075
"2099/2100",2100,123,123,100,0,-2385,0,50554.117467748
