"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,2188,1905,88.6886597633365,1242.78224150457
"2000/2001",2001,123,123,100,1979,1797,86.4112849989054,1248.88668419165
"2001/2002",2002,123,123,100,2249,1997,90.4323596146245,983.988957701935
"2002/2003",2003,123,123,100,2084,1960.5,89.727970817201,1387.44561965835
"2003/2004",2004,123,123,100,2223,1934.5,89.1302382527714,1211.91263886905
"2004/2005",2005,123,123,100,2159,1823,87.8196363030381,1425.95448696247
"2005/2006",2006,123,123,100,2069,1805.5,86.5827065450042,1388.97918856423
"2006/2007",2007,123,123,100,2316,2036.5,91.609407812871,1227.08524866152
"2007/2008",2008,123,123,100,2245,1782.5,86.4492252510208,1002.12061451905
"2008/2009",2009,123,123,100,2050,1864.5,89.1110245025061,1466.78461029998
"2009/2010",2010,123,123,100,2222,1956,89.9769549531825,1710.58180473727
"2010/2011",2011,123,123,100,2019,1700.5,87.841790948888,1283.56381076953
"2011/2012",2012,123,123,100,2043,1878,87.1522217758893,1588.97271358169
"2012/2013",2013,123,123,100,2136,2057.5,90.7013864349115,1471.19786935701
"2013/2014",2014,123,123,100,2084,1782,87.1460614529051,1318.06502545631
"2014/2015",2015,123,123,100,2207,1897,88.1159646501301,1308.78694532451
"2015/2016",2016,123,123,100,2131,1894,87.3072635679182,1046.50801018358
"2016/2017",2017,123,123,100,2110,1640,84.948077278229,771.812669919222
"2017/2018",2018,123,123,100,1930,1643.5,84.3336037024146,1210.33054305334
"2018/2019",2019,123,123,100,2153,2005,89.1352649795836,1855.37182435184
"2019/2020",2020,123,123,100,2096,1865,88.5659311084601,1694.39772173471
"2020/2021",2021,123,123,100,2206,1846.5,88.5036680358298,1217.87586155126
"2021/2022",2022,123,123,100,2068,1699.5,85.9492640100498,1276.50414668326
"2022/2023",2023,123,123,100,2102,1696,86.6635086510105,1190.73721178167
"2023/2024",2024,123,123,100,2169,2035.5,89.6981412227233,1593.91208401031
"2024/2025",2025,123,123,100,2123,1725,86.6658625928385,1043.47804723249
"2025/2026",2026,123,123,100,2098,1829,87.387409000341,1194.49822003185
"2026/2027",2027,123,123,100,2244,1975.5,89.0841949561036,1086.2261501702
"2027/2028",2028,123,123,100,2216,1858.5,88.0340618463833,839.566773851402
"2028/2029",2029,123,123,100,2144,1952.5,89.5532231755487,1484.67395596718
"2029/2030",2030,123,123,100,2252,1862.5,87.8559381859277,828.427822214435
"2030/2031",2031,123,123,100,2036,1840.5,86.933242025666,1594.21774126205
"2031/2032",2032,123,123,100,2197,1774,87.1481107989557,1100.90506961255
"2032/2033",2033,123,123,100,2067,2025.5,89.9507812523707,1826.24340144661
"2033/2034",2034,123,123,100,2218,1885.5,88.3128979996145,1373.70576719148
"2034/2035",2035,123,123,100,2147,1805.5,86.0349107661405,811.252068232978
"2035/2036",2036,123,123,100,2072,1764,87.1500215269843,1160.42346029426
"2036/2037",2037,123,123,100,2293,1882.5,88.9167243106622,941.212045416702
"2037/2038",2038,123,123,100,2066,1998.5,88.7152403398359,1943.03470368241
"2038/2039",2039,123,123,100,2259,1870,88.6356078457029,1021.03298256476
"2039/2040",2040,123,123,100,2121,1821,88.4524266988592,1216.14751743176
"2040/2041",2041,123,123,100,2319,1915,88.5874729454172,930.416839917656
"2041/2042",2042,123,123,100,2151,1916,88.1975197024458,1420.36981699243
"2042/2043",2043,123,123,100,2266,1920,87.8075285311861,1018.45385808311
"2043/2044",2044,123,123,100,2063,1822,87.8446299560364,1174.16425119946
"2044/2045",2045,123,123,100,2042,1631,86.3479335105731,1042.29763029423
"2045/2046",2046,123,123,100,1909,1511.5,82.6882748927874,997.215723787434
"2046/2047",2047,123,123,100,2385,1899.5,88.7403745529591,663.773402935127
"2047/2048",2048,123,123,100,2013,1833.5,86.0041771722572,1407.40895711095
"2048/2049",2049,123,123,100,2127,1972,88.2298816671282,1428.63244247227
"2049/2050",2050,123,123,100,2060,1810,83.8658675192764,2129.58637312567
"2050/2051",2051,123,123,100,2090,1879,88.0497634691365,1572.32961584372
"2051/2052",2052,123,123,100,2220,2010,90.0021738233081,1702.12912607472
"2052/2053",2053,123,123,100,1956,1873,88.3678150133837,1908.53784961323
"2053/2054",2054,123,123,100,2125,1851,87.4513873486176,1415.8863638069
"2054/2055",2055,123,123,100,2216,1989,88.5255811019597,1319.63470838638
"2055/2056",2056,123,123,100,2138,2050.5,89.53191784111,1705.67624369287
"2056/2057",2057,123,123,100,2251,1964.5,90.6298900760503,1460.23437104491
"2057/2058",2058,123,123,100,2093,2052.5,90.3165219842285,1741.17115935287
"2058/2059",2059,123,123,100,2243,2019,87.9670849623708,1033.529371324
"2059/2060",2060,123,123,100,2241,2046,90.1138163820742,1236.19678942743
"2060/2061",2061,123,123,100,2118,1900.5,87.5362317356849,1333.12812882499
"2061/2062",2062,123,123,100,2204,2007,89.9258932451085,1460.16506489646
"2062/2063",2063,123,123,100,2271,1939.5,88.7742034522162,1111.52331005805
"2063/2064",2064,123,123,100,2146,2064,90.5170085529062,1789.29743992281
"2064/2065",2065,123,123,100,2284,1898.5,88.5879450201301,1003.61785703641
