"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,2214,2049,89.6916482832344,1487.07613019879
"2000/2001",2001,123,123,100,2034,1910,87.6834211759996,1468.89588328397
"2001/2002",2002,123,123,100,2308,2139,90.7357186234054,1194.80609802796
"2002/2003",2003,123,123,100,2106,2082,90.1284498257997,1642.5936292369
"2003/2004",2004,123,123,100,2249,2075.5,90.0925500899201,1409.0994488631
"2004/2005",2005,123,123,100,2219,1981.5,89.6864882940733,1669.57975580561
"2005/2006",2006,123,123,100,2105,1969.5,88.5464741830044,1631.7808328057
"2006/2007",2007,123,123,100,2344,2203,92.0222730768555,1432.39045614906
"2007/2008",2008,123,123,100,2291,1968,89.2037270104499,1196.2559282789
"2008/2009",2009,123,123,100,2081,1977.5,89.4098088540659,1756.21831569111
"2009/2010",2010,123,123,100,2245,2136,90.4839809166078,1924.88690727018
"2010/2011",2011,123,123,100,2106,1837,88.8747871746732,1515.6453190691
"2011/2012",2012,123,123,100,2061,2008.5,89.4325762648032,1858.38171016407
"2012/2013",2013,123,123,100,2170,2171,90.9002562255541,1716.77990195021
"2013/2014",2014,123,123,100,2124,1933.5,89.2886228186271,1533.28674954659
"2014/2015",2015,123,123,100,2240,2063,90.8595159033962,1538.75231589959
"2015/2016",2016,123,123,100,2164,2031,88.0729679275619,1240.55772755586
"2016/2017",2017,123,123,100,2206,1799.5,87.2359308941263,935.303741669864
"2017/2018",2018,123,123,100,2027,1789.5,86.6326191853532,1393.01171975129
"2018/2019",2019,123,123,100,2148,2106,90.3464107688815,2236.87015983311
"2019/2020",2020,123,123,100,2148,2032,90.0290114522259,1914.4873128396
"2020/2021",2021,123,123,100,2242,2029,90.8707249590352,1420.43327942688
"2021/2022",2022,123,123,100,2151,1834.5,87.2503484314038,1496.18690627662
"2022/2023",2023,123,123,100,2163,1823,87.251991403773,1436.3522200454
"2023/2024",2024,123,123,100,2236,2164.5,92.0374397605374,1831.93868763745
"2024/2025",2025,123,123,100,2210,1870,88.3812625664532,1243.96693103993
"2025/2026",2026,123,123,100,2136,1973.5,89.3648052823091,1405.57817447861
"2026/2027",2027,123,123,100,2259,2132.5,89.5968736516452,1303.45707621076
"2027/2028",2028,123,123,100,2271,1995,90.697002913942,1012.48038268567
"2028/2029",2029,123,123,100,2186,2100.5,92.4927774166481,1714.58786060975
"2029/2030",2030,123,123,100,2278,2014,89.0709236850307,1013.74153323448
"2030/2031",2031,123,123,100,2088,1986.5,90.1921492425899,1787.62818277115
"2031/2032",2032,123,123,100,2249,1957,88.323336993526,1285.00825186865
"2032/2033",2033,123,123,100,2065,2146,90.400975147797,2072.99448602926
"2033/2034",2034,123,123,100,2255,2063,89.6644918146385,1617.03623203421
"2034/2035",2035,123,123,100,2221,1957.5,88.2576644873297,974.869405124569
"2035/2036",2036,123,123,100,2121,1922.5,87.7261490768142,1359.90230400744
"2036/2037",2037,123,123,100,2392,2086,89.9509975496949,1076.64771517366
"2037/2038",2038,123,123,100,2074,2092,90.2375997081672,2274.52572022867
"2038/2039",2039,123,123,100,2327,2043,89.8042665089506,1202.17590237665
"2039/2040",2040,123,123,100,2189,1977,88.6685802957545,1453.07163815061
"2040/2041",2041,123,123,100,2376,2103.5,90.2061087282691,1124.61260284181
"2041/2042",2042,123,123,100,2206,2060.5,90.4231585014622,1626.66478678817
"2042/2043",2043,123,123,100,2306,2109.5,90.0575724368064,1199.7705567989
"2043/2044",2044,123,123,100,2118,1957,88.4823983754122,1384.1386034782
"2044/2045",2045,123,123,100,2143,1798.5,87.6006276356457,1216.32833826425
"2045/2046",2046,123,123,100,2002,1663.5,84.8433855336443,1130.69934589975
"2046/2047",2047,123,123,100,2423,2088.5,90.332342628335,816.604459660128
"2047/2048",2048,123,123,100,2060,1946.5,87.6830875699743,1651.54749253532
"2048/2049",2049,123,123,100,2143,2101.5,88.8373723515142,1681.61292849807
"2049/2050",2050,123,123,100,2096,1946,85.2097493197871,2421.8596387885
"2050/2051",2051,123,123,100,2129,1996,89.0204195156912,1809.27949204622
"2051/2052",2052,123,123,100,2222,2172.5,91.9216737867209,1965.82231519232
"2052/2053",2053,123,123,100,2006,1976,89.1384341327011,2197.00958317239
"2053/2054",2054,123,123,100,2145,2003.5,89.763934782648,1667.75462016393
"2054/2055",2055,123,123,100,2226,2140.5,90.7958553727767,1583.08569466695
"2055/2056",2056,123,123,100,2132,2183,90.9907865868645,2010.42893595714
"2056/2057",2057,123,123,100,2250,2141,91.7371125212067,1717.19308128417
"2057/2058",2058,123,123,100,2066,2181,92.5084992777192,2075.56738351053
"2058/2059",2059,123,123,100,2278,2181.5,89.0741503116151,1212.25174699561
"2059/2060",2060,123,123,100,2261,2174,91.9097979146718,1488.58430698211
"2060/2061",2061,123,123,100,2138,2034.5,89.194781846405,1538.04047364742
"2061/2062",2062,123,123,100,2203,2150.5,91.0640742198648,1737.51090109255
"2062/2063",2063,123,123,100,2326,2148.5,90.0406529846314,1275.21541033685
"2063/2064",2064,123,123,100,2156,2154.5,90.4151843210966,2105.05258904118
"2064/2065",2065,123,123,100,2352,2097,89.1223630477289,1166.86001083255
"2065/2066",2066,123,123,100,2296,2122.5,91.0599699377544,1229.04680739762
"2066/2067",2067,123,123,100,2245,2151,91.3979818235657,1744.43552979873
"2067/2068",2068,123,123,100,2251,1986.5,88.8502739826181,1199.50934634171
"2068/2069",2069,123,123,100,2343,1935,88.5220211370051,891.376871542074
"2069/2070",2070,123,123,100,2340,2085,89.69983275085,1145.26745787868
"2070/2071",2071,123,123,100,2265,2227,92.2644524198768,1945.4029634716
"2071/2072",2072,123,123,100,2219,2149.5,91.6100582161125,1815.73238689592
"2072/2073",2073,123,123,100,2319,2341.5,93.1738713426421,1524.21348653268
"2073/2074",2074,123,123,100,2125,2322,93.0773281545407,2370.95419259416
"2074/2075",2075,123,123,100,2290,2212.5,90.547527050956,1744.64700973593
"2075/2076",2076,123,123,100,2229,2043.5,89.6483133083784,1235.50070900936
"2076/2077",2077,123,123,100,2224,2009.5,88.1762535117959,1186.31835863134
"2077/2078",2078,123,123,100,2174,2131,91.2133302810798,1825.35938516166
"2078/2079",2079,123,123,100,2209,2057.5,90.6937270296694,1541.35897789663
"2079/2080",2080,123,123,100,2337,2137.5,90.4673123403045,1232.15525428299
"2080/2081",2081,123,123,100,2107,2180,91.7058767553863,2218.87020342657
"2081/2082",2082,123,123,100,2156,2237.5,91.3969523716478,1888.79253935488
"2082/2083",2083,123,123,100,2166,1961,89.7184134777162,1601.14923609421
"2083/2084",2084,123,123,100,2410,2174,90.744791979203,1042.20718071517
"2084/2085",2085,123,123,100,2197,2045.5,89.7198219186466,1369.66373810591
"2085/2086",2086,123,123,100,2206,1893,88.4689970212057,965.347328888252
"2086/2087",2087,123,123,100,2287,2337,92.507542036059,2003.76862013713
"2087/2088",2088,123,123,100,2110,1952,89.5838646869088,1652.72082948545
"2088/2089",2089,123,123,100,2041,1943.5,89.3352858908547,2312.41525654495
"2089/2090",2090,123,123,100,2351,2216,90.5457419492668,1137.34270867053
"2090/2091",2091,123,123,100,2150,2030,90.1928665173073,1604.16853042739
"2091/2092",2092,123,123,100,2279,2130,90.436792767614,1663.14357328042
"2092/2093",2093,123,123,100,1991,1582,83.0871213338796,1141.13229929376
"2093/2094",2094,123,123,100,2182,1838.5,88.4509651512635,1024.18004249642
"2094/2095",2095,123,123,100,2286,2174,91.028354141923,1546.54152318556
"2095/2096",2096,123,123,100,2211,2133,91.5404904410498,1846.8109476394
"2096/2097",2097,123,123,100,2179,2013.5,88.3907702789402,1204.51875361148
"2097/2098",2098,123,123,100,1988,1840,87.8406508021217,1732.28954674024
"2098/2099",2099,123,123,100,2105,2063.5,90.5246508495657,2207.15460987249
"2099/2100",2100,123,123,100,2359,2030.5,90.0676315610617,862.832128016278
