"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,138,246.5,37.1111855438737,26398.6352902248
"2000/2001",2001,123,123,100,142,311.5,35.1947524283075,25716.3177096081
"2001/2002",2002,123,123,100,98,253.5,35.589010034189,26386.4697433606
"2002/2003",2003,123,123,100,127,187,33.2968904504106,26997.9270693366
"2003/2004",2004,123,123,100,93,205.5,35.1035643035399,26628.4420818947
"2004/2005",2005,123,123,100,92,282.5,41.2526764082783,26080.5139850195
"2005/2006",2006,123,123,100,142,286,40.7300958922029,25841.1595056256
"2006/2007",2007,123,123,100,118,229.5,34.2452055364619,26625.2115777682
"2007/2008",2008,123,123,100,64,379.5,44.0705201117086,25189.1773865585
"2008/2009",2009,123,123,100,116,192.5,35.1302512809664,26842.4947069261
"2009/2010",2010,123,123,100,68,130.5,34.2910583361165,27621.248032924
"2010/2011",2011,123,123,100,146,373,43.2754472987941,25328.343455039
"2011/2012",2012,123,123,100,112,206.5,33.6721505837447,26761.2504917206
"2012/2013",2013,123,123,100,106,79,29.1544501732875,27757.1397046885
"2013/2014",2014,123,123,100,137,295.5,37.5830660357933,25961.4064227764
"2014/2015",2015,123,123,100,87,246.5,37.26562576021,26535.3820472411
"2015/2016",2016,123,123,100,134,321.5,37.1266914960592,25694.5892940876
"2016/2017",2017,123,123,100,145,501.5,46.0897943919631,24257.6258396243
"2017/2018",2018,123,123,100,165,445.5,42.1506564463092,24713.2057113249
"2018/2019",2019,123,123,100,89,64,28.1141053684748,27993.7110667452
"2019/2020",2020,123,123,100,83,215.5,36.6347449200705,26826.2311776737
"2020/2021",2021,123,123,100,81,264.5,37.1472369103981,26213.6388550531
"2021/2022",2022,123,123,100,127,355.5,40.1640076199798,25423.8364397977
"2022/2023",2023,123,123,100,139,455,44.0805160352568,24661.1861320958
"2023/2024",2024,123,123,100,53,110.5,29.2347403825443,27604.7779178182
"2024/2025",2025,123,123,100,94,413,45.2704427304973,24942.6912655374
"2025/2026",2026,123,123,100,163,316,39.6172683289797,25812.0530198333
"2026/2027",2027,123,123,100,107,270,36.2201932727676,26249.7308253376
"2027/2028",2028,123,123,100,70,386.5,42.3741566082397,25146.1709433249
"2028/2029",2029,123,123,100,93,183,29.1585037285124,27043.8336303383
"2029/2030",2030,123,123,100,95,380,41.0006620543961,25201.5520556509
"2030/2031",2031,123,123,100,88,229,35.2067349439508,26603.6921997927
"2031/2032",2032,123,123,100,110,343.5,41.8744302894386,25463.7387424703
"2032/2033",2033,123,123,100,86,44.5,30.1009715052824,28156.3738817009
"2033/2034",2034,123,123,100,83,219,35.9885856748608,26592.0824436289
"2034/2035",2035,123,123,100,158,439,42.8660354249516,24597.6353993574
"2035/2036",2036,123,123,100,191,360.5,42.567183740337,25287.3391108164
"2036/2037",2037,123,123,100,77,334,38.0503500122779,25660.8671882567
"2037/2038",2038,123,123,100,71,83,33.1295780829048,27824.8807512415
"2038/2039",2039,123,123,100,82,340.5,39.229367735848,25667.607342191
"2039/2040",2040,123,123,100,128,288.5,37.7943256387321,26053.537345252
"2040/2041",2041,123,123,100,83,313.5,39.7350964036129,25788.1789824758
"2041/2042",2042,123,123,100,78,191.5,32.1477489724568,26815.4461021051
"2042/2043",2043,123,123,100,80,325.5,39.2190575677785,25703.9582114136
"2043/2044",2044,123,123,100,154,335.5,40.127454654596,25671.0681576738
"2044/2045",2045,123,123,100,138,465,46.0885097855244,24567.7808123594
"2045/2046",2046,123,123,100,165,543.5,46.6102031427622,23827.246956273
"2046/2047",2047,123,123,100,80,415.5,41.2003359132073,25020.2816239819
"2047/2048",2048,123,123,100,129,269.5,38.1867080374286,26302.7835774804
"2048/2049",2049,123,123,100,98,184.5,34.4735439114429,27078.7407619236
"2049/2050",2050,123,123,100,115,162.5,37.104279419777,26737.8410455137
"2050/2051",2051,123,123,100,88,228,37.1636687271375,26673.5884941444
"2051/2052",2052,123,123,100,69,77,33.175437613475,27842.5304214843
"2052/2053",2053,123,123,100,115,114.5,33.1287067513649,27654.4358038707
"2053/2054",2054,123,123,100,79,258,33.1600874792539,26280.1060453234
"2054/2055",2055,123,123,100,75,170,34.0620125604783,27122.5885399375
"2055/2056",2056,123,123,100,95,37.5,28.5035236925401,28195.995270757
"2056/2057",2057,123,123,100,96,182.5,31.1959738090263,26929.5107394103
"2057/2058",2058,123,123,100,93,15.5,31.4151145240176,28470.3995188987
"2058/2059",2059,123,123,100,95,285,32.9213478144534,26197.168860279
"2059/2060",2060,123,123,100,92,159,32.1513821550693,27220.3220909126
"2060/2061",2061,123,123,100,137,228.5,35.8310821657633,26259.238709827
"2061/2062",2062,123,123,100,126,125,26.868953991047,27357.1758533875
"2062/2063",2063,123,123,100,107,278,36.7419560077205,26135.8674598867
"2063/2064",2064,123,123,100,75,63,31.1351407202455,27957.1231812611
"2064/2065",2065,123,123,100,90,349.5,41.2024633731839,25605.6026763543
"2065/2066",2066,123,123,100,105,261,37.1433773827771,26328.0328048207
"2066/2067",2067,123,123,100,89,132.5,30.2139281784775,27413.3455324043
"2067/2068",2068,123,123,100,103,368,40.2617749204896,25475.6666054092
"2068/2069",2069,123,123,100,84,466,43.0754309945874,24568.3320929771
"2069/2070",2070,123,123,100,90,337.5,38.3482711222769,25594.2450130871
"2070/2071",2071,123,123,100,57,30,31.1780991336113,28138.7016336694
"2071/2072",2072,123,123,100,83,129.5,31.0736808907782,27439.6651851069
"2072/2073",2073,123,123,100,42,77,27.1322018435276,28003.7128780046
"2073/2074",2074,123,123,100,68,-81,21.9786648646309,29387.4089104775
"2074/2075",2075,123,123,100,94,116.5,26.8363457486116,27460.0901854178
"2075/2076",2076,123,123,100,111,297,39.9196373376826,25981.0022158725
"2076/2077",2077,123,123,100,154,377.5,44.5895583146744,25126.151634234
"2077/2078",2078,123,123,100,99,117.5,31.8960634760042,27631.3202441288
"2078/2079",2079,123,123,100,93,203.5,37.0656160955109,26651.6312812148
"2079/2080",2080,123,123,100,71,283,39.2324602562171,26137.1965374332
"2080/2081",2081,123,123,100,74,3,24.8056895083846,28466.6759425104
"2081/2082",2082,123,123,100,64,50.5,29.0847720639472,28129.3973985389
"2082/2083",2083,123,123,100,102,306,38.9063852447835,26138.9145709556
"2083/2084",2084,123,123,100,79,299.5,36.1175423970617,25993.0345221683
"2084/2085",2085,123,123,100,120,299.5,37.1910358622931,26083.4589737039
"2085/2086",2086,123,123,100,145,452,44.8470311722099,24530.4984764531
"2086/2087",2087,123,123,100,21,-11.5,26.1961728780052,28866.9911827017
"2087/2088",2088,123,123,100,157,289.5,38.5459911225475,26174.5149306636
"2088/2089",2089,123,123,100,133,162.5,36.0924310052974,27364.583320953
"2089/2090",2090,123,123,100,97,255.5,36.1764362822,26255.5847260524
"2090/2091",2091,123,123,100,131,231,34.3830700370822,26459.752491232
"2091/2092",2092,123,123,100,78,186.5,33.0969458622139,26916.6305412631
"2092/2093",2093,123,123,100,190,589,49.9315954281847,23425.9584965762
"2093/2094",2094,123,123,100,146,457.5,44.1575045289801,24440.0294084847
"2094/2095",2095,123,123,100,71,162,31.0302307270113,27056.5501794852
"2095/2096",2096,123,123,100,64,90.5,31.0725276544263,27647.335044859
"2096/2097",2097,123,123,100,136,344,41.9213802810946,25708.4929970335
"2097/2098",2098,123,123,100,167,334,40.7472285001522,25766.9246438518
"2098/2099",2099,123,123,100,64,102,33.6639733715274,27547.7054922637
"2099/2100",2100,123,123,100,113,433.5,44.828803520244,24888.7412440535
