"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,68,37,27.1806909368486,28431.7310215413
"2000/2001",2001,123,123,100,68,101.5,28.1234794269798,27732.2186970926
"2001/2002",2002,123,123,100,43,14.5,25.9349508279682,28479.7140663596
"2002/2003",2003,123,123,100,55,-39,24.1256348397602,29033.6315124523
"2003/2004",2004,123,123,100,44,-26,26.0885828400258,28694.3089851124
"2004/2005",2005,123,123,100,37,56.5,31.1819556671384,28159.0331407561
"2005/2006",2006,123,123,100,88,72.5,29.5588128530758,27887.1425218768
"2006/2007",2007,123,123,100,50,-6,24.3828057910036,28719.0132288585
"2007/2008",2008,123,123,100,20,152,36.2555089546459,27230.9054130389
"2008/2009",2009,123,123,100,44,-50,29.2011658979222,28921.9643485826
"2009/2010",2010,123,123,100,22,-110.5,24.2110876227501,29746.174226966
"2010/2011",2011,123,123,100,52,149.5,34.2077287843427,27349.6625742286
"2011/2012",2012,123,123,100,55,-14,29.2114844896051,28799.5093905453
"2012/2013",2013,123,123,100,53,-147.5,18.7325904999071,29837.7529947083
"2013/2014",2014,123,123,100,69,64,30.8073818735363,28071.1474699236
"2014/2015",2015,123,123,100,29,1,27.3035068246159,28597.6847808647
"2015/2016",2016,123,123,100,83,83.5,28.0368409066182,27735.6546619739
"2016/2017",2017,123,123,100,69,265,37.2554080854035,26302.5175620129
"2017/2018",2018,123,123,100,83,205.5,34.1429968425465,26752.9512810449
"2018/2019",2019,123,123,100,53,-167.5,21.143744176336,30055.4015874509
"2019/2020",2020,123,123,100,28,-16,32.2435985658616,28877.9648773554
"2020/2021",2021,123,123,100,21,33,28.1788042981353,28284.395513725
"2021/2022",2022,123,123,100,39,125.5,31.0968467158942,27492.6762464498
"2022/2023",2023,123,123,100,62,205,35.2633348540982,26659.318556414
"2023/2024",2024,123,123,100,16,-136.5,23.1867922580775,29751.6132224905
"2024/2025",2025,123,123,100,36,174,33.2439702960202,27027.4377751825
"2025/2026",2026,123,123,100,103,80,29.5749012707266,27824.9576657554
"2026/2027",2027,123,123,100,53,31.5,23.6847786483015,28359.7471850822
"2027/2028",2028,123,123,100,27,174,36.5457349897434,27250.4067181773
"2028/2029",2029,123,123,100,46,-65,18.9666232694942,29153.148183506
"2029/2030",2030,123,123,100,53,147,31.0778385159733,27321.6101141553
"2030/2031",2031,123,123,100,36,1.5,28.1923336902325,28691.2647505999
"2031/2032",2032,123,123,100,45,119.5,30.1409657362071,27529.5278977551
"2032/2033",2033,123,123,100,36,-173,20.149846446641,30262.5603622771
"2033/2034",2034,123,123,100,35,-27,25.1662785951271,28691.7642969303
"2034/2035",2035,123,123,100,85,220,30.9530192055684,26663.4504798544
"2035/2036",2036,123,123,100,86,138.5,31.0931320901493,27313.8331591301
"2036/2037",2037,123,123,100,42,96,26.1965381498042,27754.465823119
"2037/2038",2038,123,123,100,23,-153.5,22.1610482099136,29977.5173318451
"2038/2039",2039,123,123,100,36,98.5,29.1615145913404,27747.8379547177
"2039/2040",2040,123,123,100,57,43.5,30.121169545135,28100.1215909133
"2040/2041",2041,123,123,100,30,66.5,28.9116745458284,27923.4336980423
"2041/2042",2042,123,123,100,33,-46.5,25.1471708366571,28962.9382821452
"2042/2043",2043,123,123,100,37,87.5,26.0967088361379,27838.5494769691
"2043/2044",2044,123,123,100,75,95.5,33.8939724633808,27712.7427670537
"2044/2045",2045,123,123,100,60,215,38.2333864040561,26643.6159248501
"2045/2046",2046,123,123,100,73,307.5,38.146457761758,25797.2882228671
"2046/2047",2047,123,123,100,28,161.5,29.203345413327,27149.3209199375
"2047/2048",2048,123,123,100,50,44,31.9587671682664,28382.0608168514
"2048/2049",2049,123,123,100,51,-66.5,25.2023469566755,29124.2190751601
"2049/2050",2050,123,123,100,61,-70.5,25.2716337721861,28698.3279108638
"2050/2051",2051,123,123,100,40,-8.5,27.1389260627172,28694.4211183768
"2051/2052",2052,123,123,100,27,-171.5,20.1226363306337,30030.5164117422
"2052/2053",2053,123,123,100,37,-111.5,23.9967429057324,29759.1544123003
"2053/2054",2054,123,123,100,21,28,28.2100015750066,28418.4681616053
"2054/2055",2055,123,123,100,34,-71.5,26.2123141968041,29248.6737236502
"2055/2056",2056,123,123,100,45,-209.5,19.9265333950352,30316.302894529
"2056/2057",2057,123,123,100,51,-53.5,22.2590188019169,29048.7491409266
"2057/2058",2058,123,123,100,59,-230,21.1438498155237,30584.6851148242
"2058/2059",2059,123,123,100,44,32,18.9156628298058,28320.2328361133
"2059/2060",2060,123,123,100,40,-82.5,26.1508597706243,29299.2531748069
"2060/2061",2061,123,123,100,96,6,25.4477704624896,28297.3115648469
"2061/2062",2062,123,123,100,73,-88,21.4593658153647,29427.8967348216
"2062/2063",2063,123,123,100,52,41,25.3552436242726,28206.5466881311
"2063/2064",2064,123,123,100,32,-172.5,20.1117532652761,30040.0631546201
"2064/2065",2065,123,123,100,47,99.5,24.9486684440503,27723.4264020892
"2065/2066",2066,123,123,100,49,33,33.167661291272,28407.8136582458
"2066/2067",2067,123,123,100,37,-128.5,23.3172412462222,29529.024395884
"2067/2068",2068,123,123,100,31,106.5,31.1614394000662,27562.7009914257
"2068/2069",2069,123,123,100,41,223,32.6882284393755,26687.0942991273
"2069/2070",2070,123,123,100,35,81,30.6388010148612,27695.0323287332
"2070/2071",2071,123,123,100,26,-209,20.1229762762464,30335.63983275
"2071/2072",2072,123,123,100,33,-94,25.1319272620344,29576.7068532314
"2072/2073",2073,123,123,100,8,-156.5,17.1308283352687,30144.0844058003
"2073/2074",2074,123,123,100,25,-334,15.0807038023781,31565.4109030496
"2074/2075",2075,123,123,100,50,-114.5,19.8883780529227,29494.6443651635
"2075/2076",2076,123,123,100,46,60,26.1712435736613,28061.0059683882
"2076/2077",2077,123,123,100,99,127.5,31.8452674427417,27193.2664539851
"2077/2078",2078,123,123,100,44,-138,22.0407178423229,29755.0666988418
"2078/2079",2079,123,123,100,42,-18,26.9921814340009,28758.6004804764
"2079/2080",2080,123,123,100,36,29.5,24.2120319380897,28250.8982243948
"2080/2081",2081,123,123,100,38,-246,19.1124463400938,30681.6250935569
"2081/2082",2082,123,123,100,28,-186.5,22.1355612693155,30243.3332363479
"2082/2083",2083,123,123,100,36,57.5,26.1608990467744,28229.46677869
"2083/2084",2084,123,123,100,24,41.5,26.2302291779006,28150.372474445
"2084/2085",2085,123,123,100,51,57.5,29.2000189574474,28168.0424479414
"2085/2086",2086,123,123,100,70,224.5,38.1149548023741,26590.350554347
"2086/2087",2087,123,123,100,7,-286,17.1709462613508,31021.3738979101
"2087/2088",2088,123,123,100,72,67,31.1058064459557,28189.2860893514
"2088/2089",2089,123,123,100,38,-95,28.2105479248999,29568.1745233741
"2089/2090",2090,123,123,100,45,-5.5,18.7069477759997,28361.4681027289
"2090/2091",2091,123,123,100,64,9,23.9273947158781,28513.9094108921
