"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1,-2115.5,3.00547269310119,47023.3015303497
"2000/2001",2001,123,123,100,0,-2211.5,3.04210445591207,47534.5681534427
"2001/2002",2002,123,123,100,17,-2118,1.00545504359002,47365.7665273197
"2002/2003",2003,123,123,100,0,-2056.5,3.02253069971428,46950.6639745795
"2003/2004",2004,123,123,100,0,-2134.5,1.00790598146494,47440.904806265
"2004/2005",2005,123,123,100,0,-2199.5,1.00335900760508,48106.1110769873
"2005/2006",2006,123,123,100,10,-2093,3.02890406799413,47579.1972191482
"2006/2007",2007,123,123,100,3,-1985,3.00477330830881,46419.8169953453
"2007/2008",2008,123,123,100,19,-2172.5,4.90316710325325,46742.0980344876
"2008/2009",2009,123,123,100,22,-2014.5,4.79582559563336,46141.976686487
"2009/2010",2010,123,123,100,1,-2059,0,47041.8484273171
"2010/2011",2011,123,123,100,5,-2388,0,50010.730965957
"2011/2012",2012,123,123,100,14,-2047.5,3.97325018023081,46529.2505214717
"2012/2013",2013,123,123,100,9,-1975.5,2.02721437204465,46345.9727402721
"2013/2014",2014,123,123,100,0,-2223,1.01427309242838,47920.0729617574
"2014/2015",2015,123,123,100,10,-2082.5,2.00960264218497,46838.5678025326
"2015/2016",2016,123,123,100,0,-2272.5,1.00153558316712,48394.3846786767
"2016/2017",2017,123,123,100,2,-2410,0,49038.9349872703
"2017/2018",2018,123,123,100,2,-2359,0,48955.7905161269
"2018/2019",2019,123,123,100,61,-1776.5,9.51005190268155,44445.0469707176
"2019/2020",2020,123,123,100,6,-2115.5,3.00313135105652,47573.4298522389
"2020/2021",2021,123,123,100,4,-2118.5,1.0142820098954,47122.4055400123
"2021/2022",2022,123,123,100,4,-2331.5,2.01073160468032,48311.8984964225
"2022/2023",2023,123,123,100,21,-2347.5,2.49705724019428,49426.684000324
"2023/2024",2024,123,123,100,9,-1956,2.47035646282513,45486.2021148899
