"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1,-2150.5,0,46879.2008032788
"2000/2001",2001,123,123,100,2,-2236,2.02686493031649,47285.1463819899
"2001/2002",2002,123,123,100,18,-2137,1.0067600716602,47193.5167957412
"2002/2003",2003,123,123,100,0,-2086.5,2.01240702792728,46913.3600186154
"2003/2004",2004,123,123,100,0,-2156.5,1.01870037664628,47383.5196765471
"2004/2005",2005,123,123,100,0,-2215.5,1.00312892165109,47806.282122036
"2005/2006",2006,123,123,100,10,-2118,3.0302036036961,47395.9209963012
"2006/2007",2007,123,123,100,6,-2011,3.00606683732433,46277.4366757225
"2007/2008",2008,123,123,100,20,-2190,4.98465803560391,46154.7127633567
"2008/2009",2009,123,123,100,22,-2050.5,4.65142803440409,46021.7568594995
"2009/2010",2010,123,123,100,4,-2087,0,47100.4354435049
"2010/2011",2011,123,123,100,5,-2411,0,49754.2882914371
"2011/2012",2012,123,123,100,17,-2058,4.01776058819033,46300.1434234825
"2012/2013",2013,123,123,100,9,-2018,2.0087655373114,46450.4521605931
"2013/2014",2014,123,123,100,0,-2233.5,1.01338740573748,47658.5999433596
"2014/2015",2015,123,123,100,10,-2101.5,2.01426268125613,46618.9630275012
"2015/2016",2016,123,123,100,0,-2283.5,0,48085.5900239623
"2016/2017",2017,123,123,100,2,-2418.5,0,48478.61485472
"2017/2018",2018,123,123,100,3,-2373.5,0,48630.982373449
"2018/2019",2019,123,123,100,61,-1807,8.08222641100589,44268.1521448684
"2019/2020",2020,123,123,100,8,-2121,3.01176483559117,47387.631824852
"2020/2021",2021,123,123,100,4,-2148,1.00969768773126,47103.0887364158
"2021/2022",2022,123,123,100,7,-2342.5,1.01071587466215,47881.2483619554
"2022/2023",2023,123,123,100,21,-2372,2.69757594719535,49064.5533476244
"2023/2024",2024,123,123,100,12,-1976.5,3.00993012690873,45296.9422573983
"2024/2025",2025,123,123,100,0,-2184,3.02315200188387,46222.1712170532
"2025/2026",2026,123,123,100,10,-2150.5,3.0228522487094,46987.3983111042
"2026/2027",2027,123,123,100,0,-2292,0,48306.143296035
"2027/2028",2028,123,123,100,4,-2236,0,47239.3777483799
"2028/2029",2029,123,123,100,9,-2069.5,1.00219052161805,46676.2495266693
"2029/2030",2030,123,123,100,15,-2268,0,48003.1739678592
"2030/2031",2031,123,123,100,0,-2103.5,2.01252524240469,46716.4859937904
"2031/2032",2032,123,123,100,23,-2336.5,1.81305297545102,48841.3832792863
"2032/2033",2033,123,123,100,3,-1995,1.00627287952818,46079.688429717
"2033/2034",2034,123,123,100,11,-2100.5,3.03805010377471,46641.8833037727
"2034/2035",2035,123,123,100,2,-2399,0,49220.8244420858
"2035/2036",2036,123,123,100,0,-2423.5,1.00613718178506,49763.1279961504
"2036/2037",2037,123,123,100,0,-2147,0,45958.5318257036
"2037/2038",2038,123,123,100,11,-1984.5,4.03257671985484,45464.7134527741
"2038/2039",2039,123,123,100,0,-2325.5,0,48653.4883133369
"2039/2040",2040,123,123,100,0,-2236,0,47957.9748994336
"2040/2041",2041,123,123,100,0,-2205,0,48313.1340232408
"2041/2042",2042,123,123,100,10,-2150.5,1.00896945035308,47329.5280501563
"2042/2043",2043,123,123,100,0,-2209.5,0,48027.2948790817
"2043/2044",2044,123,123,100,0,-2281,0,48559.2547179339
"2044/2045",2045,123,123,100,0,-2492,0,50116.8746565422
"2045/2046",2046,123,123,100,0,-2483.5,1.00585513891301,49192.9497137526
"2046/2047",2047,123,123,100,1,-2361.5,0,48485.221451317
"2047/2048",2048,123,123,100,24,-2161,2.66162341350864,47302.6613890668
"2048/2049",2049,123,123,100,0,-1992.5,2.01424675075218,45780.9831351265
"2049/2050",2050,123,123,100,33,-1945.5,9.08738985930376,44385.2045986867
"2050/2051",2051,123,123,100,0,-2015,1.00799389943099,45786.2608591663
"2051/2052",2052,123,123,100,9,-2003.5,1.0084535947169,46028.0172302481
"2052/2053",2053,123,123,100,0,-1995,1.01406476031374,46153.3632010762
"2053/2054",2054,123,123,100,0,-2161,0,46885.2689346988
"2054/2055",2055,123,123,100,13,-2090,1.96647957595202,47003.0310406853
"2055/2056",2056,123,123,100,17,-1900,4.02120913655649,45710.054239478
"2056/2057",2057,123,123,100,0,-2061,2.02060127244989,46801.4085729709
"2057/2058",2058,123,123,100,34,-1829.5,1.93757358541363,44911.9982741643
"2058/2059",2059,123,123,100,0,-2193,0,47448.7500065668
"2059/2060",2060,123,123,100,15,-2002,3.88584429994407,45903.3345267437
"2060/2061",2061,123,123,100,7,-2211.5,1.91933308211985,48315.3426705599
"2061/2062",2062,123,123,100,0,-2003.5,1.00837643377372,46875.6894723158
"2062/2063",2063,123,123,100,1,-2186,0,47215.2734299973
"2063/2064",2064,123,123,100,18,-1952,5.02549256165345,45749.8134905118
"2064/2065",2065,123,123,100,0,-2285,1.01560970643082,48387.022185836
"2065/2066",2066,123,123,100,13,-2107.5,4.01091483125536,46298.4382331464
"2066/2067",2067,123,123,100,6,-2111.5,2.01463423746581,47609.3498435598
"2067/2068",2068,123,123,100,8,-2242,1.00897758252516,47695.2890260108
"2068/2069",2069,123,123,100,10,-2328,0.99820917096055,47877.565101523
"2069/2070",2070,123,123,100,0,-2292,1.00284572408232,48662.6948969066
"2070/2071",2071,123,123,100,0,-1961,0,46412.8312334213
"2071/2072",2072,123,123,100,5,-2088.5,2.00711301647108,47173.4909502342
"2072/2073",2073,123,123,100,26,-1768.5,3.01802995575636,43323.8326156456
"2073/2074",2074,123,123,100,0,-1771.5,2.01542358288347,44544.9263851698
"2074/2075",2075,123,123,100,1,-2043,2.00370308797633,46597.8341211062
"2075/2076",2076,123,123,100,0,-2219.5,0,47664.1650330108
"2076/2077",2077,123,123,100,0,-2220,1.00530703781757,46889.315772973
"2077/2078",2078,123,123,100,10,-2088.5,3.01300566693851,46944.1693370789
"2078/2079",2079,123,123,100,0,-2172.5,1.00154024340839,47155.5327276736
"2079/2080",2080,123,123,100,25,-2071.5,1.01159310951769,46684.9389332309
"2080/2081",2081,123,123,100,1,-1912,1.0161050842008,45364.7681929283
"2081/2082",2082,123,123,100,14,-1874,2.01372645395426,45355.3184988424
"2082/2083",2083,123,123,100,10,-2220.5,0,47631.8938051686
"2083/2084",2084,123,123,100,0,-2189.5,0,46923.1113152429
"2084/2085",2085,123,123,100,2,-2011,2.00679717629424,45397.6419524718
"2085/2086",2086,123,123,100,8,-2410.5,0.824856850419764,48840.5168153066
"2086/2087",2087,123,123,100,41,-1703,3.01901794290012,43600.1710956767
"2087/2088",2088,123,123,100,2,-2158.5,3.01029729095521,47319.1681034453
"2088/2089",2089,123,123,100,9,-2029,0.989764357090422,45918.0242872536
"2089/2090",2090,123,123,100,0,-2209,0,47786.3385644536
"2090/2091",2091,123,123,100,0,-2253,0,48429.684599584
"2091/2092",2092,123,123,100,9,-2040.5,3.02920144837296,46114.6110896505
"2092/2093",2093,123,123,100,0,-2479.5,0,48950.8299498558
"2093/2094",2094,123,123,100,0,-2525,0,50516.3213340081
"2094/2095",2095,123,123,100,4,-2037.5,3.01412388982325,46216.2701139059
"2095/2096",2096,123,123,100,0,-2143.5,2.01278547392366,47719.5876092594
"2096/2097",2097,123,123,100,4,-2354,1.00757548654354,49072.956388928
"2097/2098",2098,123,123,100,0,-2296.5,0,48587.8562332634
"2098/2099",2099,123,123,100,1,-1993,3.03288511851454,45780.5821893848
"2099/2100",2100,123,123,100,0,-2342.5,0,48727.7524266876
