"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,79,-819,12.0709646761886,35657.6751990183
"2000/2001",2001,123,123,100,100,-964,9.05409493291956,36686.0528628545
"2001/2002",2002,123,123,100,73,-951,8.7615398346433,37167.2407425844
"2002/2003",2003,123,123,100,98,-745,16.3792179956407,35456.0900328045
"2003/2004",2004,123,123,100,78,-874,13.8936827118317,36333.4284829514
"2004/2005",2005,123,123,100,34,-957,11.0639752983861,36934.6451453702
"2005/2006",2006,123,123,100,98,-860,15.4204520514773,36567.5209017304
"2006/2007",2007,123,123,100,107,-735,17.0496895031463,34850.5270910776
"2007/2008",2008,123,123,100,131,-1090,10.5572523744187,37363.8009709995
"2008/2009",2009,123,123,100,156,-891,11.5884009483448,36120.7721643618
"2009/2010",2010,123,123,100,62,-690,15.7952510807067,34997.4875310715
"2010/2011",2011,123,123,100,33,-1134,2.89610570539395,39073.1968939023
"2011/2012",2012,123,123,100,157,-809,16.3839924675039,35608.9718494632
"2012/2013",2013,123,123,100,128,-615,16.2919861957681,34146.8779728215
"2013/2014",2014,123,123,100,61,-977.5,11.8811447881526,36981.9486437102
"2014/2015",2015,123,123,100,89,-975.5,8.83845511524177,36834.4347451902
"2015/2016",2016,123,123,100,76,-1087,4.77059680185408,38257.2960471192
"2016/2017",2017,123,123,100,48,-1338,5.25041501223774,39708.9867111426
"2017/2018",2018,123,123,100,45,-1148.5,8.83513808857893,38233.8323332709
"2018/2019",2019,123,123,100,202,-630.5,17.2583919616264,33648.3881407431
"2019/2020",2020,123,123,100,106,-915.5,8.71431731763903,36641.3767210492
"2020/2021",2021,123,123,100,60,-895,12.0842081945225,36564.8723593275
"2021/2022",2022,123,123,100,87,-1092.5,7.00523847868612,37778.8958614189
"2022/2023",2023,123,123,100,63,-1208.5,7.97926991024474,39454.2240875079
"2023/2024",2024,123,123,100,104,-783,10.8693459042197,35015.505960118
"2024/2025",2025,123,123,100,98,-946,14.3260542174009,36144.3777277754
"2025/2026",2026,123,123,100,99,-942.5,13.0366375801237,36737.9082986698
"2026/2027",2027,123,123,100,24,-1207.5,4.03953513767601,39138.3393997834
"2027/2028",2028,123,123,100,54,-1116,7.00564655865543,37753.5414592857
"2028/2029",2029,123,123,100,87,-664,14.0458444078112,34660.5526501937
"2029/2030",2030,123,123,100,56,-1221.5,7.02095845877426,39370.5588520248
"2030/2031",2031,123,123,100,104,-782,13.6062633044129,35188.9034126927
"2031/2032",2032,123,123,100,65,-1093,4.65827854290706,37822.1621817718
"2032/2033",2033,123,123,100,79,-588.5,16.8246960843467,33924.9691326618
"2033/2034",2034,123,123,100,99,-887,12.6846422398666,36161.3653818993
"2034/2035",2035,123,123,100,20,-1215,4.86404219774403,39227.6574455798
"2035/2036",2036,123,123,100,33,-1023.5,7.87662827773079,37738.8852118766
"2036/2037",2037,123,123,100,89,-956.5,14.9986752489186,35965.4945851639
"2037/2038",2038,123,123,100,98,-658,14.9836821345595,34031.0579888253
"2038/2039",2039,123,123,100,28,-1185,3.02512059750666,39082.7742788699
"2039/2040",2040,123,123,100,58,-1060,5.57307792890515,38011.9277355317
"2040/2041",2041,123,123,100,25,-1049.5,10.0687484953019,37809.8467274327
"2041/2042",2042,123,123,100,63,-903.5,11.6828195567485,36430.6836282965
"2042/2043",2043,123,123,100,49,-1038,5.80836709727987,37932.1584827937
"2043/2044",2044,123,123,100,41,-972.5,11.2606284490664,37380.2235466465
"2044/2045",2045,123,123,100,11,-1230,6.01476327622549,39401.9978037085
"2045/2046",2046,123,123,100,46,-1259.5,8.78667411132687,39456.207094972
"2046/2047",2047,123,123,100,22,-1237,5.0532388544741,38911.9940441092
"2047/2048",2048,123,123,100,93,-983.5,7.87368936976702,37335.3887812104
"2048/2049",2049,123,123,100,107,-631.5,17.8065318550812,34650.7079806402
"2049/2050",2050,123,123,100,282,-783,18.7090387131776,34550.4738851171
"2050/2051",2051,123,123,100,124,-682,15.7229720723828,34507.0690112505
"2051/2052",2052,123,123,100,67,-689.5,13.8782765007063,34354.5628015194
"2052/2053",2053,123,123,100,92,-687,14.7502533836853,34868.660875815
