"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1879,1431,82.5072454519907,728.289132808253
"2000/2001",2001,123,123,100,1758,1398,78.6185682038496,729.66880146748
"2001/2002",2002,123,123,100,2023,1528.5,83.1525779617999,474.056987212651
"2002/2003",2003,123,123,100,1918,1537.5,84.0909390064044,775.372310383114
"2003/2004",2004,123,123,100,1919,1453.5,81.9175992936574,684.328601861038
"2004/2005",2005,123,123,100,1821,1329.5,81.8931823791056,880.088326669589
"2005/2006",2006,123,123,100,1805,1338,80.2067436522325,884.554707819159
"2006/2007",2007,123,123,100,2086,1437.5,83.6617682543651,756.923862649797
"2007/2008",2008,123,123,100,1832,1212,81.2263366776001,600.436553548148
"2008/2009",2009,123,123,100,1833,1477,82.0474104259883,737.560012529691
"2009/2010",2010,123,123,100,1982,1468,84.6886824611074,1084.78790051374
"2010/2011",2011,123,123,100,1665,1280,80.7862685286477,855.718236494984
"2011/2012",2012,123,123,100,1805,1392,79.7101415539682,879.412589959684
"2012/2013",2013,123,123,100,1977,1649.5,84.2205380895416,818.969442557893
"2013/2014",2014,123,123,100,1796,1320,80.3276730139423,1152.99549189938
"2014/2015",2015,123,123,100,1900,1428.5,82.0732619802493,786.303280926542
"2015/2016",2016,123,123,100,1912,1448.5,81.7405743020986,537.905388910091
"2016/2017",2017,123,123,100,1635,1151,75.3285276360043,441.905101723736
"2017/2018",2018,123,123,100,1694,1217.5,78.632575381369,710.07570796489
"2018/2019",2019,123,123,100,1961,1520,83.7148544408647,1051.35434026422
"2019/2020",2020,123,123,100,1780,1352.5,81.5556754375411,1170.42472846073
"2020/2021",2021,123,123,100,1841,1388,82.1990831511166,723.711727836053
"2021/2022",2022,123,123,100,1645,1248.5,77.5928523205721,831.437596371281
"2022/2023",2023,123,123,100,1742,1217,79.2669357929863,810.703695783275
"2023/2024",2024,123,123,100,1913,1536.5,81.7982768868897,954.588269015658
"2024/2025",2025,123,123,100,1710,1232,79.6491813310913,716.626312792767
"2025/2026",2026,123,123,100,1841,1409,82.4714837984666,691.75722930301
"2026/2027",2027,123,123,100,1938,1390.5,80.7385328497257,570.278624876984
"2027/2028",2028,123,123,100,1857,1328,79.2345789503306,497.324723099242
"2028/2029",2029,123,123,100,1932,1499.5,84.1389338622157,881.188712963485
"2029/2030",2030,123,123,100,1797,1332.5,80.0272545239968,462.100547056994
"2030/2031",2031,123,123,100,1835,1465,83.5454155543339,900.452417261433
"2031/2032",2032,123,123,100,1784,1248,81.6863981134502,683.449535162188
"2032/2033",2033,123,123,100,1967,1621,85.7065253085802,989.13785391103
"2033/2034",2034,123,123,100,1852,1387.5,81.5614321085177,815.579821484862
"2034/2035",2035,123,123,100,1814,1207,78.5379373822452,484.201932638302
"2035/2036",2036,123,123,100,1786,1300.5,80.0069895920133,755.767774237087
"2036/2037",2037,123,123,100,1930,1304.5,80.5757371903383,436.097339961329
"2037/2038",2038,123,123,100,1882,1564,81.7938165118812,1169.53629511432
"2038/2039",2039,123,123,100,1851,1317.5,80.0354192174182,537.014740116661
"2039/2040",2040,123,123,100,1810,1378.5,80.9488464434799,708.299363546772
"2040/2041",2041,123,123,100,1960,1344.5,82.1841159324376,510.001744738547
"2041/2042",2042,123,123,100,1907,1444.5,81.8572445642858,812.041585186264
"2042/2043",2043,123,123,100,1978,1297.5,80.097555405966,584.342674878193
"2043/2044",2044,123,123,100,1803,1375.5,78.70152806443,698.136610769667
"2044/2045",2045,123,123,100,1676,1192,79.3377429539705,609.330589092802
"2045/2046",2046,123,123,100,1507,1086.5,75.4750380721835,573.200602098834
"2046/2047",2047,123,123,100,1967,1275.5,80.8536003649169,386.602296702331
"2047/2048",2048,123,123,100,1779,1423,80.0798537321079,871.680021612206
"2048/2049",2049,123,123,100,1932,1549,82.7489431060167,798.280837766593
"2049/2050",2050,123,123,100,1822,1391,79.8197492799081,1116.25385494856
"2050/2051",2051,123,123,100,1798,1412,81.5752492878964,1270.35482172645
"2051/2052",2052,123,123,100,1955,1540,84.1990040742476,1233.02696134313
"2052/2053",2053,123,123,100,1821,1538.5,82.6818759171711,1123.45032456843
"2053/2054",2054,123,123,100,1811,1381.5,80.1919003429157,880.547977027716
"2054/2055",2055,123,123,100,1888,1503,82.448659681444,798.549233612604
"2055/2056",2056,123,123,100,1983,1644,84.813181477015,931.025796467904
"2056/2057",2057,123,123,100,1994,1452.5,83.0734392989889,939.671905957395
"2057/2058",2058,123,123,100,2025,1620,84.0968064603403,873.241455287905
"2058/2059",2059,123,123,100,2014,1391.5,81.5090074207292,528.230546010891
"2059/2060",2060,123,123,100,2012,1555,82.3077966237979,623.192000125535
"2060/2061",2061,123,123,100,1892,1440,82.7745815858689,810.474828615552
"2061/2062",2062,123,123,100,1953,1542,84.1202839526213,853.033196223434
"2062/2063",2063,123,123,100,2012,1305.5,81.2733977423995,637.966218738584
"2063/2064",2064,123,123,100,2010,1644.5,84.6716963641156,923.101146544563
"2064/2065",2065,123,123,100,1893,1276.5,80.5458453381962,553.670586962719
"2065/2066",2066,123,123,100,1973,1417.5,82.6347809965901,553.884746277006
"2066/2067",2067,123,123,100,1966,1508.5,83.2418979930007,835.058759002015
"2067/2068",2068,123,123,100,1816,1320.5,80.1401753476457,583.14326968533
"2068/2069",2069,123,123,100,1815,1203,79.0901936901428,432.246499570319
"2069/2070",2070,123,123,100,1958,1333,82.757953151995,532.13291435712
"2070/2071",2071,123,123,100,2058,1600,85.0109599064635,992.969247793546
