"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,2008,1651.5,85.6516869106362,1015.48175119437
"2000/2001",2001,123,123,100,1861,1551.5,81.8069254751794,1056.0683396142
"2001/2002",2002,123,123,100,2089,1763,87.4052308221239,745.771258400855
"2002/2003",2003,123,123,100,1971,1742,85.1698661529082,1108.18385696143
"2003/2004",2004,123,123,100,2030,1680.5,85.1553149197099,993.536196997244
"2004/2005",2005,123,123,100,1980,1570.5,84.4168776032616,1140.69279366438
"2005/2006",2006,123,123,100,1903,1543,82.9324442513971,1207.6307524337
"2006/2007",2007,123,123,100,2211,1707,86.7145636259472,1043.97717133918
"2007/2008",2008,123,123,100,1983,1432.5,83.2844973235935,887.932688820118
"2008/2009",2009,123,123,100,1893,1671.5,85.0796023395892,1057.27452054358
"2009/2010",2010,123,123,100,2141,1706,86.5539422104375,1416.80579451274
"2010/2011",2011,123,123,100,1755,1467,83.4645413894041,1118.7252936759
"2011/2012",2012,123,123,100,1855,1576.5,82.8946017936332,1273.11639125354
"2012/2013",2013,123,123,100,2044,1852,87.4602959526892,1147.03526081401
"2013/2014",2014,123,123,100,1928,1526.5,82.777875974476,1395.8038196931
"2014/2015",2015,123,123,100,2027,1649,85.1725279132138,1068.05105365929
"2015/2016",2016,123,123,100,1992,1665,84.0337268564062,798.957905059913
"2016/2017",2017,123,123,100,1825,1355,80.2057957984821,626.569117443985
"2017/2018",2018,123,123,100,1811,1444.5,81.9149519376715,944.605750257615
"2018/2019",2019,123,123,100,2027,1737.5,85.950849940069,1411.89788888383
"2019/2020",2020,123,123,100,1908,1542,85.3218210875448,1550.5255185744
"2020/2021",2021,123,123,100,1957,1591,85.9537838950027,1044.54706074484
"2021/2022",2022,123,123,100,1791,1422.5,80.1384951987611,1124.3228826205
"2022/2023",2023,123,123,100,1872,1464,82.1045777425106,1028.54965491861
"2023/2024",2024,123,123,100,1987,1733.5,85.4068778231194,1307.28555271926
"2024/2025",2025,123,123,100,1824,1438,82.7150627893498,1011.11102033174
"2025/2026",2026,123,123,100,2001,1615,83.9283259911508,971.008544208598
"2026/2027",2027,123,123,100,2074,1640.5,85.0146928929016,780.644900030224
"2027/2028",2028,123,123,100,1986,1561,84.2621859042174,726.340999121545
"2028/2029",2029,123,123,100,2042,1729.5,86.4098207524103,1236.15111834509
"2029/2030",2030,123,123,100,1975,1572,83.0777748673381,668.435140903806
"2030/2031",2031,123,123,100,1921,1643,85.5964413325455,1232.38853895746
"2031/2032",2032,123,123,100,1955,1460,82.9864048883792,933.549207303324
"2032/2033",2033,123,123,100,2013,1838,86.9084228840784,1367.65159801836
"2033/2034",2034,123,123,100,1970,1600,84.5332923263422,1103.06982562086
"2034/2035",2035,123,123,100,1928,1468.5,82.9704274728156,683.352611193666
"2035/2036",2036,123,123,100,1890,1527,83.3942807594613,1016.02323861467
"2036/2037",2037,123,123,100,2086,1569,83.8404670005129,667.546058241976
"2037/2038",2038,123,123,100,1960,1763,85.921648516809,1504.15378683689
"2038/2039",2039,123,123,100,2030,1556,84.7972110170485,786.485472063534
"2039/2040",2040,123,123,100,1942,1581.5,84.4112863759165,947.155323959887
"2040/2041",2041,123,123,100,2099,1614.5,83.9654532280401,731.45154151367
"2041/2042",2042,123,123,100,2066,1676,85.4847587254735,1088.28282249556
"2042/2043",2043,123,123,100,2065,1589.5,83.6666126529435,845.526810526848
"2043/2044",2044,123,123,100,1858,1597.5,82.3986135599062,976.609498198377
"2044/2045",2045,123,123,100,1810,1413,81.4965518222361,831.321372035658
"2045/2046",2046,123,123,100,1681,1230,80.22325145164,833.988886886043
"2046/2047",2047,123,123,100,2149,1568.5,84.3224603301933,554.528367104242
"2047/2048",2048,123,123,100,1821,1598,82.3007445231851,1214.95095495204
"2048/2049",2049,123,123,100,1959,1739,85.6239660734645,1164.98682228406
"2049/2050",2050,123,123,100,1947,1579,83.2834007065758,1450.201971045
"2050/2051",2051,123,123,100,1907,1617.5,82.2688186348078,1638.71478040796
"2051/2052",2052,123,123,100,2072,1754,86.3085160669361,1564.37219157675
"2052/2053",2053,123,123,100,1831,1698.5,86.3624279041469,1509.50153802033
"2053/2054",2054,123,123,100,1910,1603,85.4025474016235,1205.41581721231
"2054/2055",2055,123,123,100,1990,1715,85.7130673161973,1121.06040248857
"2055/2056",2056,123,123,100,2047,1846,86.9441567361373,1294.54111248441
"2056/2057",2057,123,123,100,2120,1703.5,87.8204936913789,1259.55601387052
"2057/2058",2058,123,123,100,2070,1827.5,88.0988095169396,1233.32364348299
"2058/2059",2059,123,123,100,2096,1671,85.1789510082635,793.049319423269
"2059/2060",2060,123,123,100,2088,1776,86.3344263878316,922.373836796964
"2060/2061",2061,123,123,100,2012,1651.5,83.6656380465538,1123.46990071912
"2061/2062",2062,123,123,100,2047,1765.5,86.0138349440585,1194.021043021
"2062/2063",2063,123,123,100,2130,1589,84.5929277194446,904.202534663025
"2063/2064",2064,123,123,100,2059,1865,87.1260283821248,1271.36605408718
"2064/2065",2065,123,123,100,2085,1558.5,84.6154230765205,772.160276176641
"2065/2066",2066,123,123,100,2113,1661.5,84.6370560111864,796.896703348961
"2066/2067",2067,123,123,100,2080,1729,85.7483347095094,1142.96637514117
"2067/2068",2068,123,123,100,1953,1545,83.4071711799552,840.450965146767
"2068/2069",2069,123,123,100,1955,1457,81.3375478803791,625.247164843138
"2069/2070",2070,123,123,100,2061,1601.5,85.6450423915285,755.612420119811
"2070/2071",2071,123,123,100,2127,1826.5,87.7721944009354,1336.4591630809
"2071/2072",2072,123,123,100,2061,1750,85.8883991517887,1228.24188974826
"2072/2073",2073,123,123,100,2176,1895,88.3487285955234,925.992845099885
"2073/2074",2074,123,123,100,2173,1948,89.4768484766064,1588.94339020411
"2074/2075",2075,123,123,100,2147,1756,86.6355536089832,1298.16875312524
"2075/2076",2076,123,123,100,2064,1655,85.0754104782645,774.325717829168
"2076/2077",2077,123,123,100,2051,1624.5,83.5258320680769,857.163775525056
"2077/2078",2078,123,123,100,2075,1764.5,86.5719968487319,1143.69079634128
"2078/2079",2079,123,123,100,1977,1694.5,85.3593137293465,1109.10341436695
"2079/2080",2080,123,123,100,2064,1672.5,85.444434910627,836.695996447001
"2080/2081",2081,123,123,100,2032,1860.5,86.605144674777,1417.92661278788
"2081/2082",2082,123,123,100,2118,1892.5,87.954706963028,1268.38952121604
"2082/2083",2083,123,123,100,1975,1574,85.0771476430928,1162.94353529671
"2083/2084",2084,123,123,100,2162,1692.5,84.4216982103935,703.177751529962
"2084/2085",2085,123,123,100,1958,1664,85.0316128834093,991.316349821631
"2085/2086",2086,123,123,100,1924,1459.5,83.3315502556397,703.578310628422
"2086/2087",2087,123,123,100,2168,1894.5,87.8378952584462,1437.32984204683
"2087/2088",2088,123,123,100,1929,1572.5,84.0530513494632,1143.78518149536
"2088/2089",2089,123,123,100,1906,1561.5,86.0028054765389,1946.43208604539
"2089/2090",2090,123,123,100,2212,1752,87.4688650473217,708.220966710243
"2090/2091",2091,123,123,100,1955,1689,85.7319271991473,1110.50754204951
"2091/2092",2092,123,123,100,2041,1673.5,84.9044410423194,1223.0332816639
"2092/2093",2093,123,123,100,1642,1224,78.1690005005221,884.791355138179
"2093/2094",2094,123,123,100,1867,1399,82.3361133929611,731.695046710782
"2094/2095",2095,123,123,100,2076,1710,86.1955188940556,1092.62356225168
"2095/2096",2096,123,123,100,2072,1755.5,85.9669054839287,1203.15949566755
"2096/2097",2097,123,123,100,2031,1595,84.4183887078107,760.094487064052
"2097/2098",2098,123,123,100,1784,1510.5,81.8094751521312,1296.80657993956
"2098/2099",2099,123,123,100,1924,1710,84.7928854996135,1586.88351023151
"2099/2100",2100,123,123,100,2112,1517.5,84.6110369473972,589.528970951214
