"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2352.5,0,49518.3493989483
"2000/2001",2001,123,123,100,0,-2517.5,0,50956.7307215506
"2001/2002",2002,123,123,100,3,-2335,0,49407.8440073453
"2002/2003",2003,123,123,100,0,-2310.5,0,48991.2399981808
"2003/2004",2004,123,123,100,0,-2371,0,49797.7209017145
"2004/2005",2005,123,123,100,0,-2407,0,49975.4620916218
"2005/2006",2006,123,123,100,0,-2347,0,49551.1315571432
"2006/2007",2007,123,123,100,0,-2306.5,0,48666.1561673561
"2007/2008",2008,123,123,100,0,-2444,0,50645.0978325717
"2008/2009",2009,123,123,100,0,-2338.5,0,49620.205634255
"2009/2010",2010,123,123,100,0,-2287,0,48620.829302052
"2010/2011",2011,123,123,100,0,-2525.5,0,50855.3144330073
"2011/2012",2012,123,123,100,0,-2287,0,49504.0117771518
"2012/2013",2013,123,123,100,0,-2202.5,0,47651.0595978103
"2013/2014",2014,123,123,100,0,-2422,0,49650.9232217409
"2014/2015",2015,123,123,100,0,-2385.5,0,49635.7504242328
"2015/2016",2016,123,123,100,0,-2505.5,0,50837.0270537003
"2016/2017",2017,123,123,100,0,-2596.5,0,51967.7550241407
"2017/2018",2018,123,123,100,0,-2591.5,0,51597.7327968841
"2018/2019",2019,123,123,100,4,-2102,1.002385199884,47741.8355316599
"2019/2020",2020,123,123,100,0,-2390,0,49737.5523540732
"2020/2021",2021,123,123,100,0,-2378,0,49635.1455008499
"2021/2022",2022,123,123,100,0,-2541.5,0,51160.9827416902
"2022/2023",2023,123,123,100,0,-2536,0,51276.253493309
"2023/2024",2024,123,123,100,0,-2331,0,49243.8053890392
"2024/2025",2025,123,123,100,0,-2403.5,0,49247.9752186625
"2025/2026",2026,123,123,100,0,-2415,0,49764.979519303
"2026/2027",2027,123,123,100,0,-2489,0,50405.7082847124
"2027/2028",2028,123,123,100,0,-2473.5,0,50226.3847154137
"2028/2029",2029,123,123,100,5,-2280,0,48059.7842486128
"2029/2030",2030,123,123,100,0,-2467,0,50500.647864759
"2030/2031",2031,123,123,100,0,-2328.5,0,49207.1989403544
"2031/2032",2032,123,123,100,0,-2501,0,50584.8018286172
"2032/2033",2033,123,123,100,0,-2232,0,48067.2618428655
"2033/2034",2034,123,123,100,0,-2310.5,0,49143.4859471116
"2034/2035",2035,123,123,100,0,-2576,0,51639.4127077069
"2035/2036",2036,123,123,100,0,-2570.5,0,51016.8596532326
"2036/2037",2037,123,123,100,0,-2379.5,0,49515.2417472498
"2037/2038",2038,123,123,100,0,-2261.5,0,48564.2753625903
"2038/2039",2039,123,123,100,0,-2479,0,50326.1593640018
"2039/2040",2040,123,123,100,0,-2453.5,0,50371.6549085341
"2040/2041",2041,123,123,100,0,-2413,0,50207.2863369063
"2041/2042",2042,123,123,100,0,-2386.5,0,49532.0319967931
"2042/2043",2043,123,123,100,0,-2410.5,0,50010.6324039027
"2043/2044",2044,123,123,100,0,-2463,0,50730.7882609442
"2044/2045",2045,123,123,100,0,-2641,0,52115.4574590502
"2045/2046",2046,123,123,100,0,-2634,0,52180.9495614823
"2046/2047",2047,123,123,100,0,-2532.5,0,51206.5324962689
"2047/2048",2048,123,123,100,0,-2378,0,50081.9484615941
"2048/2049",2049,123,123,100,0,-2228,0,48702.3150137812
"2049/2050",2050,123,123,100,0,-2275.5,0,49191.8255601674
"2050/2051",2051,123,123,100,0,-2266,0,48903.9422313124
"2051/2052",2052,123,123,100,0,-2229.5,0,48076.9178494252
"2052/2053",2053,123,123,100,0,-2272,0,48686.6118481392
"2053/2054",2054,123,123,100,0,-2362.5,0,48648.0758508602
"2054/2055",2055,123,123,100,0,-2340,0,49288.0256174579
"2055/2056",2056,123,123,100,0,-2192,0,47922.8975578826
"2056/2057",2057,123,123,100,0,-2292,0,48854.8173918985
"2057/2058",2058,123,123,100,1,-2112.5,0,47509.9569470938
"2058/2059",2059,123,123,100,0,-2411.5,0,50021.7152181454
"2059/2060",2060,123,123,100,0,-2313.5,0,49412.3915338367
"2060/2061",2061,123,123,100,0,-2433,0,50202.8815363608
"2061/2062",2062,123,123,100,0,-2247,0,48773.7869780697
"2062/2063",2063,123,123,100,0,-2378.5,0,49328.0837988481
"2063/2064",2064,123,123,100,0,-2237.5,0,48298.8909017257
