"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2718.5,0,52931.7896706468
"2000/2001",2001,123,123,100,0,-2798.5,0,53628.0647604502
"2001/2002",2002,123,123,100,0,-2686,0,52768.6241811072
"2002/2003",2003,123,123,100,0,-2708.5,0,52585.3552069424
"2003/2004",2004,123,123,100,0,-2747.5,0,53154.0519586265
"2004/2005",2005,123,123,100,0,-2750,0,53475.75384086
"2005/2006",2006,123,123,100,0,-2682.5,0,52096.6698903519
"2006/2007",2007,123,123,100,0,-2673,0,51780.2770350128
"2007/2008",2008,123,123,100,0,-2737.5,0,52732.4447835877
"2008/2009",2009,123,123,100,0,-2704.5,0,52566.5532896405
"2009/2010",2010,123,123,100,0,-2716.5,0,52502.6026589426
"2010/2011",2011,123,123,100,0,-2819.5,0,54042.382142049
"2011/2012",2012,123,123,100,0,-2613,0,52449.8998743943
"2012/2013",2013,123,123,100,0,-2646,0,51870.5469110573
"2013/2014",2014,123,123,100,0,-2750.5,0,53065.6616751757
"2014/2015",2015,123,123,100,0,-2759,0,52931.5406983346
"2015/2016",2016,123,123,100,0,-2780,0,53703.7603911734
"2016/2017",2017,123,123,100,0,-2837.5,0,54405.7185789114
"2017/2018",2018,123,123,100,0,-2850.5,0,54055.2115350896
"2018/2019",2019,123,123,100,0,-2487,1.00072729137852,51287.8691466278
"2019/2020",2020,123,123,100,0,-2746.5,0,53460.9079675083
"2020/2021",2021,123,123,100,0,-2732.5,0,52623.5065581976
"2021/2022",2022,123,123,100,0,-2810,0,54001.7867099876
"2022/2023",2023,123,123,100,0,-2791.5,0,53919.7139965263
"2023/2024",2024,123,123,100,0,-2696.5,0,52912.0305358437
"2024/2025",2025,123,123,100,0,-2713,0,51248.4622102813
"2025/2026",2026,123,123,100,0,-2750,0,52809.7716482175
"2026/2027",2027,123,123,100,0,-2835.5,0,53472.8962023375
"2027/2028",2028,123,123,100,0,-2771,0,52541.2478641756
"2028/2029",2029,123,123,100,3,-2693.5,0,51621.4408671046
"2029/2030",2030,123,123,100,0,-2754,0,53389.1109602386
"2030/2031",2031,123,123,100,0,-2747.5,0,52593.3767520832
"2031/2032",2032,123,123,100,0,-2812,0,54041.7492050435
"2032/2033",2033,123,123,100,0,-2628.5,0,51855.5992019875
"2033/2034",2034,123,123,100,0,-2678.5,0,52472.6387268277
"2034/2035",2035,123,123,100,0,-2829,0,54524.2726153061
"2035/2036",2036,123,123,100,0,-2840,0,54035.7073746417
"2036/2037",2037,123,123,100,0,-2741.5,0,52049.7780889058
"2037/2038",2038,123,123,100,0,-2677,0,52389.3924328191
"2038/2039",2039,123,123,100,0,-2798,0,53141.6944670463
"2039/2040",2040,123,123,100,0,-2755,0,53698.714007494
"2040/2041",2041,123,123,100,0,-2757.5,0,53710.8197460733
"2041/2042",2042,123,123,100,0,-2736,0,53308.2162953597
"2042/2043",2043,123,123,100,0,-2727.5,0,53176.6502725622
"2043/2044",2044,123,123,100,0,-2772,0,53836.8742925189
"2044/2045",2045,123,123,100,0,-2871.5,0,55088.4284996502
"2045/2046",2046,123,123,100,0,-2836.5,0,53878.8135637864
"2046/2047",2047,123,123,100,0,-2829,0,54062.2485366706
"2047/2048",2048,123,123,100,0,-2707,0,53011.9712465256
"2048/2049",2049,123,123,100,0,-2640,0,51741.6239332808
"2049/2050",2050,123,123,100,0,-2627,0,52088.2274684552
"2050/2051",2051,123,123,100,0,-2639.5,0,52158.3125395989
"2051/2052",2052,123,123,100,0,-2674,0,51936.8087014379
"2052/2053",2053,123,123,100,0,-2682.5,0,52493.4296079604
"2053/2054",2054,123,123,100,0,-2734.5,0,51705.8958282238
"2054/2055",2055,123,123,100,0,-2682,0,52997.2245426383
"2055/2056",2056,123,123,100,0,-2631,0,51926.9707540814
"2056/2057",2057,123,123,100,0,-2702,0,52405.3299302813
"2057/2058",2058,123,123,100,0,-2508.5,0,51230.6638649665
"2058/2059",2059,123,123,100,0,-2752.5,0,53034.2766489368
"2059/2060",2060,123,123,100,0,-2701.5,0,53016.8294744175
"2060/2061",2061,123,123,100,0,-2771,0,53694.8610189538
"2061/2062",2062,123,123,100,0,-2632,0,51954.7094531637
"2062/2063",2063,123,123,100,0,-2750.5,0,52644.1049167644
"2063/2064",2064,123,123,100,0,-2643,0,51995.1132085323
"2064/2065",2065,123,123,100,0,-2827.5,0,53921.54883557
"2065/2066",2066,123,123,100,0,-2734.5,0,52878.379853908
