"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2872.5,0,54801.5644539219
"2000/2001",2001,123,123,100,0,-2877.5,0,54716.6201093858
"2001/2002",2002,123,123,100,0,-2825,0,54636.263143867
"2002/2003",2003,123,123,100,0,-2864,0,54467.9157499201
"2003/2004",2004,123,123,100,0,-2855,0,54845.058880073
"2004/2005",2005,123,123,100,0,-2882,0,55233.5892469164
"2005/2006",2006,123,123,100,0,-2816.5,0,53348.7255103941
"2006/2007",2007,123,123,100,0,-2858.5,0,53681.4993738772
"2007/2008",2008,123,123,100,0,-2841,0,53977.6276762621
"2008/2009",2009,123,123,100,0,-2835.5,0,54177.4124378331
"2009/2010",2010,123,123,100,0,-2856.5,0,54408.7063607203
"2010/2011",2011,123,123,100,0,-2907.5,0,55509.8831802604
"2011/2012",2012,123,123,100,0,-2743.5,0,53523.8927126261
"2012/2013",2013,123,123,100,0,-2839,0,54000.7002329319
"2013/2014",2014,123,123,100,0,-2848.5,0,54702.1364976135
"2014/2015",2015,123,123,100,0,-2873.5,0,54652.2026535752
"2015/2016",2016,123,123,100,0,-2883,0,55035.8560900912
"2016/2017",2017,123,123,100,0,-2909,0,55606.1946631847
"2017/2018",2018,123,123,100,0,-2897.5,0,54805.3322731587
"2018/2019",2019,123,123,100,0,-2686,0,53230.8985894611
"2019/2020",2020,123,123,100,0,-2851,0,55195.3004219183
"2020/2021",2021,123,123,100,0,-2867,0,54302.763656327
"2021/2022",2022,123,123,100,0,-2879.5,0,55263.749954971
"2022/2023",2023,123,123,100,0,-2906,0,55242.3982877824
"2023/2024",2024,123,123,100,0,-2843.5,0,54786.6490172776
"2024/2025",2025,123,123,100,0,-2858,0,52569.7094467487
"2025/2026",2026,123,123,100,0,-2872.5,0,54503.5729114008
"2026/2027",2027,123,123,100,0,-2920.5,0,55059.6700642807
"2027/2028",2028,123,123,100,0,-2883.5,0,53841.7137748981
"2028/2029",2029,123,123,100,1,-2837.5,0,53559.2506791996
"2029/2030",2030,123,123,100,0,-2872.5,0,54918.1189530743
"2030/2031",2031,123,123,100,0,-2869.5,0,54172.3520656163
"2031/2032",2032,123,123,100,0,-2893,0,55833.1318208426
"2032/2033",2033,123,123,100,0,-2803.5,0,53700.2209195923
"2033/2034",2034,123,123,100,0,-2822,0,54201.9167457139
"2034/2035",2035,123,123,100,0,-2910.5,0,55572.6930869147
"2035/2036",2036,123,123,100,0,-2925.5,0,55347.2041288447
"2036/2037",2037,123,123,100,0,-2873.5,0,53519.7864524266
"2037/2038",2038,123,123,100,0,-2848.5,0,54170.2872177782
"2038/2039",2039,123,123,100,0,-2892.5,0,54519.1401461074
"2039/2040",2040,123,123,100,0,-2856.5,0,55335.5892942967
"2040/2041",2041,123,123,100,0,-2901.5,0,55573.7102428405
"2041/2042",2042,123,123,100,0,-2863.5,0,55006.3050863175
"2042/2043",2043,123,123,100,0,-2867.5,0,54792.6098856833
"2043/2044",2044,123,123,100,0,-2872,0,55307.9102637935
"2044/2045",2045,123,123,100,0,-2921.5,0,56318.3363561369
"2045/2046",2046,123,123,100,0,-2878.5,0,54225.4897515867
"2046/2047",2047,123,123,100,0,-2923,0,55657.3152647018
"2047/2048",2048,123,123,100,0,-2812,0,54310.8532557338
"2048/2049",2049,123,123,100,0,-2800.5,0,53435.1339324871
"2049/2050",2050,123,123,100,0,-2817.5,0,53799.9439021787
"2050/2051",2051,123,123,100,0,-2803,0,53819.1687583765
"2051/2052",2052,123,123,100,0,-2839.5,0,54046.5367831104
"2052/2053",2053,123,123,100,0,-2809.5,0,54211.0127902534
"2053/2054",2054,123,123,100,0,-2872.5,0,53395.3108503595
"2054/2055",2055,123,123,100,0,-2847,0,54881.3754322641
"2055/2056",2056,123,123,100,0,-2811,0,54036.5943250936
"2056/2057",2057,123,123,100,0,-2900,0,54325.6605846807
"2057/2058",2058,123,123,100,0,-2675,0,53120.6320287082
"2058/2059",2059,123,123,100,0,-2884.5,0,54367.7882818151
