"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2789,0,38089.8913264145
"2000/2001",2001,123,123,100,0,-2830.5,1.00209870222278,37709.6201976496
"2001/2002",2002,123,123,100,2,-2863,0,37580.448217095
"2002/2003",2003,123,123,100,0,-2803.5,0,38532.8315122094
"2003/2004",2004,123,123,100,0,-2851,0,38015.6922409846
"2004/2005",2005,123,123,100,0,-2814.5,0,37223.1138165017
"2005/2006",2006,123,123,100,3,-2790.5,0,37779.5914247889
"2006/2007",2007,123,123,100,0,-2712.5,0,37030.6697703454
"2007/2008",2008,123,123,100,0,-2780.5,0,36017.9584950031
"2008/2009",2009,123,123,100,2,-2756.5,0,36628.4239139161
"2009/2010",2010,123,123,100,0,-2815.5,0,39367.4472331842
"2010/2011",2011,123,123,100,0,-2899.5,0,37948.0104677125
"2011/2012",2012,123,123,100,2,-2696.5,0,38212.6199929358
"2012/2013",2013,123,123,100,0,-2742.5,0,39478.8928075228
"2013/2014",2014,123,123,100,0,-2863.5,0,37323.7180257733
"2014/2015",2015,123,123,100,0,-2849,0,36937.3431274125
"2015/2016",2016,123,123,100,0,-2905,0,37385.3588194044
"2016/2017",2017,123,123,100,0,-2913,0,35272.706237063
"2017/2018",2018,123,123,100,0,-2901,0,36869.77027696
"2018/2019",2019,123,123,100,20,-2503.5,2.97028879611892,36832.478693035
"2019/2020",2020,123,123,100,0,-2804.5,0,37995.3069306251
"2020/2021",2021,123,123,100,1,-2841,0,37831.0832060121
"2021/2022",2022,123,123,100,0,-2858,0,37048.8775063865
"2022/2023",2023,123,123,100,8,-2809.5,1.00624410688674,35549.3754531648
"2023/2024",2024,123,123,100,0,-2828.5,0,38373.3592511155
"2024/2025",2025,123,123,100,0,-2751.5,1.01247302898456,36267.9289738648
"2025/2026",2026,123,123,100,1,-2738.5,1.01143407573167,35895.7394967349
"2026/2027",2027,123,123,100,0,-2936.5,0,36355.1451899903
"2027/2028",2028,123,123,100,0,-2909,0,36359.2272915486
"2028/2029",2029,123,123,100,0,-2808.5,0,39977.2869751998
"2029/2030",2030,123,123,100,0,-2885,0,35686.3592852261
"2030/2031",2031,123,123,100,0,-2749.5,0,38012.1060572737
"2031/2032",2032,123,123,100,2,-2872.5,0,37989.3435213785
"2032/2033",2033,123,123,100,0,-2794,0,39968.6977407583
"2033/2034",2034,123,123,100,0,-2825.5,0,37677.3521647486
"2034/2035",2035,123,123,100,0,-2904,0,36376.8827555515
"2035/2036",2036,123,123,100,0,-2873,0,38166.7040493153
"2036/2037",2037,123,123,100,0,-2820,0,36129.1630537715
"2037/2038",2038,123,123,100,0,-2770,0,39535.4875429943
"2038/2039",2039,123,123,100,0,-2927,0,36493.084420776
"2039/2040",2040,123,123,100,0,-2892.5,0,37248.0942497617
"2040/2041",2041,123,123,100,0,-2896.5,0,37128.2114872742
"2041/2042",2042,123,123,100,0,-2860.5,0,38316.7068962166
"2042/2043",2043,123,123,100,0,-2892.5,0,37666.8173394268
"2043/2044",2044,123,123,100,0,-2889.5,0,38082.994708769
"2044/2045",2045,123,123,100,0,-2923.5,0,36643.3189291311
"2045/2046",2046,123,123,100,0,-2861,0,35937.3643016797
"2046/2047",2047,123,123,100,0,-2935.5,0,35808.4311294993
"2047/2048",2048,123,123,100,0,-2837.5,0,37795.4753722651
"2048/2049",2049,123,123,100,0,-2713,0,38330.3757909294
"2049/2050",2050,123,123,100,6,-2520.5,6.02488764428856,34195.4738994213
"2050/2051",2051,123,123,100,0,-2739.5,0,38004.0156515623
"2051/2052",2052,123,123,100,5,-2775,0,39076.9168597376
"2052/2053",2053,123,123,100,0,-2838,0,39231.6891262196
"2053/2054",2054,123,123,100,0,-2866.5,0,39280.4086648617
"2054/2055",2055,123,123,100,0,-2871,0,38342.5411083801
"2055/2056",2056,123,123,100,0,-2757,1.00514529220535,39089.1099017402
"2056/2057",2057,123,123,100,0,-2766.5,0,39812.4030021159
"2057/2058",2058,123,123,100,6,-2808,0,38153.1758136228
"2058/2059",2059,123,123,100,0,-2890.5,0,37619.0089382781
"2059/2060",2060,123,123,100,0,-2745.5,1.00128350842669,36393.83577812
"2060/2061",2061,123,123,100,3,-2831.5,0,37445.3464502795
"2061/2062",2062,123,123,100,0,-2808.5,0,39659.8477296978
"2062/2063",2063,123,123,100,0,-2897,0,37944.024677203
"2063/2064",2064,123,123,100,8,-2698,2.00470203920757,37788.3251919542
"2064/2065",2065,123,123,100,0,-2907.5,0,36457.5322732311
"2065/2066",2066,123,123,100,0,-2799,0,36205.1358857723
"2066/2067",2067,123,123,100,0,-2836,0,38669.6035354687
"2067/2068",2068,123,123,100,1,-2836,0,36871.2347342707
"2068/2069",2069,123,123,100,0,-2909.5,0,34634.8744762298
"2069/2070",2070,123,123,100,0,-2879,0,35715.0830889978
"2070/2071",2071,123,123,100,0,-2815.5,0,40024.9615321448
"2071/2072",2072,123,123,100,0,-2804.5,0,38696.9960838808
"2072/2073",2073,123,123,100,10,-2627.5,2.00558294096528,37055.1651450405
"2073/2074",2074,123,123,100,0,-2776,0,41578.8072577212
"2074/2075",2075,123,123,100,0,-2808,0,40205.2372640995
"2075/2076",2076,123,123,100,0,-2909.5,0,37956.6352034574
"2076/2077",2077,123,123,100,0,-2858,0,36175.4215930318
"2077/2078",2078,123,123,100,0,-2808,0,38863.7116615856
"2078/2079",2079,123,123,100,0,-2882,0,38664.7708512628
"2079/2080",2080,123,123,100,2,-2844.5,0,37296.1719293678
"2080/2081",2081,123,123,100,0,-2820,0,40803.5109978588
"2081/2082",2082,123,123,100,0,-2759,0,38460.778673579
"2082/2083",2083,123,123,100,0,-2878.5,0,39371.4115674803
"2083/2084",2084,123,123,100,0,-2895,0,37413.7693641251
"2084/2085",2085,123,123,100,0,-2801,0,37159.8392183464
"2085/2086",2086,123,123,100,0,-2896,0,35894.6683866065
"2086/2087",2087,123,123,100,5,-2664,1.00428401697047,38238.7592813633
"2087/2088",2088,123,123,100,0,-2764.5,0,37949.3345050663
"2088/2089",2089,123,123,100,0,-2694.5,0,38091.7226238791
"2089/2090",2090,123,123,100,0,-2897,0,37695.2651865948
"2090/2091",2091,123,123,100,0,-2904,0,40961.4745821394
"2091/2092",2092,123,123,100,0,-2729,1.00012210936648,38073.5361499786
"2092/2093",2093,123,123,100,0,-2858,0,35799.3794214781
"2093/2094",2094,123,123,100,0,-2941,0,36590.9414261971
"2094/2095",2095,123,123,100,0,-2813.5,0,37262.131540291
"2095/2096",2096,123,123,100,0,-2861,0,39783.6184396558
"2096/2097",2097,123,123,100,0,-2845,0,36461.6940306406
"2097/2098",2098,123,123,100,0,-2868.5,0,38166.2073229272
"2098/2099",2099,123,123,100,0,-2737.5,0,38304.99237171
"2099/2100",2100,123,123,100,0,-2904.5,0,35587.759242842
