"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2837.5,0,36074.8899766808
"2000/2001",2001,123,123,100,0,-2863.5,0,35247.2480255849
"2001/2002",2002,123,123,100,1,-2890.5,0,35259.7417689512
"2002/2003",2003,123,123,100,0,-2866,0,36663.2869248053
"2003/2004",2004,123,123,100,0,-2887,0,35735.8788287456
"2004/2005",2005,123,123,100,0,-2852.5,0,34940.6584213245
"2005/2006",2006,123,123,100,1,-2835.5,0,35667.6465472609
"2006/2007",2007,123,123,100,0,-2790,0,35263.6899313928
"2007/2008",2008,123,123,100,0,-2822,0,33590.1800557567
"2008/2009",2009,123,123,100,0,-2801.5,0,34533.0402793906
"2009/2010",2010,123,123,100,0,-2880,0,37821.4877689263
"2010/2011",2011,123,123,100,0,-2919,0,35345.8110088136
"2011/2012",2012,123,123,100,0,-2759,0,36246.0309708334
"2012/2013",2013,123,123,100,0,-2811.5,0,37991.5433585073
"2013/2014",2014,123,123,100,0,-2902.5,0,34916.1749143673
"2014/2015",2015,123,123,100,0,-2887,0,34929.5633909269
"2015/2016",2016,123,123,100,0,-2930,0,34735.1681629242
"2016/2017",2017,123,123,100,0,-2934,0,32302.4527659987
"2017/2018",2018,123,123,100,0,-2927.5,0,34479.3475195088
"2018/2019",2019,123,123,100,11,-2578,1.98362028618663,35216.6855044533
"2019/2020",2020,123,123,100,0,-2841.5,0,35885.847139352
"2020/2021",2021,123,123,100,0,-2885,0,35655.9400234383
"2021/2022",2022,123,123,100,0,-2892,0,34637.1672819946
"2022/2023",2023,123,123,100,1,-2845.5,1.01412389144659,32619.1108470461
"2023/2024",2024,123,123,100,0,-2879,0,36590.7139425715
"2024/2025",2025,123,123,100,0,-2805,1.00221529126675,33888.9335047589
"2025/2026",2026,123,123,100,0,-2804.5,1.00678993375314,33772.7003763323
"2026/2027",2027,123,123,100,0,-2948,0,33689.2114233179
"2027/2028",2028,123,123,100,0,-2934.5,0,33888.1185307512
"2028/2029",2029,123,123,100,0,-2858.5,0,38281.7689403468
"2029/2030",2030,123,123,100,0,-2913,0,33009.0970222093
"2030/2031",2031,123,123,100,0,-2814,0,36261.3594546458
"2031/2032",2032,123,123,100,0,-2893,0,35485.2008125987
"2032/2033",2033,123,123,100,0,-2870,0,38551.8651793282
"2033/2034",2034,123,123,100,0,-2863,0,35626.7112816004
"2034/2035",2035,123,123,100,0,-2925.5,0,33665.6506393212
"2035/2036",2036,123,123,100,0,-2895,0,35423.9923861162
"2036/2037",2037,123,123,100,0,-2900,0,34174.1962686866
"2037/2038",2038,123,123,100,0,-2823,0,37904.3791909129
"2038/2039",2039,123,123,100,0,-2940.5,0,33956.4540959909
"2039/2040",2040,123,123,100,0,-2915.5,0,34636.2139195362
"2040/2041",2041,123,123,100,0,-2925.5,0,34793.2793444628
"2041/2042",2042,123,123,100,0,-2901,0,36352.9876921843
"2042/2043",2043,123,123,100,0,-2918,0,35304.8574463222
"2043/2044",2044,123,123,100,0,-2922.5,0,35747.8454641756
"2044/2045",2045,123,123,100,0,-2945,0,33719.8389944173
"2045/2046",2046,123,123,100,0,-2889,0,33059.2266319492
"2046/2047",2047,123,123,100,0,-2946.5,0,33009.4912599851
"2047/2048",2048,123,123,100,0,-2876.5,0,35626.817675089
"2048/2049",2049,123,123,100,0,-2783,0,36567.3908889527
"2049/2050",2050,123,123,100,0,-2600.5,4.05315183161598,32219.4074344588
"2050/2051",2051,123,123,100,0,-2804,0,36294.8489090409
"2051/2052",2052,123,123,100,3,-2840,0,37376.9892691728
"2052/2053",2053,123,123,100,0,-2882.5,0,37566.6673182175
"2053/2054",2054,123,123,100,0,-2903.5,0,37251.6537775313
"2054/2055",2055,123,123,100,0,-2901.5,0,36228.3117759563
"2055/2056",2056,123,123,100,0,-2818.5,0,37482.2597762449
"2056/2057",2057,123,123,100,0,-2833,0,38294.607417603
"2057/2058",2058,123,123,100,3,-2850,0,36420.0643638251
"2058/2059",2059,123,123,100,0,-2922.5,0,35337.3849853994
"2059/2060",2060,123,123,100,0,-2801,0,34427.4661367014
"2060/2061",2061,123,123,100,0,-2868.5,0,35160.6302724928
"2061/2062",2062,123,123,100,0,-2860,0,37880.6597902421
"2062/2063",2063,123,123,100,0,-2930,0,35959.6420873636
"2063/2064",2064,123,123,100,0,-2746,1.00015393484312,36010.7303714324
"2064/2065",2065,123,123,100,0,-2925,0,34022.8481232282
"2065/2066",2066,123,123,100,0,-2840,0,34049.2948589958
"2066/2067",2067,123,123,100,0,-2875.5,0,36593.642414487
"2067/2068",2068,123,123,100,0,-2864.5,0,34511.7014490012
"2068/2069",2069,123,123,100,0,-2925,0,31809.9527636105
"2069/2070",2070,123,123,100,0,-2909,0,33104.3777990155
"2070/2071",2071,123,123,100,0,-2874.5,0,38391.2916811667
"2071/2072",2072,123,123,100,0,-2853,0,36930.718488913
"2072/2073",2073,123,123,100,5,-2702.5,1.00845728866793,35479.9898942243
"2073/2074",2074,123,123,100,0,-2860,0,40748.6777865868
"2074/2075",2075,123,123,100,0,-2854.5,0,38573.998652759
"2075/2076",2076,123,123,100,0,-2934.5,0,35660.4187724451
"2076/2077",2077,123,123,100,0,-2891.5,0,33715.2735656518
"2077/2078",2078,123,123,100,0,-2859.5,0,36995.7552241636
"2078/2079",2079,123,123,100,0,-2905.5,0,36539.5029965406
"2079/2080",2080,123,123,100,0,-2880,0,35167.3273746669
"2080/2081",2081,123,123,100,0,-2889,0,39513.79855817
"2081/2082",2082,123,123,100,0,-2824,0,36761.239576323
"2082/2083",2083,123,123,100,0,-2922,0,37400.3491427135
"2083/2084",2084,123,123,100,0,-2923.5,0,35190.3595764423
"2084/2085",2085,123,123,100,0,-2874.5,0,35372.9588760836
"2085/2086",2086,123,123,100,0,-2916,0,33075.7678880151
"2086/2087",2087,123,123,100,3,-2742,0,37059.7605418917
"2087/2088",2088,123,123,100,0,-2812,0,35892.5487541556
"2088/2089",2089,123,123,100,0,-2789.5,0,36723.3747513695
"2089/2090",2090,123,123,100,0,-2931.5,0,35308.2814405225
"2090/2091",2091,123,123,100,0,-2930,0,39175.0790527603
"2091/2092",2092,123,123,100,0,-2806.5,0,36333.4189258395
"2092/2093",2093,123,123,100,0,-2890,0,32916.7536664354
"2093/2094",2094,123,123,100,0,-2947,0,33464.5146555863
"2094/2095",2095,123,123,100,0,-2857.5,0,35353.8794348929
"2095/2096",2096,123,123,100,0,-2902,0,37965.8746366892
"2096/2097",2097,123,123,100,0,-2877,0,33782.8430239987
"2097/2098",2098,123,123,100,0,-2899.5,0,35764.8173198933
"2098/2099",2099,123,123,100,0,-2811,0,36603.2970987028
"2099/2100",2100,123,123,100,0,-2925,0,32830.4322329946
