"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2858.5,0,32382.8669326189
"2000/2001",2001,123,123,100,0,-2881.5,0,31165.9832242732
"2001/2002",2002,123,123,100,0,-2905.5,0,31286.1341918573
"2002/2003",2003,123,123,100,0,-2890,0,33103.8765358077
"2003/2004",2004,123,123,100,0,-2914,0,31999.6518363549
"2004/2005",2005,123,123,100,0,-2864.5,0,31073.3571027375
"2005/2006",2006,123,123,100,0,-2862,0,31933.9082468174
"2006/2007",2007,123,123,100,0,-2817,0,31585.9563979496
"2007/2008",2008,123,123,100,0,-2845,0,29839.3468736294
"2008/2009",2009,123,123,100,0,-2822.5,0,30788.8579715476
"2009/2010",2010,123,123,100,0,-2917.5,0,34491.2063829012
"2010/2011",2011,123,123,100,0,-2926.5,0,31093.4768298866
"2011/2012",2012,123,123,100,0,-2812,0,32970.0219408587
"2012/2013",2013,123,123,100,0,-2842.5,0,34520.0134318392
"2013/2014",2014,123,123,100,0,-2927,0,31350.1364048722
"2014/2015",2015,123,123,100,0,-2900.5,0,31337.7560718679
"2015/2016",2016,123,123,100,0,-2938,0,30611.3855351016
"2016/2017",2017,123,123,100,0,-2938.5,0,28155.6398616945
"2017/2018",2018,123,123,100,0,-2942.5,0,30764.5356517211
"2018/2019",2019,123,123,100,8,-2622,0.965455258186762,31872.6249062242
"2019/2020",2020,123,123,100,0,-2875.5,0,32217.8970483684
"2020/2021",2021,123,123,100,0,-2902,0,31822.2775374264
"2021/2022",2022,123,123,100,0,-2913,0,30883.926219505
"2022/2023",2023,123,123,100,0,-2867,1.00357135826251,28568.1176301686
"2023/2024",2024,123,123,100,0,-2903.5,0,33054.0604805988
"2024/2025",2025,123,123,100,0,-2824.5,1.00280672358509,30024.5134450458
"2025/2026",2026,123,123,100,0,-2822.5,1.00746220843626,29972.2083748817
"2026/2027",2027,123,123,100,0,-2950.5,0,29586.8575787402
"2027/2028",2028,123,123,100,0,-2948,0,30200.7285520623
"2028/2029",2029,123,123,100,0,-2895,0,34808.3057174301
"2029/2030",2030,123,123,100,0,-2923,0,28920.1268894542
"2030/2031",2031,123,123,100,0,-2846,0,33045.3207295425
"2031/2032",2032,123,123,100,0,-2904.5,0,31297.6604300053
"2032/2033",2033,123,123,100,0,-2905.5,0,35486.4115403043
"2033/2034",2034,123,123,100,0,-2881,0,31930.5997931524
"2034/2035",2035,123,123,100,0,-2934,0,29555.0802073348
"2035/2036",2036,123,123,100,0,-2911.5,0,31255.091013026
"2036/2037",2037,123,123,100,0,-2917,0,30499.2762368564
"2037/2038",2038,123,123,100,0,-2858,0,34791.6611663778
"2038/2039",2039,123,123,100,0,-2948,0,29962.0078230021
"2039/2040",2040,123,123,100,0,-2931,0,30672.1540352013
"2040/2041",2041,123,123,100,0,-2931.5,0,30723.3605331029
"2041/2042",2042,123,123,100,0,-2915.5,0,32658.5975438324
"2042/2043",2043,123,123,100,0,-2932.5,0,31312.0193948899
"2043/2044",2044,123,123,100,0,-2944,0,32054.4389146473
"2044/2045",2045,123,123,100,0,-2951.5,0,29394.3502690578
"2045/2046",2046,123,123,100,0,-2906.5,0,29062.8418166838
"2046/2047",2047,123,123,100,0,-2947.5,0,28735.9448858118
"2047/2048",2048,123,123,100,0,-2899.5,0,31972.1684718565
"2048/2049",2049,123,123,100,0,-2833,0,33224.7814574568
"2049/2050",2050,123,123,100,0,-2631,2.0191103199419,28466.7085625725
"2050/2051",2051,123,123,100,0,-2858,0,33211.4804839958
"2051/2052",2052,123,123,100,3,-2886,0,34086.1882359986
"2052/2053",2053,123,123,100,0,-2915,0,34192.7352849138
"2053/2054",2054,123,123,100,0,-2923.5,0,33600.5721567906
"2054/2055",2055,123,123,100,0,-2910.5,0,32258.0729120178
"2055/2056",2056,123,123,100,0,-2845,0,33694.578850932
"2056/2057",2057,123,123,100,0,-2867,0,35046.7956436188
"2057/2058",2058,123,123,100,2,-2872.5,0,33020.3283956489
"2058/2059",2059,123,123,100,0,-2936.5,0,31447.7096719723
"2059/2060",2060,123,123,100,0,-2821.5,0,30499.3640440023
"2060/2061",2061,123,123,100,0,-2888,0,31153.2822803697
"2061/2062",2062,123,123,100,0,-2886.5,0,34484.234281267
"2062/2063",2063,123,123,100,0,-2940.5,0,32434.571745988
"2063/2064",2064,123,123,100,0,-2770,1.00219112285921,32365.2362859165
"2064/2065",2065,123,123,100,0,-2935.5,0,30077.8972754721
"2065/2066",2066,123,123,100,0,-2852.5,0,30270.4926937567
"2066/2067",2067,123,123,100,0,-2904,0,33019.6927193012
"2067/2068",2068,123,123,100,0,-2884.5,0,30872.8783803573
"2068/2069",2069,123,123,100,0,-2932.5,0,27799.0288326861
"2069/2070",2070,123,123,100,0,-2920.5,0,28896.8526664702
"2070/2071",2071,123,123,100,0,-2923.5,0,35081.7813865794
"2071/2072",2072,123,123,100,0,-2884,0,33453.4787031291
"2072/2073",2073,123,123,100,2,-2730,1.01021340193931,31959.4537998568
"2073/2074",2074,123,123,100,0,-2889.5,0,37890.6467091637
"2074/2075",2075,123,123,100,0,-2887.5,0,35150.9938856559
"2075/2076",2076,123,123,100,0,-2945,0,31757.1156355813
"2076/2077",2077,123,123,100,0,-2911,0,30025.3808684507
"2077/2078",2078,123,123,100,0,-2878,0,33104.6256842855
"2078/2079",2079,123,123,100,0,-2916.5,0,32734.9785549473
"2079/2080",2080,123,123,100,0,-2894.5,0,31330.286255776
"2080/2081",2081,123,123,100,0,-2915,0,36218.4986523846
"2081/2082",2082,123,123,100,0,-2859,0,33273.521649491
"2082/2083",2083,123,123,100,0,-2931.5,0,33483.1202043872
"2083/2084",2084,123,123,100,0,-2929,0,31405.2401609188
"2084/2085",2085,123,123,100,0,-2906,0,31975.6857330464
"2085/2086",2086,123,123,100,0,-2923,0,28955.3849235512
"2086/2087",2087,123,123,100,2,-2798,0,33976.3822499057
"2087/2088",2088,123,123,100,0,-2840.5,0,32511.7979614837
"2088/2089",2089,123,123,100,0,-2855,0,34268.7515494451
"2089/2090",2090,123,123,100,0,-2936.5,0,31176.7632979481
"2090/2091",2091,123,123,100,0,-2942,0,35426.4321595738
"2091/2092",2092,123,123,100,0,-2841.5,0,32743.5252449978
"2092/2093",2093,123,123,100,0,-2921,0,29294.5472102165
"2093/2094",2094,123,123,100,0,-2949,0,28923.4111124817
"2094/2095",2095,123,123,100,0,-2878.5,0,31898.5271038702
"2095/2096",2096,123,123,100,0,-2922,0,34129.3478050195
"2096/2097",2097,123,123,100,0,-2891.5,0,29519.9894390954
"2097/2098",2098,123,123,100,0,-2915.5,0,31886.8255821979
"2098/2099",2099,123,123,100,0,-2859.5,0,33465.505709596
"2099/2100",2100,123,123,100,0,-2935,0,28557.1844396368
