"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-1936,2.01458460955406,43761.1660344078
"2000/2001",2001,123,123,100,16,-2032,1.92480189806321,44438.917332628
"2001/2002",2002,123,123,100,7,-2066,0,44816.4470793645
"2002/2003",2003,123,123,100,1,-1899,3.02827807243108,43511.8082692634
"2003/2004",2004,123,123,100,0,-1971.5,2.01810357137917,44549.0298859052
"2004/2005",2005,123,123,100,0,-2021.5,3.03386937398468,43810.3681846798
"2005/2006",2006,123,123,100,23,-1935.5,1.99723473824385,44000.7592469931
"2006/2007",2007,123,123,100,12,-1814,5.97384010061635,42065.4881181836
"2007/2008",2008,123,123,100,19,-2076.5,2.98409559607045,43588.2805563933
"2008/2009",2009,123,123,100,12,-1962.5,3.01211097908284,43718.358080243
"2009/2010",2010,123,123,100,2,-1844.5,3.00914852185143,43434.8160436042
"2010/2011",2011,123,123,100,0,-2155.5,0,46153.8972252659
"2011/2012",2012,123,123,100,20,-1876.5,2.00408538193724,43270.4073044469
"2012/2013",2013,123,123,100,13,-1745.5,7.04660716460395,42657.6782052373
"2013/2014",2014,123,123,100,4,-2070,1.00690250412372,44619.3925515742
"2014/2015",2015,123,123,100,9,-2029,0.922904739674898,43940.8805402962
"2015/2016",2016,123,123,100,0,-2166,0,45084.7632035506
"2016/2017",2017,123,123,100,0,-2274.5,0,45227.0194766666
"2017/2018",2018,123,123,100,1,-2140,0,44929.4772198983
"2018/2019",2019,123,123,100,64,-1718.5,5.9706265566301,41965.7262380281
"2019/2020",2020,123,123,100,27,-1970,2.7299537272502,44144.8704221183
"2020/2021",2021,123,123,100,7,-1957.5,3.03305753669522,44069.5698863422
"2021/2022",2022,123,123,100,0,-2133,1.00585666565093,44413.2426217101
"2022/2023",2023,123,123,100,27,-2115,1.98047890898034,45503.7136112032
"2023/2024",2024,123,123,100,1,-1994.5,1.01515707685833,43438.8403137601
"2024/2025",2025,123,123,100,12,-1976.5,2.92249723157686,43176.9280632045
"2025/2026",2026,123,123,100,19,-1947.5,6.4028069581981,43349.6954177101
"2026/2027",2027,123,123,100,0,-2237,0,45471.6066558366
"2027/2028",2028,123,123,100,0,-2143.5,0,44415.7991621764
"2028/2029",2029,123,123,100,2,-1851.5,2.00346227239629,43540.227076055
"2029/2030",2030,123,123,100,14,-2203.5,0,44837.9402502994
"2030/2031",2031,123,123,100,30,-1842.5,3.61773972142676,42713.9092676416
"2031/2032",2032,123,123,100,13,-2094.5,0.814665402062147,45089.121705424
"2032/2033",2033,123,123,100,0,-1824.5,2.01038759458122,43374.1357619371
