"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-1405,5.03204462005435,41243.2096075346
"2000/2001",2001,123,123,100,24,-1524.5,2.94910569466953,42231.1390605184
"2001/2002",2002,123,123,100,13,-1564,2.02481949130421,43005.4128849477
"2002/2003",2003,123,123,100,5,-1373.5,7.02921041882649,41297.9729022164
"2003/2004",2004,123,123,100,9,-1469,5.0361028344014,41794.938311955
"2004/2005",2005,123,123,100,0,-1521.5,5.03238925081655,42208.4879874538
"2005/2006",2006,123,123,100,39,-1409,7.11190829767627,41697.9090231839
"2006/2007",2007,123,123,100,22,-1298,10.9667350690706,39864.8165941767
"2007/2008",2008,123,123,100,27,-1622,5.04294205621555,43069.4265098409
"2008/2009",2009,123,123,100,20,-1470,5.03257581872369,41816.3665031171
"2009/2010",2010,123,123,100,10,-1337.5,6.02871993191267,40904.5469237713
"2010/2011",2011,123,123,100,0,-1643,1.00214206132061,44164.3857231366
"2011/2012",2012,123,123,100,35,-1353,6.45920725245252,41063.2011190418
"2012/2013",2013,123,123,100,53,-1225.5,9.05991993001543,39924.3815874907
"2013/2014",2014,123,123,100,11,-1557,1.85326519302953,42510.8067550478
"2014/2015",2015,123,123,100,21,-1577,4.02886510223611,42607.7660365242
"2015/2016",2016,123,123,100,2,-1673,1.0115520227109,43902.5096302629
"2016/2017",2017,123,123,100,1,-1836.5,1.01052119112178,44674.8104828438
"2017/2018",2018,123,123,100,7,-1657,3.0224589220423,43032.3961030133
"2018/2019",2019,123,123,100,88,-1198,11.5437628946575,39231.4686158644
"2019/2020",2020,123,123,100,42,-1480,4.02240313057681,42423.5012549111
"2020/2021",2021,123,123,100,10,-1471.5,6.05659798433173,42174.6975600924
"2021/2022",2022,123,123,100,6,-1653,2.02771555704024,43399.9040278913
"2022/2023",2023,123,123,100,36,-1647,3.20963246739754,43731.5634137085
"2023/2024",2024,123,123,100,3,-1497.5,2.02095760712953,41883.6397998547
"2024/2025",2025,123,123,100,24,-1483.5,5.59148434252339,41323.1390049467
"2025/2026",2026,123,123,100,43,-1454.5,7.39266580992883,41700.6257564574
"2026/2027",2027,123,123,100,0,-1796.5,0,44691.2247910011
"2027/2028",2028,123,123,100,0,-1691.5,1.00339744879659,43395.4193855361
"2028/2029",2029,123,123,100,13,-1289,7.04476592179336,40671.646608802
"2029/2030",2030,123,123,100,18,-1769.5,0,44569.2178693046
"2030/2031",2031,123,123,100,72,-1349,7.76242520993392,40406.3490858409
"2031/2032",2032,123,123,100,19,-1598.5,1.99541398656342,42761.4500820879
"2032/2033",2033,123,123,100,6,-1282,6.03587709953786,40512.9565311968
"2033/2034",2034,123,123,100,20,-1512,3.03777682551635,42205.5749103939
"2034/2035",2035,123,123,100,2,-1681,2.01266126769531,43621.0950390669
"2035/2036",2036,123,123,100,6,-1498.5,5.0320473951974,42069.0514604216
"2036/2037",2037,123,123,100,1,-1572.5,6.04367720162404,41925.5636148043
"2037/2038",2038,123,123,100,19,-1312.5,6.8764443221979,40420.6239005476
"2038/2039",2039,123,123,100,0,-1764,0,44871.7059079288
"2039/2040",2040,123,123,100,1,-1652.5,0,43400.8194972882
"2040/2041",2041,123,123,100,0,-1624,0,43171.0133321667
"2041/2042",2042,123,123,100,13,-1509,3.94845718940897,42231.9507398168
"2042/2043",2043,123,123,100,0,-1617,2.01629720199412,43571.2860982306
"2043/2044",2044,123,123,100,0,-1552.5,4.02812195611307,42717.9008411095
"2044/2045",2045,123,123,100,0,-1719,2.0273335774427,43935.5274920361
"2045/2046",2046,123,123,100,10,-1701,3.02613873093526,43835.6743977433
"2046/2047",2047,123,123,100,0,-1776.5,1.00672873522311,43747.847095022
"2047/2048",2048,123,123,100,21,-1549,2.01860116484875,43001.8738521719
"2048/2049",2049,123,123,100,17,-1283,8.05214500607005,40529.3714379221
"2049/2050",2050,123,123,100,153,-1285,12.0327273963361,39527.1966732051
"2050/2051",2051,123,123,100,18,-1333.5,8.98304021885028,40715.1439161897
"2051/2052",2052,123,123,100,30,-1284.5,8.32734076688982,40155.5791792721
"2052/2053",2053,123,123,100,0,-1386,3.02616335524277,41522.3904678691
"2053/2054",2054,123,123,100,7,-1439.5,3.01043763266208,41830.093208381
"2054/2055",2055,123,123,100,24,-1535.5,3.44120353312843,42944.5128967185
"2055/2056",2056,123,123,100,20,-1328.5,5.03308729440514,41029.9597365325
"2056/2057",2057,123,123,100,1,-1224,8.09101896201631,39635.7976331869
"2057/2058",2058,123,123,100,15,-1480.5,1.01064910656339,42070.7399165295
"2058/2059",2059,123,123,100,0,-1589.5,2.01066909564184,42665.4315906279
"2059/2060",2060,123,123,100,10,-1514.5,4.03115818616135,42397.8144609863
"2060/2061",2061,123,123,100,44,-1509.5,3.33116053642755,42653.1719853999
"2061/2062",2062,123,123,100,4,-1266,7.06067622392618,40438.2364003453
"2062/2063",2063,123,123,100,0,-1566.5,2.01091969615669,42851.7252286728
"2063/2064",2064,123,123,100,76,-1305,7.05817028861082,40588.5208921414
"2064/2065",2065,123,123,100,4,-1715,2.01538338234195,44087.3477210086
"2065/2066",2066,123,123,100,5,-1598,4.03515139418897,42416.0024833884
"2066/2067",2067,123,123,100,6,-1478.5,3.01783864963727,42555.6680630557
"2067/2068",2068,123,123,100,17,-1572.5,3.87542246480808,42506.3300930187
"2068/2069",2069,123,123,100,12,-1871.5,1.00399667887427,44957.8937550802
"2069/2070",2070,123,123,100,11,-1713,2.02394410313576,44249.284172548
"2070/2071",2071,123,123,100,7,-1308.5,4.01274080647454,40663.5046707541
"2071/2072",2072,123,123,100,24,-1423.5,4.93021183819275,41620.9848481156
"2072/2073",2073,123,123,100,51,-1294.5,6.96021858737981,39942.1629520841
"2073/2074",2074,123,123,100,3,-1130.5,5.03573905857576,38951.6484567821
"2074/2075",2075,123,123,100,6,-1212.5,8.07224179190683,40110.5406431127
"2075/2076",2076,123,123,100,0,-1560.5,3.02767314337126,42608.8867502511
"2076/2077",2077,123,123,100,0,-1598.5,2.01706240960931,42525.5906676389
"2077/2078",2078,123,123,100,19,-1414.5,3.03144071333719,41429.7738896925
"2078/2079",2079,123,123,100,1,-1509.5,2.0056615071029,42422.8870890625
"2079/2080",2080,123,123,100,16,-1548.5,1.00861840622474,42619.0658602603
"2080/2081",2081,123,123,100,10,-1266,7.05173821491115,39904.8829025682
"2081/2082",2082,123,123,100,15,-1340.5,6.06157653651906,40903.1559857894
"2082/2083",2083,123,123,100,4,-1443.5,2.02711424607418,41408.4437010903
"2083/2084",2084,123,123,100,0,-1580.5,3.02003766179348,42099.5021437313
"2084/2085",2085,123,123,100,0,-1458.5,8.0500685280843,41397.5365451518
"2085/2086",2086,123,123,100,22,-1725,3.03056086587713,43454.4937018435
"2086/2087",2087,123,123,100,67,-1274,8.1912194015573,40123.0869822279
"2087/2088",2088,123,123,100,20,-1380,7.48458048146836,41203.0843474437
"2088/2089",2089,123,123,100,48,-1200,12.8613953432135,38776.6459862851
"2089/2090",2090,123,123,100,0,-1608,2.01579703681728,42909.4875124376
"2090/2091",2091,123,123,100,0,-1348,2.01649569159719,41126.6911122259
"2091/2092",2092,123,123,100,50,-1352,6.98302924236299,40648.5533667542
"2092/2093",2093,123,123,100,2,-1689,5.02444627309353,43618.7826711796
"2093/2094",2094,123,123,100,0,-1763,0,44534.405329084
"2094/2095",2095,123,123,100,43,-1463.5,3.35092758891005,41539.5549189635
"2095/2096",2096,123,123,100,8,-1394,3.03109155388364,41860.1642128788
"2096/2097",2097,123,123,100,21,-1626.5,5.02463003237472,43373.8325770553
"2097/2098",2098,123,123,100,2,-1516.5,4.03565034879034,42659.834336495
"2098/2099",2099,123,123,100,25,-1305,8.05662659644946,40485.8510550205
"2099/2100",2100,123,123,100,6,-1713,3.02829355821103,43604.2728654705
