"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,8,-1805,6.04548490944407,43440.1593571
"2000/2001",2001,123,123,100,1,-1836,3.03237147101186,44069.8047113616
"2001/2002",2002,123,123,100,0,-2050,2.02543174108398,45434.9753893318
"2002/2003",2003,123,123,100,2,-1851.5,4.03552962257025,44153.1447917884
"2003/2004",2004,123,123,100,0,-1919,2.00313147979695,45095.2624053505
"2004/2005",2005,123,123,100,12,-1994,2.01458844154917,45417.2838864925
"2005/2006",2006,123,123,100,20,-1724.5,5.04523850576399,42548.0179215475
"2006/2007",2007,123,123,100,71,-1657.5,6.59545955917886,42031.5199698604
"2007/2008",2008,123,123,100,3,-2314,0,48122.1840555109
"2008/2009",2009,123,123,100,0,-1967.5,2.01275627855125,44301.7073211262
"2009/2010",2010,123,123,100,0,-1990.5,1.00554618223111,45662.6574016218
"2010/2011",2011,123,123,100,0,-1879.5,2.02760768461983,44869.4675543166
"2011/2012",2012,123,123,100,1,-2044,2.01043196183429,45326.8044799233
"2012/2013",2013,123,123,100,22,-1822.5,5.03963042227266,43856.6857904745
"2013/2014",2014,123,123,100,0,-1888.5,4.0269164395102,44456.773679957
"2014/2015",2015,123,123,100,0,-2212.5,0,47045.079662757
"2015/2016",2016,123,123,100,0,-2018,3.01365310937324,44856.3588966299
"2016/2017",2017,123,123,100,0,-2071,1.01398872676763,46084.4406883758
"2017/2018",2018,123,123,100,1,-1681,4.04101302867678,43248.2023738762
"2018/2019",2019,123,123,100,2,-1978,1.00575402455897,44619.8457583562
"2019/2020",2020,123,123,100,2,-2132,0,46141.2741286592
"2020/2021",2021,123,123,100,1,-2075.5,1.00642975458628,46416.1286284784
"2021/2022",2022,123,123,100,21,-2070.5,5.26328211308069,45520.560081122
"2022/2023",2023,123,123,100,6,-1679,1.00037866805913,43845.0885462938
"2023/2024",2024,123,123,100,6,-2381.5,0,47396.7970319088
"2024/2025",2025,123,123,100,26,-1926,4.00483605910857,44327.7813820913
"2025/2026",2026,123,123,100,31,-1658,10.0503364743627,42357.1346895918
"2026/2027",2027,123,123,100,1,-2232,2.01507465027004,47050.4645913355
"2027/2028",2028,123,123,100,0,-2165,1.01269414662389,46514.8861453407
"2028/2029",2029,123,123,100,2,-1816,3.00708092556623,44035.3788024541
"2029/2030",2030,123,123,100,0,-2202,0,46842.1781670591
"2030/2031",2031,123,123,100,6,-1883,1.00520717489327,44613.9682503091
"2031/2032",2032,123,123,100,6,-1795.5,4.01105352889191,44247.7727135411
"2032/2033",2033,123,123,100,0,-1936,1.00553926494537,44512.2561328914
"2033/2034",2034,123,123,100,9,-2191.5,0,46816.4729183344
"2034/2035",2035,123,123,100,21,-1733,7.0470578334179,42469.3532860717
"2035/2036",2036,123,123,100,0,-1463.5,7.04565792046596,41287.8902574005
"2036/2037",2037,123,123,100,0,-2125.5,3.02137209072822,46351.2655817373
"2037/2038",2038,123,123,100,1,-2223.5,1.00758791087395,47030.705991541
"2038/2039",2039,123,123,100,0,-2250,0,47529.3465426937
"2039/2040",2040,123,123,100,0,-2020.5,3.00591033934697,45148.8935896019
"2040/2041",2041,123,123,100,0,-2122,0,46751.8014265113
"2041/2042",2042,123,123,100,2,-2116,2.01392854325672,45663.785386648
"2042/2043",2043,123,123,100,0,-2060.5,0,45956.1020793775
"2043/2044",2044,123,123,100,10,-1781,4.01329363442011,43916.4168047449
"2044/2045",2045,123,123,100,0,-1864,1.00858650667661,44175.0714253234
"2045/2046",2046,123,123,100,2,-1676.5,3.01771242989957,43348.781158451
"2046/2047",2047,123,123,100,0,-2156.5,1.00212301278668,46491.8594144722
"2047/2048",2048,123,123,100,0,-1980,1.00225187450411,45072.9516509278
"2048/2049",2049,123,123,100,2,-1862,2.01523989015237,44657.9949436523
"2049/2050",2050,123,123,100,42,-1801,6.03302203251957,44309.8454321027
"2050/2051",2051,123,123,100,8,-1913,0,44610.813313337
"2051/2052",2052,123,123,100,0,-2004.5,1.01189137940412,45713.4757212186
"2052/2053",2053,123,123,100,11,-2006,2.6116928869659,44325.6479870863
"2053/2054",2054,123,123,100,3,-2006,0,45828.8923397977
"2054/2055",2055,123,123,100,0,-2173.5,0,46892.3979872279
"2055/2056",2056,123,123,100,0,-1995.5,2.00522893252622,44623.9719999637
"2056/2057",2057,123,123,100,13,-1737.5,2.31135684300452,43756.7701575914
"2057/2058",2058,123,123,100,0,-2147.5,3.02641969958049,44098.1981013725
"2058/2059",2059,123,123,100,9,-2102,1.97243654213779,45691.8852388151
"2059/2060",2060,123,123,100,0,-2114,2.00476274385881,46119.0762544274
"2060/2061",2061,123,123,100,19,-1689.5,5.01841544792887,42773.4953186251
"2061/2062",2062,123,123,100,0,-1599.5,7.07734640638765,41969.2544875331
"2062/2063",2063,123,123,100,7,-1923,5.04225792050192,44874.5207392313
"2063/2064",2064,123,123,100,0,-2063.5,0,46337.8907297458
"2064/2065",2065,123,123,100,0,-2120,0,46640.377629932
