"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,2,-1939,4.0383753182457,44725.4682909934
"2000/2001",2001,123,123,100,0,-1955.5,1.01466470334467,44983.0875880177
"2001/2002",2002,123,123,100,0,-2151,1.00180286189608,46286.3146973015
"2002/2003",2003,123,123,100,2,-1975,3.02818828209329,45250.9518020719
"2003/2004",2004,123,123,100,0,-2031,1.01711961551968,45964.7947945537
"2004/2005",2005,123,123,100,10,-2109,0,46416.3798651636
"2005/2006",2006,123,123,100,16,-1801,5.0220821449052,42998.722808001
"2006/2007",2007,123,123,100,59,-1735.5,6.93951991190151,42531.3169423525
"2007/2008",2008,123,123,100,2,-2414.5,0,48742.3454319616
"2008/2009",2009,123,123,100,0,-2076.5,1.00237823792679,45260.7038828023
"2009/2010",2010,123,123,100,0,-2110,0,46844.2106727783
"2010/2011",2011,123,123,100,0,-2010.5,1.01061457538456,46038.3598939464
"2011/2012",2012,123,123,100,0,-2163.5,1.00181293899189,46426.4364294673
"2012/2013",2013,123,123,100,16,-1945.5,4.01461806521102,45169.7241334289
"2013/2014",2014,123,123,100,0,-2010.5,4.01883384019614,45687.6918706344
"2014/2015",2015,123,123,100,0,-2325,0,48251.39299612
"2015/2016",2016,123,123,100,0,-2127.5,2.01438532563108,46124.7515806817
"2016/2017",2017,123,123,100,0,-2181.5,1.0006756066646,47181.1182729192
"2017/2018",2018,123,123,100,0,-1822,4.01740544386139,44285.6322471714
"2018/2019",2019,123,123,100,0,-2073,1.00776613254445,45230.3288172428
"2019/2020",2020,123,123,100,1,-2245,0,47197.1728746486
"2020/2021",2021,123,123,100,0,-2193,0,47466.3500126619
"2021/2022",2022,123,123,100,14,-2189,2.42869259184912,46990.0015081475
"2022/2023",2023,123,123,100,2,-1798.5,1.01046270549668,44626.6247202507
"2023/2024",2024,123,123,100,5,-2486,0,48196.4493423644
"2024/2025",2025,123,123,100,23,-2013,2.20272648569071,44854.461089835
"2025/2026",2026,123,123,100,15,-1774.5,6.46809791887218,43494.4116708972
"2026/2027",2027,123,123,100,0,-2357.5,2.02373354521117,48182.9932113336
"2027/2028",2028,123,123,100,0,-2247,1.00537016536869,46955.9766442953
"2028/2029",2029,123,123,100,3,-1921,2.00880542372153,44958.6836171732
"2029/2030",2030,123,123,100,0,-2304,0,47550.8308395962
"2030/2031",2031,123,123,100,5,-2020.5,0,45810.2346046232
"2031/2032",2032,123,123,100,6,-1891,4.01590414474667,45023.595417914
"2032/2033",2033,123,123,100,0,-2061.5,1.0063783606637,46097.8352594972
"2033/2034",2034,123,123,100,9,-2296,0,47655.6806607004
"2034/2035",2035,123,123,100,15,-1820.5,6.84657677365223,43190.1401850171
"2035/2036",2036,123,123,100,0,-1583,6.04767877749929,42345.0493537411
"2036/2037",2037,123,123,100,0,-2223,3.00534247169182,47296.5749910576
"2037/2038",2038,123,123,100,0,-2335,1.01000527474807,47996.4475949062
"2038/2039",2039,123,123,100,0,-2348.5,0,48549.2508186214
"2039/2040",2040,123,123,100,0,-2132,3.00616137422996,46529.1399703948
"2040/2041",2041,123,123,100,0,-2219,0,47421.4347231379
"2041/2042",2042,123,123,100,1,-2231,0,46635.1400554636
"2042/2043",2043,123,123,100,0,-2146.5,0,46301.6297457526
"2043/2044",2044,123,123,100,8,-1908,5.02567256881676,44811.1094287457
"2044/2045",2045,123,123,100,0,-1971.5,2.01009152391471,45104.7731467783
"2045/2046",2046,123,123,100,0,-1802,2.00628405053382,44411.1492704609
"2046/2047",2047,123,123,100,0,-2250.5,0,47171.370258634
