"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2947,0,35549.5087815059
"2000/2001",2001,123,123,100,0,-2933.5,0,34496.5477534645
"2001/2002",2002,123,123,100,0,-2939.5,0,34811.431942044
"2002/2003",2003,123,123,100,0,-2941,0,35788.1832221035
"2003/2004",2004,123,123,100,0,-2952,0,35121.5129771427
"2004/2005",2005,123,123,100,0,-2931.5,0,34709.2301243636
"2005/2006",2006,123,123,100,0,-2939,0,34856.0614237257
"2006/2007",2007,123,123,100,0,-2946.5,0,35459.8649995894
"2007/2008",2008,123,123,100,0,-2935.5,0,34464.5857519615
"2008/2009",2009,123,123,100,0,-2935,0,34791.1704263319
"2009/2010",2010,123,123,100,0,-2950,0,37019.001585501
"2010/2011",2011,123,123,100,0,-2946,0,34462.1563113113
"2011/2012",2012,123,123,100,0,-2930,0,35708.6644811644
"2012/2013",2013,123,123,100,0,-2946.5,0,36751.8901332545
"2013/2014",2014,123,123,100,0,-2948.5,0,34575.0252676064
"2014/2015",2015,123,123,100,0,-2928,0,34977.2326612528
"2015/2016",2016,123,123,100,0,-2950.5,0,34379.2427036813
"2016/2017",2017,123,123,100,0,-2947.5,0,33010.1216120441
"2017/2018",2018,123,123,100,0,-2950.5,0,33878.0993845835
"2018/2019",2019,123,123,100,0,-2879.5,0,35649.4103134028
"2019/2020",2020,123,123,100,0,-2938.5,0,35513.7700746555
"2020/2021",2021,123,123,100,0,-2946.5,0,35242.466564137
"2021/2022",2022,123,123,100,0,-2948,0,34501.2485093502
"2022/2023",2023,123,123,100,0,-2917,0,33335.7843850325
"2023/2024",2024,123,123,100,0,-2946.5,0,35881.2845247644
"2024/2025",2025,123,123,100,0,-2933,0,34799.0949109052
"2025/2026",2026,123,123,100,0,-2938,0,34859.9824141199
"2026/2027",2027,123,123,100,0,-2951.5,0,33756.7450223947
"2027/2028",2028,123,123,100,0,-2950,0,34245.6074231793
"2028/2029",2029,123,123,100,0,-2940,0,36739.8033534526
"2029/2030",2030,123,123,100,0,-2935,0,33401.7513326593
"2030/2031",2031,123,123,100,0,-2943.5,0,36145.8744522138
"2031/2032",2032,123,123,100,0,-2934,0,34632.2756295325
"2032/2033",2033,123,123,100,0,-2945,0,37116.1009408664
"2033/2034",2034,123,123,100,0,-2944.5,0,35276.9155974858
"2034/2035",2035,123,123,100,0,-2949,0,33400.349988353
"2035/2036",2036,123,123,100,0,-2947.5,0,34526.7506172517
"2036/2037",2037,123,123,100,0,-2952,0,34654.982607286
"2037/2038",2038,123,123,100,0,-2930,0,36293.9142244332
"2038/2039",2039,123,123,100,0,-2952,0,33890.7455900516
"2039/2040",2040,123,123,100,0,-2950,0,34351.9448803267
"2040/2041",2041,123,123,100,0,-2948.5,0,34592.0186271183
"2041/2042",2042,123,123,100,0,-2942.5,0,35583.2473192094
"2042/2043",2043,123,123,100,0,-2950,0,34604.043087773
"2043/2044",2044,123,123,100,0,-2950,0,34818.1632763133
"2044/2045",2045,123,123,100,0,-2952,0,33665.5052647637
"2045/2046",2046,123,123,100,0,-2944,0,33608.1617798563
"2046/2047",2047,123,123,100,0,-2950.5,0,33550.4112328021
"2047/2048",2048,123,123,100,0,-2929,0,34825.169155254
"2048/2049",2049,123,123,100,0,-2950,0,36317.5848360453
"2049/2050",2050,123,123,100,0,-2885.5,0,34675.8743689293
"2050/2051",2051,123,123,100,0,-2947.5,0,36326.7892614147
"2051/2052",2052,123,123,100,2,-2929.5,0,36479.9977667034
"2052/2053",2053,123,123,100,0,-2950.5,0,36257.6084311511
"2053/2054",2054,123,123,100,0,-2950.5,0,35726.6481883945
"2054/2055",2055,123,123,100,0,-2946.5,0,35283.9699642956
"2055/2056",2056,123,123,100,0,-2933,0,35988.3885782277
"2056/2057",2057,123,123,100,0,-2950,0,36816.0533005893
"2057/2058",2058,123,123,100,0,-2922,0,35342.2968090437
"2058/2059",2059,123,123,100,0,-2950,0,35086.895311527
"2059/2060",2060,123,123,100,0,-2935,0,34750.022029439
"2060/2061",2061,123,123,100,0,-2943.5,0,34233.5256953426
"2061/2062",2062,123,123,100,0,-2946,0,36042.3078183616
"2062/2063",2063,123,123,100,0,-2948.5,0,35068.3934029527
"2063/2064",2064,123,123,100,0,-2900.5,0,36181.2094541956
"2064/2065",2065,123,123,100,0,-2949,0,34103.4181872169
"2065/2066",2066,123,123,100,0,-2934.5,0,34645.785166068
"2066/2067",2067,123,123,100,0,-2944.5,0,35536.8408146417
"2067/2068",2068,123,123,100,0,-2932,0,34574.811259008
"2068/2069",2069,123,123,100,0,-2945.5,0,32838.6304406766
"2069/2070",2070,123,123,100,0,-2951.5,0,33962.3890626645
"2070/2071",2071,123,123,100,0,-2951,0,36854.3053416256
"2071/2072",2072,123,123,100,0,-2948.5,0,35923.2858567499
"2072/2073",2073,123,123,100,0,-2921.5,0,36091.920830165
"2073/2074",2074,123,123,100,0,-2952,0,38359.6339907506
"2074/2075",2075,123,123,100,0,-2941.5,0,36542.251775939
"2075/2076",2076,123,123,100,0,-2951,0,34883.5945770275
"2076/2077",2077,123,123,100,0,-2951,0,34614.7004226334
"2077/2078",2078,123,123,100,0,-2949,0,35751.9409735939
"2078/2079",2079,123,123,100,0,-2948.5,0,35818.2032330651
"2079/2080",2080,123,123,100,0,-2923,0,34699.2607749449
"2080/2081",2081,123,123,100,0,-2950.5,0,37166.6183706438
"2081/2082",2082,123,123,100,0,-2932.5,0,36202.0730892541
"2082/2083",2083,123,123,100,0,-2947,0,35779.4185772575
"2083/2084",2084,123,123,100,0,-2952,0,34977.8536624964
"2084/2085",2085,123,123,100,0,-2947,0,35585.4472828712
"2085/2086",2086,123,123,100,0,-2942,0,33510.1733339066
"2086/2087",2087,123,123,100,0,-2928.5,0,36594.3269487135
"2087/2088",2088,123,123,100,0,-2934.5,0,35388.3509653173
"2088/2089",2089,123,123,100,0,-2937.5,0,36780.3660331778
"2089/2090",2090,123,123,100,0,-2952,0,34611.935185723
"2090/2091",2091,123,123,100,0,-2948.5,0,36308.9382369108
"2091/2092",2092,123,123,100,0,-2947,0,36162.3480974659
"2092/2093",2093,123,123,100,0,-2951.5,0,33510.8926142771
"2093/2094",2094,123,123,100,0,-2951.5,0,33754.5844576731
"2094/2095",2095,123,123,100,0,-2931,0,35158.8786349259
"2095/2096",2096,123,123,100,0,-2951,0,36317.008724995
"2096/2097",2097,123,123,100,0,-2947,0,34040.9682295136
"2097/2098",2098,123,123,100,0,-2950,0,34761.3363264073
"2098/2099",2099,123,123,100,0,-2936.5,0,36349.7906441391
"2099/2100",2100,123,123,100,0,-2952,0,33546.8622105438
