"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2930,0,40163.251459031
"2000/2001",2001,123,123,100,0,-2912.5,0,39325.8464268646
"2001/2002",2002,123,123,100,0,-2927.5,0,39557.3091323051
"2002/2003",2003,123,123,100,0,-2927.5,0,40365.0037666357
"2003/2004",2004,123,123,100,0,-2945,0,39978.87585141
"2004/2005",2005,123,123,100,0,-2916.5,0,39371.4338231208
"2005/2006",2006,123,123,100,0,-2922,0,39675.5564597662
"2006/2007",2007,123,123,100,0,-2922.5,0,39924.3013886091
"2007/2008",2008,123,123,100,0,-2919.5,0,38934.1590515539
"2008/2009",2009,123,123,100,0,-2907.5,0,39302.1142925043
"2009/2010",2010,123,123,100,0,-2946.5,0,41300.4603185435
"2010/2011",2011,123,123,100,0,-2937,0,39492.1457297716
"2011/2012",2012,123,123,100,0,-2903.5,0,40223.470846616
"2012/2013",2013,123,123,100,0,-2930,0,41158.4215551876
"2013/2014",2014,123,123,100,0,-2936,0,39251.6674282399
"2014/2015",2015,123,123,100,0,-2910.5,0,39267.1879245704
"2015/2016",2016,123,123,100,0,-2939.5,0,39183.9117109934
"2016/2017",2017,123,123,100,0,-2939.5,0,37991.5388386592
"2017/2018",2018,123,123,100,0,-2945.5,0,38923.6639779119
"2018/2019",2019,123,123,100,0,-2821,0,39743.0890123798
"2019/2020",2020,123,123,100,0,-2921.5,0,40010.5203414117
"2020/2021",2021,123,123,100,0,-2940,0,39881.0795340645
"2021/2022",2022,123,123,100,0,-2934.5,0,39049.5204040967
"2022/2023",2023,123,123,100,0,-2901,0,38384.2808942511
"2023/2024",2024,123,123,100,0,-2931.5,0,40040.3385751769
"2024/2025",2025,123,123,100,0,-2913,0,39362.5711660488
"2025/2026",2026,123,123,100,0,-2918.5,0,39443.6449934132
"2026/2027",2027,123,123,100,0,-2946.5,0,38501.8266977607
"2027/2028",2028,123,123,100,0,-2941,0,38903.9927999587
"2028/2029",2029,123,123,100,0,-2928.5,0,41357.6111826953
"2029/2030",2030,123,123,100,0,-2925,0,38174.213970928
"2030/2031",2031,123,123,100,0,-2930.5,0,40692.6124892519
"2031/2032",2032,123,123,100,0,-2921.5,0,39648.6607658891
"2032/2033",2033,123,123,100,0,-2936.5,0,41363.4383829595
"2033/2034",2034,123,123,100,0,-2928,0,39765.8341178913
"2034/2035",2035,123,123,100,0,-2942,0,38435.9731110013
"2035/2036",2036,123,123,100,0,-2941,0,39782.6774051841
"2036/2037",2037,123,123,100,0,-2944,0,39079.06673493
"2037/2038",2038,123,123,100,0,-2905.5,0,40503.5785447839
"2038/2039",2039,123,123,100,0,-2948.5,0,38594.7402606094
"2039/2040",2040,123,123,100,0,-2941,0,39112.1967558488
"2040/2041",2041,123,123,100,0,-2943,0,39421.6869954262
"2041/2042",2042,123,123,100,0,-2931.5,0,40114.9711491503
"2042/2043",2043,123,123,100,0,-2939.5,0,39425.2681386471
"2043/2044",2044,123,123,100,0,-2947,0,39694.8902521338
"2044/2045",2045,123,123,100,0,-2951.5,0,38797.2068051947
"2045/2046",2046,123,123,100,0,-2936,0,38713.2808679743
"2046/2047",2047,123,123,100,0,-2944.5,0,38416.8114353139
"2047/2048",2048,123,123,100,0,-2916.5,0,39516.5090135029
"2048/2049",2049,123,123,100,0,-2942.5,0,40734.167613755
"2049/2050",2050,123,123,100,0,-2820.5,0,38752.13040605
