"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2946.5,0,34548.9340498764
"2000/2001",2001,123,123,100,0,-2935.5,0,33498.110884752
"2001/2002",2002,123,123,100,0,-2940,0,33796.1475318689
"2002/2003",2003,123,123,100,0,-2941.5,0,34747.8958097182
"2003/2004",2004,123,123,100,0,-2952,0,34124.7696049561
"2004/2005",2005,123,123,100,0,-2933,0,33673.5448791167
"2005/2006",2006,123,123,100,0,-2939.5,0,33903.8580437776
"2006/2007",2007,123,123,100,0,-2947,0,34514.8268798472
"2007/2008",2008,123,123,100,0,-2938,0,33562.0164851949
"2008/2009",2009,123,123,100,0,-2934.5,0,33801.9251310769
"2009/2010",2010,123,123,100,0,-2950,0,35997.2138436725
"2010/2011",2011,123,123,100,0,-2946,0,33313.0898870684
"2011/2012",2012,123,123,100,0,-2931.5,0,34780.4675041004
"2012/2013",2013,123,123,100,0,-2945.5,0,35656.8427268884
"2013/2014",2014,123,123,100,0,-2948.5,0,33571.5546969101
"2014/2015",2015,123,123,100,0,-2929,0,34012.3679132657
"2015/2016",2016,123,123,100,0,-2950.5,0,33373.7406494087
"2016/2017",2017,123,123,100,0,-2947.5,0,31981.9773966786
"2017/2018",2018,123,123,100,0,-2951,0,32854.3188209226
"2018/2019",2019,123,123,100,0,-2882,0,34732.6471871592
"2019/2020",2020,123,123,100,0,-2941,0,34493.0785837155
"2020/2021",2021,123,123,100,0,-2947,0,34253.8289777646
"2021/2022",2022,123,123,100,0,-2949,0,33501.6412378452
"2022/2023",2023,123,123,100,0,-2918.5,0,32305.7805386423
"2023/2024",2024,123,123,100,0,-2947.5,0,34929.605585794
"2024/2025",2025,123,123,100,0,-2935,0,33924.6983365156
"2025/2026",2026,123,123,100,0,-2938,0,33850.6694350564
"2026/2027",2027,123,123,100,0,-2951.5,0,32723.8670088924
"2027/2028",2028,123,123,100,0,-2950,0,33281.3773006136
"2028/2029",2029,123,123,100,0,-2940,0,35639.4944119607
"2029/2030",2030,123,123,100,0,-2934,0,32395.2661168277
"2030/2031",2031,123,123,100,0,-2944,0,35110.2161962967
"2031/2032",2032,123,123,100,0,-2934.5,0,33546.1421470353
"2032/2033",2033,123,123,100,0,-2945.5,0,36019.9173568296
"2033/2034",2034,123,123,100,0,-2945,0,34285.0954888808
"2034/2035",2035,123,123,100,0,-2949.5,0,32442.2257500663
"2035/2036",2036,123,123,100,0,-2948,0,33435.8151165913
"2036/2037",2037,123,123,100,0,-2952,0,33708.4976677704
"2037/2038",2038,123,123,100,0,-2932,0,35248.6248698384
"2038/2039",2039,123,123,100,0,-2951.5,0,32861.4746548319
"2039/2040",2040,123,123,100,0,-2949.5,0,33294.0565240532
"2040/2041",2041,123,123,100,0,-2948.5,0,33549.0395968761
"2041/2042",2042,123,123,100,0,-2943,0,34562.7787806503
"2042/2043",2043,123,123,100,0,-2950,0,33609.670961488
"2043/2044",2044,123,123,100,0,-2950.5,0,33804.7442493285
"2044/2045",2045,123,123,100,0,-2952,0,32624.3010909213
"2045/2046",2046,123,123,100,0,-2944,0,32599.4000301231
"2046/2047",2047,123,123,100,0,-2950,0,32553.7562882416
"2047/2048",2048,123,123,100,0,-2931,0,33806.9961465951
"2048/2049",2049,123,123,100,0,-2950,0,35358.4905605847
"2049/2050",2050,123,123,100,0,-2890,0,33710.2980841333
"2050/2051",2051,123,123,100,0,-2948,0,35348.3321589073
"2051/2052",2052,123,123,100,3,-2931.5,0,35431.0785769699
"2052/2053",2053,123,123,100,0,-2950.5,0,35253.5156899532
"2053/2054",2054,123,123,100,0,-2951,0,34661.4868808677
"2054/2055",2055,123,123,100,0,-2947.5,0,34214.3420521691
"2055/2056",2056,123,123,100,0,-2934.5,0,34952.7033217549
"2056/2057",2057,123,123,100,0,-2951,0,35732.9556967933
"2057/2058",2058,123,123,100,0,-2923.5,0,34349.0850617867
"2058/2059",2059,123,123,100,0,-2950,0,34098.4355114661
"2059/2060",2060,123,123,100,0,-2935.5,0,33742.9359667413
"2060/2061",2061,123,123,100,0,-2943.5,0,33164.9602225367
"2061/2062",2062,123,123,100,0,-2945.5,0,34918.992791893
"2062/2063",2063,123,123,100,0,-2948.5,0,34039.3208091836
"2063/2064",2064,123,123,100,0,-2901.5,0,35131.7962535946
"2064/2065",2065,123,123,100,0,-2949.5,0,33088.7737339605
"2065/2066",2066,123,123,100,0,-2935,0,33626.8340789275
"2066/2067",2067,123,123,100,0,-2945,0,34473.2814498683
"2067/2068",2068,123,123,100,0,-2932,0,33601.8618450686
"2068/2069",2069,123,123,100,0,-2946.5,0,31855.1489091683
"2069/2070",2070,123,123,100,0,-2951.5,0,32916.6482758299
"2070/2071",2071,123,123,100,0,-2951.5,0,35801.2633531131
"2071/2072",2072,123,123,100,0,-2949,0,34943.8900896739
"2072/2073",2073,123,123,100,0,-2923.5,0,35144.9482480893
"2073/2074",2074,123,123,100,0,-2952,0,37276.9148939913
"2074/2075",2075,123,123,100,0,-2941.5,0,35461.2692662561
"2075/2076",2076,123,123,100,0,-2951.5,0,33852.1295545762
"2076/2077",2077,123,123,100,0,-2951,0,33666.6133562932
"2077/2078",2078,123,123,100,0,-2949,0,34638.9606273724
"2078/2079",2079,123,123,100,0,-2949,0,34742.5996816307
"2079/2080",2080,123,123,100,0,-2923,0,33736.7380484743
"2080/2081",2081,123,123,100,0,-2950.5,0,36127.6935527781
"2081/2082",2082,123,123,100,0,-2934,0,35180.4273030953
"2082/2083",2083,123,123,100,0,-2947,0,34673.0683003608
"2083/2084",2084,123,123,100,0,-2952,0,34015.1224517189
"2084/2085",2085,123,123,100,0,-2948.5,0,34644.8730249442
"2085/2086",2086,123,123,100,0,-2942.5,0,32481.8223442696
"2086/2087",2087,123,123,100,0,-2931,0,35764.1079296963
"2087/2088",2088,123,123,100,0,-2935,0,34345.5528087448
"2088/2089",2089,123,123,100,0,-2938,0,35678.6913751438
"2089/2090",2090,123,123,100,0,-2952,0,33571.7287622411
"2090/2091",2091,123,123,100,0,-2949.5,0,35131.7355597001
"2091/2092",2092,123,123,100,0,-2948,0,35150.9803168643
"2092/2093",2093,123,123,100,0,-2951.5,0,32500.5304733887
"2093/2094",2094,123,123,100,0,-2951.5,0,32685.1996055041
"2094/2095",2095,123,123,100,0,-2931.5,0,34175.9949745759
"2095/2096",2096,123,123,100,0,-2950,0,35190.186793806
"2096/2097",2097,123,123,100,0,-2948,0,33003.1356341653
"2097/2098",2098,123,123,100,0,-2950.5,0,33723.3367240448
"2098/2099",2099,123,123,100,0,-2937.5,0,35360.0226979125
"2099/2100",2100,123,123,100,0,-2952,0,32541.5526958089
