"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2952,0,21199.9010912414
"2000/2001",2001,123,123,100,0,-2949,0,20187.8075975536
"2001/2002",2002,123,123,100,0,-2949,0,20412.2279625056
"2002/2003",2003,123,123,100,0,-2949,0,21333.3290731784
"2003/2004",2004,123,123,100,0,-2952,0,20452.1599266737
"2004/2005",2005,123,123,100,0,-2950.5,0,20573.5399939839
"2005/2006",2006,123,123,100,0,-2948.5,0,20562.8318833474
"2006/2007",2007,123,123,100,0,-2952,0,21550.4679230568
"2007/2008",2008,123,123,100,0,-2951.5,0,20487.0993857343
"2008/2009",2009,123,123,100,0,-2950.5,0,21025.8292755508
"2009/2010",2010,123,123,100,0,-2952,0,22371.8110530336
"2010/2011",2011,123,123,100,0,-2952,0,19504.32361858
"2011/2012",2012,123,123,100,0,-2947,0,21515.9468624081
"2012/2013",2013,123,123,100,0,-2952,0,22192.8786445498
"2013/2014",2014,123,123,100,0,-2952,0,20349.4794812538
"2014/2015",2015,123,123,100,0,-2948.5,0,21238.6430345537
"2015/2016",2016,123,123,100,0,-2952,0,19900.6405028799
"2016/2017",2017,123,123,100,0,-2952,0,18735.5244731333
"2017/2018",2018,123,123,100,0,-2952,0,19136.7872798112
"2018/2019",2019,123,123,100,0,-2929,0,22855.7291589621
"2019/2020",2020,123,123,100,0,-2950.5,0,21368.4536022493
"2020/2021",2021,123,123,100,0,-2951,0,20653.6111674996
"2021/2022",2022,123,123,100,0,-2952,0,20068.5450783549
"2022/2023",2023,123,123,100,0,-2939.5,0,18904.2506437795
"2023/2024",2024,123,123,100,0,-2952,0,22453.0878305079
"2024/2025",2025,123,123,100,0,-2950.5,0,20707.5267561846
"2025/2026",2026,123,123,100,0,-2952,0,20794.88710903
"2026/2027",2027,123,123,100,0,-2952,0,19554.6922391993
"2027/2028",2028,123,123,100,0,-2952,0,20193.6429107666
"2028/2029",2029,123,123,100,0,-2947.5,0,21771.0943918824
"2029/2030",2030,123,123,100,0,-2943,0,19412.7660969277
"2030/2031",2031,123,123,100,0,-2952,0,21505.9044786759
"2031/2032",2032,123,123,100,0,-2949,0,19576.3980785704
"2032/2033",2033,123,123,100,0,-2952,0,22456.811721052
"2033/2034",2034,123,123,100,0,-2952,0,21115.9675137899
"2034/2035",2035,123,123,100,0,-2952,0,18879.5701080174
"2035/2036",2036,123,123,100,0,-2952,0,19307.1042039637
"2036/2037",2037,123,123,100,0,-2952,0,20549.0685898662
"2037/2038",2038,123,123,100,0,-2948,0,22396.4824832412
"2038/2039",2039,123,123,100,0,-2952,0,19591.1163508934
"2039/2040",2040,123,123,100,0,-2952,0,19979.548034552
"2040/2041",2041,123,123,100,0,-2952,0,19993.2640053011
"2041/2042",2042,123,123,100,0,-2951.5,0,21043.2428032174
"2042/2043",2043,123,123,100,0,-2952,0,20022.5567784552
"2043/2044",2044,123,123,100,0,-2952,0,20131.1496338365
"2044/2045",2045,123,123,100,0,-2952,0,18658.7093359767
"2045/2046",2046,123,123,100,0,-2952,0,18690.1939258385
"2046/2047",2047,123,123,100,0,-2952,0,19071.0941822152
"2047/2048",2048,123,123,100,0,-2949.5,0,20587.7205419019
"2048/2049",2049,123,123,100,0,-2952,0,22000.7950233147
"2049/2050",2050,123,123,100,0,-2944,0,22069.8620646265
"2050/2051",2051,123,123,100,0,-2952,0,22048.2345431722
"2051/2052",2052,123,123,100,0,-2940.5,0,22108.6706404234
"2052/2053",2053,123,123,100,0,-2952,0,22509.397697744
"2053/2054",2054,123,123,100,0,-2952,0,20868.6147894226
"2054/2055",2055,123,123,100,0,-2952,0,21055.9766624565
"2055/2056",2056,123,123,100,0,-2951.5,0,22277.2519026725
"2056/2057",2057,123,123,100,0,-2952,0,21822.7502323207
"2057/2058",2058,123,123,100,0,-2944,0,21953.1304058339
"2058/2059",2059,123,123,100,0,-2952,0,20602.2086080923
"2059/2060",2060,123,123,100,0,-2949,0,21176.1974147228
"2060/2061",2061,123,123,100,0,-2952,0,19933.533629715
"2061/2062",2062,123,123,100,0,-2952,0,21257.1152830324
"2062/2063",2063,123,123,100,0,-2952,0,20517.2249207632
"2063/2064",2064,123,123,100,0,-2942.5,0,22095.9453158113
"2064/2065",2065,123,123,100,0,-2952,0,19519.2477251496
"2065/2066",2066,123,123,100,0,-2950.5,0,20976.3052295288
"2066/2067",2067,123,123,100,0,-2952,0,21132.9919775138
"2067/2068",2068,123,123,100,0,-2950,0,20184.9554494023
"2068/2069",2069,123,123,100,0,-2952,0,18842.8813455543
"2069/2070",2070,123,123,100,0,-2952,0,19496.89660771
"2070/2071",2071,123,123,100,0,-2952,0,22503.9535874752
"2071/2072",2072,123,123,100,0,-2952,0,21546.279345626
"2072/2073",2073,123,123,100,0,-2942.5,0,22628.4647194697
"2073/2074",2074,123,123,100,0,-2952,0,23961.7397921253
"2074/2075",2075,123,123,100,0,-2949,0,21685.7328048656
"2075/2076",2076,123,123,100,0,-2952,0,20212.9773349762
"2076/2077",2077,123,123,100,0,-2952,0,20262.4120011441
"2077/2078",2078,123,123,100,0,-2952,0,21149.4431142714
"2078/2079",2079,123,123,100,0,-2952,0,21028.6262867851
"2079/2080",2080,123,123,100,0,-2943.5,0,20586.0635464219
"2080/2081",2081,123,123,100,0,-2952,0,22918.6260068491
"2081/2082",2082,123,123,100,0,-2947.5,0,22507.573693417
"2082/2083",2083,123,123,100,0,-2952,0,20776.915321161
"2083/2084",2084,123,123,100,0,-2952,0,20570.8991732439
"2084/2085",2085,123,123,100,0,-2952,0,21878.380770022
"2085/2086",2086,123,123,100,0,-2950,0,18838.26145285
"2086/2087",2087,123,123,100,0,-2946.5,0,23674.0423456235
"2087/2088",2088,123,123,100,0,-2949.5,0,20992.3654184183
"2088/2089",2089,123,123,100,0,-2949.5,0,22396.0716394233
"2089/2090",2090,123,123,100,0,-2952,0,19861.1941405078
"2090/2091",2091,123,123,100,0,-2952,0,20503.4193266984
"2091/2092",2092,123,123,100,0,-2952,0,21866.2365718195
"2092/2093",2093,123,123,100,0,-2952,0,18620.5449323272
"2093/2094",2094,123,123,100,0,-2952,0,18334.8309653234
"2094/2095",2095,123,123,100,0,-2951,0,21337.5848176712
"2095/2096",2096,123,123,100,0,-2952,0,21181.0159617038
"2096/2097",2097,123,123,100,0,-2952,0,19559.9286265299
"2097/2098",2098,123,123,100,0,-2952,0,19983.1659973953
"2098/2099",2099,123,123,100,0,-2949.5,0,22650.9076352688
"2099/2100",2100,123,123,100,0,-2952,0,19082.529029144
