"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2662,0,52786.8283392624
"2000/2001",2001,123,123,100,0,-2689,0,53003.9434957463
"2001/2002",2002,123,123,100,0,-2612,0,52685.7642080956
"2002/2003",2003,123,123,100,0,-2626.5,0,52491.4896007135
"2003/2004",2004,123,123,100,0,-2661,0,53111.3212953778
"2004/2005",2005,123,123,100,0,-2665.5,0,52979.5843976589
"2005/2006",2006,123,123,100,0,-2607,0,51822.876276381
"2006/2007",2007,123,123,100,0,-2613,0,52335.0741034348
"2007/2008",2008,123,123,100,0,-2615,1.00489358726728,51544.7935822003
"2008/2009",2009,123,123,100,0,-2575.5,0,51658.5487279047
"2009/2010",2010,123,123,100,0,-2633,0,52580.2193763137
"2010/2011",2011,123,123,100,0,-2737.5,0,53776.1707267941
"2011/2012",2012,123,123,100,0,-2535,0,51733.2869058033
"2012/2013",2013,123,123,100,0,-2588.5,0,52387.5264176275
"2013/2014",2014,123,123,100,0,-2667,0,53202.1456243764
"2014/2015",2015,123,123,100,0,-2636,0,52369.1344476407
"2015/2016",2016,123,123,100,0,-2677.5,0,52927.9979181746
"2016/2017",2017,123,123,100,0,-2752.5,0,53496.1122198198
"2017/2018",2018,123,123,100,0,-2774,0,53398.7885264801
"2018/2019",2019,123,123,100,0,-2405.5,0,50985.470867719
"2019/2020",2020,123,123,100,1,-2577,1.00085196109863,52483.0206835801
"2020/2021",2021,123,123,100,0,-2658,0,52445.1179979229
"2021/2022",2022,123,123,100,0,-2727.5,0,53138.4129537693
"2022/2023",2023,123,123,100,0,-2736.5,0,53547.9489536341
"2023/2024",2024,123,123,100,1,-2537.5,0,51967.1066304562
"2024/2025",2025,123,123,100,0,-2630,0,51496.6865615803
"2025/2026",2026,123,123,100,0,-2645.5,0,52309.6683778535
"2026/2027",2027,123,123,100,0,-2694,0,53182.8147636522
"2027/2028",2028,123,123,100,0,-2659.5,0,51880.911136806
"2028/2029",2029,123,123,100,0,-2627.5,0,51769.8142181141
"2029/2030",2030,123,123,100,0,-2648.5,0,52952.0973682208
"2030/2031",2031,123,123,100,0,-2655.5,0,52272.2028106861
"2031/2032",2032,123,123,100,0,-2732.5,0,54040.6272966517
"2032/2033",2033,123,123,100,0,-2567.5,0,51824.2302438086
"2033/2034",2034,123,123,100,0,-2566,0,51903.3154624412
"2034/2035",2035,123,123,100,0,-2741,0,54229.2652772283
"2035/2036",2036,123,123,100,0,-2786,0,54104.5333039062
"2036/2037",2037,123,123,100,0,-2644,0,51747.2566092061
"2037/2038",2038,123,123,100,0,-2555,0,51754.0364662409
"2038/2039",2039,123,123,100,0,-2675,0,52438.9562397618
"2039/2040",2040,123,123,100,0,-2657.5,0,53319.894431104
"2040/2041",2041,123,123,100,0,-2690,0,53576.8467460005
"2041/2042",2042,123,123,100,0,-2654.5,0,53033.3600452999
"2042/2043",2043,123,123,100,0,-2631.5,0,52821.2463788018
"2043/2044",2044,123,123,100,0,-2712.5,0,53536.9993427265
"2044/2045",2045,123,123,100,0,-2790.5,0,54520.1957144616
"2045/2046",2046,123,123,100,0,-2785,0,53626.0330665968
"2046/2047",2047,123,123,100,0,-2744,0,53685.7800311977
"2047/2048",2048,123,123,100,7,-2588.5,0,52042.9920927696
"2048/2049",2049,123,123,100,0,-2572.5,0,51524.0122958031
"2049/2050",2050,123,123,100,0,-2507,0,51395.2747757593
"2050/2051",2051,123,123,100,0,-2572.5,0,51751.3913491862
"2051/2052",2052,123,123,100,2,-2601,0,52285.8901510257
"2052/2053",2053,123,123,100,0,-2556,0,52063.3295319378
"2053/2054",2054,123,123,100,0,-2671.5,0,51602.6946436632
"2054/2055",2055,123,123,100,0,-2589.5,0,52532.1914244369
"2055/2056",2056,123,123,100,0,-2506.5,0,51568.7447959315
"2056/2057",2057,123,123,100,0,-2657.5,0,52725.3781834673
"2057/2058",2058,123,123,100,0,-2395,0,50874.9792577829
"2058/2059",2059,123,123,100,0,-2667,0,52722.1602137778
"2059/2060",2060,123,123,100,0,-2579.5,0,52590.2910271231
"2060/2061",2061,123,123,100,0,-2664.5,0,53430.8342563044
"2061/2062",2062,123,123,100,0,-2576.5,0,52028.6349040885
"2062/2063",2063,123,123,100,0,-2658,0,52461.7360107284
"2063/2064",2064,123,123,100,0,-2567,0,51922.6206298638
"2064/2065",2065,123,123,100,0,-2714.5,0,53596.0663963165
