"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2798,0,48286.2597749548
"2000/2001",2001,123,123,100,0,-2813.5,0,48211.0128819449
"2001/2002",2002,123,123,100,0,-2817,0,48387.8188741585
"2002/2003",2003,123,123,100,0,-2779.5,0,48464.8949217465
"2003/2004",2004,123,123,100,0,-2821.5,0,49397.2036504995
"2004/2005",2005,123,123,100,0,-2831.5,0,47801.0625663722
"2005/2006",2006,123,123,100,0,-2783.5,0,48547.8187276539
"2006/2007",2007,123,123,100,0,-2745,0,47613.5037646639
"2007/2008",2008,123,123,100,0,-2799.5,0,45614.4259010212
"2008/2009",2009,123,123,100,0,-2778.5,0,47738.9036244003
"2009/2010",2010,123,123,100,0,-2837.5,0,49344.7713283249
"2010/2011",2011,123,123,100,0,-2880,0,49684.6366269186
"2011/2012",2012,123,123,100,0,-2747,0,47739.3559654581
"2012/2013",2013,123,123,100,0,-2770,0,49277.6898897849
"2013/2014",2014,123,123,100,0,-2853,0,48456.2691373571
"2014/2015",2015,123,123,100,0,-2843,0,47483.2386764586
"2015/2016",2016,123,123,100,0,-2870.5,0,47881.0834513272
"2016/2017",2017,123,123,100,0,-2886,0,46800.1739498735
"2017/2018",2018,123,123,100,0,-2875.5,0,48495.71258634
"2018/2019",2019,123,123,100,0,-2668.5,0,47381.7415527669
"2019/2020",2020,123,123,100,0,-2803,0,48102.9474833263
"2020/2021",2021,123,123,100,0,-2799.5,0,48215.1307542007
"2021/2022",2022,123,123,100,0,-2859,0,46702.7722069118
"2022/2023",2023,123,123,100,0,-2835.5,0,48696.2969072652
"2023/2024",2024,123,123,100,0,-2815,0,47047.7731279545
"2024/2025",2025,123,123,100,0,-2775,0,46638.2078768578
"2025/2026",2026,123,123,100,0,-2793,0,47544.8969236654
"2026/2027",2027,123,123,100,0,-2896.5,0,47486.1799077461
"2027/2028",2028,123,123,100,0,-2868,0,46917.9118304914
"2028/2029",2029,123,123,100,0,-2800.5,0,49496.7699888269
"2029/2030",2030,123,123,100,0,-2863.5,0,46873.6854715999
"2030/2031",2031,123,123,100,0,-2810,0,48784.2694309326
"2031/2032",2032,123,123,100,0,-2878.5,0,49346.2646343242
"2032/2033",2033,123,123,100,0,-2819,0,49592.610600004
"2033/2034",2034,123,123,100,0,-2795,0,47602.2253723796
"2034/2035",2035,123,123,100,0,-2878,0,47761.9464450302
"2035/2036",2036,123,123,100,0,-2854,0,50093.7932168646
"2036/2037",2037,123,123,100,0,-2815.5,0,45941.4650747823
"2037/2038",2038,123,123,100,0,-2791,0,47741.3228936838
"2038/2039",2039,123,123,100,0,-2894,0,47282.6268029073
"2039/2040",2040,123,123,100,0,-2868.5,0,48183.946965537
"2040/2041",2041,123,123,100,0,-2856.5,0,48454.2893813225
"2041/2042",2042,123,123,100,0,-2869,0,48454.9964247756
"2042/2043",2043,123,123,100,0,-2854.5,0,48666.8547578212
"2043/2044",2044,123,123,100,0,-2854.5,0,48858.5667753452
"2044/2045",2045,123,123,100,0,-2896.5,0,48660.6808435554
"2045/2046",2046,123,123,100,0,-2871.5,0,48043.0996058611
"2046/2047",2047,123,123,100,0,-2897,0,47085.1473516999
"2047/2048",2048,123,123,100,0,-2819,0,48282.9811942959
"2048/2049",2049,123,123,100,0,-2727.5,0,48120.7118443334
"2049/2050",2050,123,123,100,0,-2649.5,0,46338.972049905
"2050/2051",2051,123,123,100,0,-2770.5,0,48154.2927647727
"2051/2052",2052,123,123,100,0,-2810,0,49183.9793808917
"2052/2053",2053,123,123,100,0,-2822.5,0,48909.6885912679
"2053/2054",2054,123,123,100,0,-2835.5,0,48426.145395874
"2054/2055",2055,123,123,100,0,-2824.5,0,48769.9623548305
"2055/2056",2056,123,123,100,0,-2765,0,49429.9192524757
"2056/2057",2057,123,123,100,0,-2781.5,0,49330.2951994734
"2057/2058",2058,123,123,100,0,-2809.5,0,47891.0632104967
"2058/2059",2059,123,123,100,0,-2858,0,47724.5786651876
"2059/2060",2060,123,123,100,0,-2777,0,47476.4470197093
"2060/2061",2061,123,123,100,0,-2815.5,0,49633.8311830116
"2061/2062",2062,123,123,100,0,-2787,0,49837.0798064675
"2062/2063",2063,123,123,100,0,-2863,0,47840.1589899212
"2063/2064",2064,123,123,100,0,-2753,0,48683.2703318847
"2064/2065",2065,123,123,100,0,-2896.5,0,47572.8610718194
"2065/2066",2066,123,123,100,0,-2800,0,46636.1437756876
"2066/2067",2067,123,123,100,0,-2844.5,0,49673.0099933576
"2067/2068",2068,123,123,100,0,-2842,0,47715.729287181
"2068/2069",2069,123,123,100,0,-2886.5,0,46070.7992841713
"2069/2070",2070,123,123,100,0,-2853.5,0,48311.191822568
"2070/2071",2071,123,123,100,0,-2801,0,49574.3145586681
"2071/2072",2072,123,123,100,0,-2810.5,0,49041.3649764545
"2072/2073",2073,123,123,100,3,-2678,0,46169.8023728244
"2073/2074",2074,123,123,100,0,-2754.5,0,49705.9254463371
"2074/2075",2075,123,123,100,0,-2768,0,49510.5597599633
"2075/2076",2076,123,123,100,0,-2852.5,0,48500.9679228533
"2076/2077",2077,123,123,100,0,-2824,0,46835.0400979873
"2077/2078",2078,123,123,100,0,-2816,0,49693.4479413293
"2078/2079",2079,123,123,100,0,-2833,0,48436.4620079938
"2079/2080",2080,123,123,100,0,-2816,0,47837.1508266758
"2080/2081",2081,123,123,100,0,-2793.5,0,49277.1626098044
"2081/2082",2082,123,123,100,0,-2766.5,0,49197.7874059491
"2082/2083",2083,123,123,100,0,-2860.5,0,49195.6597147491
"2083/2084",2084,123,123,100,0,-2850,0,47267.2071613036
"2084/2085",2085,123,123,100,0,-2813.5,0,46872.8847655673
"2085/2086",2086,123,123,100,0,-2865,0,47795.7871440705
"2086/2087",2087,123,123,100,1,-2695.5,0,46554.8565019816
"2087/2088",2088,123,123,100,0,-2785,0,48717.041067997
"2088/2089",2089,123,123,100,0,-2788,0,48866.2745970041
"2089/2090",2090,123,123,100,0,-2855,0,48907.9858751129
"2090/2091",2091,123,123,100,0,-2862,0,50568.584396204
"2091/2092",2092,123,123,100,0,-2781.5,0,48232.826881066
"2092/2093",2093,123,123,100,0,-2850,0,47471.799177995
"2093/2094",2094,123,123,100,0,-2912,0,49658.0586714055
"2094/2095",2095,123,123,100,0,-2792.5,0,47070.4994596709
"2095/2096",2096,123,123,100,0,-2851.5,0,50446.0612131897
"2096/2097",2097,123,123,100,0,-2846,0,48367.6255114507
"2097/2098",2098,123,123,100,0,-2848.5,0,49345.2673454732
"2098/2099",2099,123,123,100,0,-2774.5,0,48447.3818593342
"2099/2100",2100,123,123,100,0,-2872.5,0,47819.0630029198
