"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2923.5,0,52421.5256632997
"2000/2001",2001,123,123,100,0,-2919,0,51885.448172052
"2001/2002",2002,123,123,100,0,-2923,0,52619.0140354449
"2002/2003",2003,123,123,100,0,-2923,0,52957.4695698398
"2003/2004",2004,123,123,100,0,-2920,0,53140.8635803376
"2004/2005",2005,123,123,100,0,-2927.5,0,52142.1091296565
"2005/2006",2006,123,123,100,0,-2901,0,52508.6824839411
"2006/2007",2007,123,123,100,0,-2913.5,0,52267.7487666258
"2007/2008",2008,123,123,100,0,-2887.5,0,49462.9286980079
"2008/2009",2009,123,123,100,0,-2907,0,52143.9274723229
"2009/2010",2010,123,123,100,0,-2940,0,53788.5980441568
"2010/2011",2011,123,123,100,0,-2940,0,53515.7576012185
"2011/2012",2012,123,123,100,0,-2873.5,0,51877.8737199791
"2012/2013",2013,123,123,100,0,-2906.5,0,53639.3109045217
"2013/2014",2014,123,123,100,0,-2941.5,0,52338.4344869626
"2014/2015",2015,123,123,100,0,-2920,0,51643.966978586
"2015/2016",2016,123,123,100,0,-2937,0,52071.278379885
"2016/2017",2017,123,123,100,0,-2940,0,50581.4142447282
"2017/2018",2018,123,123,100,0,-2939,0,52134.6315685292
"2018/2019",2019,123,123,100,0,-2834,0,51896.6398099288
"2019/2020",2020,123,123,100,0,-2883,0,52426.2050883942
"2020/2021",2021,123,123,100,0,-2923.5,0,52415.3829981298
"2021/2022",2022,123,123,100,0,-2918.5,0,50879.9407067653
"2022/2023",2023,123,123,100,0,-2918.5,0,52480.3411641922
"2023/2024",2024,123,123,100,0,-2924,0,51531.5375520657
"2024/2025",2025,123,123,100,0,-2901.5,0,50469.8948462266
"2025/2026",2026,123,123,100,0,-2911,0,51869.3841122128
"2026/2027",2027,123,123,100,0,-2951,0,52079.2934431601
"2027/2028",2028,123,123,100,0,-2945.5,0,50948.043606041
"2028/2029",2029,123,123,100,0,-2916,0,53404.8238464696
"2029/2030",2030,123,123,100,0,-2931,0,51172.5649744114
"2030/2031",2031,123,123,100,0,-2911,0,52642.9574863883
"2031/2032",2032,123,123,100,0,-2925,0,53044.4293764853
"2032/2033",2033,123,123,100,0,-2923.5,0,53590.6212254306
"2033/2034",2034,123,123,100,0,-2905,0,51778.0393606275
"2034/2035",2035,123,123,100,0,-2943.5,0,51652.1312518446
"2035/2036",2036,123,123,100,0,-2933.5,0,53646.5287665008
"2036/2037",2037,123,123,100,0,-2939,0,50100.7858471349
"2037/2038",2038,123,123,100,0,-2906,0,51935.7255319357
"2038/2039",2039,123,123,100,0,-2945.5,0,51635.9785216916
"2039/2040",2040,123,123,100,0,-2941,0,52412.6143768532
"2040/2041",2041,123,123,100,0,-2950.5,0,52823.9694804801
"2041/2042",2042,123,123,100,0,-2935,0,52720.579265519
"2042/2043",2043,123,123,100,0,-2937.5,0,52854.1877029864
"2043/2044",2044,123,123,100,0,-2942.5,0,52678.3070189375
"2044/2045",2045,123,123,100,0,-2951.5,0,52650.6030579628
"2045/2046",2046,123,123,100,0,-2928,0,51331.8459349191
"2046/2047",2047,123,123,100,0,-2948,0,51437.6292094244
"2047/2048",2048,123,123,100,0,-2898,0,52253.8419244094
"2048/2049",2049,123,123,100,0,-2904.5,0,52439.3578361599
"2049/2050",2050,123,123,100,0,-2816,0,50343.477746238
"2050/2051",2051,123,123,100,0,-2898,0,51885.5551508907
"2051/2052",2052,123,123,100,0,-2922.5,0,53380.1528981961
"2052/2053",2053,123,123,100,0,-2926.5,0,53201.9116470069
"2053/2054",2054,123,123,100,0,-2936,0,52356.712809233
"2054/2055",2055,123,123,100,0,-2928.5,0,52998.5401448039
"2055/2056",2056,123,123,100,0,-2903,0,53726.0312790219
"2056/2057",2057,123,123,100,0,-2926.5,0,53424.869484771
"2057/2058",2058,123,123,100,0,-2905,0,52536.0411955742
"2058/2059",2059,123,123,100,0,-2947.5,0,51885.1455179537
"2059/2060",2060,123,123,100,0,-2905.5,0,51951.1049363362
