"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2231,0,43429.76304507
"2000/2001",2001,123,123,100,0,-2301,0,43927.4274772113
"2001/2002",2002,123,123,100,3,-2247.5,0,43252.682781779
"2002/2003",2003,123,123,100,0,-2221,0,43840.6375145749
"2003/2004",2004,123,123,100,0,-2243.5,0,44238.1133466149
"2004/2005",2005,123,123,100,0,-2244.5,0,43003.6288400094
"2005/2006",2006,123,123,100,0,-2248.5,0,44226.9439398197
"2006/2007",2007,123,123,100,0,-2123.5,0,42522.9916938919
"2007/2008",2008,123,123,100,0,-2269,0,42165.8036443645
"2008/2009",2009,123,123,100,0,-2205,0,42905.9621028912
"2009/2010",2010,123,123,100,0,-2180,0,43880.0549489169
"2010/2011",2011,123,123,100,0,-2337,0,44283.9429918667
"2011/2012",2012,123,123,100,0,-2215.5,0,43425.7649414779
"2012/2013",2013,123,123,100,0,-2141,0,43411.4094786316
"2013/2014",2014,123,123,100,0,-2253.5,0,43202.1517347682
"2014/2015",2015,123,123,100,0,-2217.5,0,42226.2415629434
"2015/2016",2016,123,123,100,0,-2312.5,0,43002.6211074577
"2016/2017",2017,123,123,100,0,-2361,0,42570.4502256624
"2017/2018",2018,123,123,100,0,-2345,0,44034.2369441851
"2018/2019",2019,123,123,100,7,-2086.5,0,42713.9124669963
"2019/2020",2020,123,123,100,2,-2229.5,0,43243.9029995599
"2020/2021",2021,123,123,100,0,-2241,0,43450.7712119692
"2021/2022",2022,123,123,100,0,-2296.5,0,42944.8957018536
"2022/2023",2023,123,123,100,0,-2350.5,0,44360.3748965459
"2023/2024",2024,123,123,100,0,-2153.5,0,41991.9169624718
"2024/2025",2025,123,123,100,0,-2277.5,0,42945.6103660194
"2025/2026",2026,123,123,100,3,-2229.5,0,42969.9811291755
"2026/2027",2027,123,123,100,0,-2281.5,0,42512.3420012644
"2027/2028",2028,123,123,100,0,-2272,0,42409.4484732575
"2028/2029",2029,123,123,100,2,-2193.5,0,44048.5650262823
"2029/2030",2030,123,123,100,0,-2288,0,42272.2109916471
"2030/2031",2031,123,123,100,1,-2200.5,0,43255.1062631207
"2031/2032",2032,123,123,100,3,-2302.5,0,44227.8871963853
"2032/2033",2033,123,123,100,0,-2156.5,0,43720.6696742876
"2033/2034",2034,123,123,100,0,-2234,0,42920.0054143202
"2034/2035",2035,123,123,100,0,-2350.5,0,43564.0503163515
"2035/2036",2036,123,123,100,0,-2371,0,45477.1247613821
"2036/2037",2037,123,123,100,0,-2248,0,42025.4299987415
"2037/2038",2038,123,123,100,0,-2173.5,0,42983.2082032347
"2038/2039",2039,123,123,100,0,-2293.5,0,42601.9025017982
"2039/2040",2040,123,123,100,0,-2274,0,43080.2065922292
"2040/2041",2041,123,123,100,0,-2255,0,43256.2480804557
"2041/2042",2042,123,123,100,0,-2224.5,0,43010.7585376827
"2042/2043",2043,123,123,100,0,-2285.5,0,43767.6153744562
"2043/2044",2044,123,123,100,0,-2290,0,44097.0055269338
"2044/2045",2045,123,123,100,0,-2377.5,0,43775.7285163617
"2045/2046",2046,123,123,100,0,-2404,0,44288.3744782032
"2046/2047",2047,123,123,100,0,-2319.5,0,42616.8839763626
"2047/2048",2048,123,123,100,0,-2266.5,0,43578.6884205565
"2048/2049",2049,123,123,100,0,-2199.5,0,43978.2069618069
"2049/2050",2050,123,123,100,5,-2117.5,1.01320421619935,41827.6778298635
"2050/2051",2051,123,123,100,0,-2204,0,43534.2491705529
"2051/2052",2052,123,123,100,5,-2147,0,43327.956478619
"2052/2053",2053,123,123,100,0,-2165,0,43401.3487396007
"2053/2054",2054,123,123,100,0,-2243.5,0,43832.8514191341
"2054/2055",2055,123,123,100,0,-2212.5,0,43092.9571945528
"2055/2056",2056,123,123,100,0,-2134.5,0,43632.7727405401
"2056/2057",2057,123,123,100,0,-2199,0,44549.3756160326
"2057/2058",2058,123,123,100,3,-2100.5,0,41774.5927040167
"2058/2059",2059,123,123,100,0,-2257,0,43066.7256635008
"2059/2060",2060,123,123,100,0,-2175,0,42189.8851678297
"2060/2061",2061,123,123,100,6,-2240.5,1.00411283498675,43925.6188111752
"2061/2062",2062,123,123,100,0,-2203,0,44989.3449578816
"2062/2063",2063,123,123,100,0,-2260,0,43330.3080757558
"2063/2064",2064,123,123,100,0,-2148,1.00748124076935,42993.3933770992
"2064/2065",2065,123,123,100,0,-2283.5,0,42829.773999989
"2065/2066",2066,123,123,100,1,-2232.5,0,42105.526004035
"2066/2067",2067,123,123,100,1,-2203,0,43637.7344239224
"2067/2068",2068,123,123,100,0,-2271,0,43290.3351626061
"2068/2069",2069,123,123,100,0,-2314,0,41920.4797117691
"2069/2070",2070,123,123,100,0,-2300,0,43171.4666812755
"2070/2071",2071,123,123,100,0,-2156,0,43834.1928464603
"2071/2072",2072,123,123,100,0,-2203.5,0,43608.9348865822
