"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2298,0,42787.6862205597
"2000/2001",2001,123,123,100,0,-2360.5,0,43157.5201196757
"2001/2002",2002,123,123,100,3,-2294,0,42430.2862663699
"2002/2003",2003,123,123,100,0,-2279.5,0,43165.8510632814
"2003/2004",2004,123,123,100,0,-2303,0,43359.7626217105
"2004/2005",2005,123,123,100,0,-2321,0,42435.7462512336
"2005/2006",2006,123,123,100,1,-2284.5,0,43495.5286245131
"2006/2007",2007,123,123,100,0,-2202.5,0,42359.0811342023
"2007/2008",2008,123,123,100,0,-2320,0,41226.743565584
"2008/2009",2009,123,123,100,0,-2265,0,42257.2762588796
"2009/2010",2010,123,123,100,0,-2267,0,43642.5902687106
"2010/2011",2011,123,123,100,0,-2408.5,0,43542.5682264215
"2011/2012",2012,123,123,100,0,-2271.5,0,42481.8538078696
"2012/2013",2013,123,123,100,0,-2216,0,43162.3533501644
"2013/2014",2014,123,123,100,0,-2328.5,0,42722.1833710168
"2014/2015",2015,123,123,100,0,-2296,0,41706.7390335188
"2015/2016",2016,123,123,100,0,-2360,0,42146.9914263997
"2016/2017",2017,123,123,100,0,-2411,0,41789.5476656528
"2017/2018",2018,123,123,100,0,-2422,0,43606.3369171056
"2018/2019",2019,123,123,100,4,-2144.5,0,42073.5213761278
"2019/2020",2020,123,123,100,1,-2289.5,0,42406.485562006
"2020/2021",2021,123,123,100,0,-2305,0,42738.7592304358
"2021/2022",2022,123,123,100,0,-2364,0,42129.1748475586
"2022/2023",2023,123,123,100,0,-2408,0,43620.0169568025
"2023/2024",2024,123,123,100,0,-2217.5,0,41333.0899597253
"2024/2025",2025,123,123,100,0,-2325.5,0,42226.2735812902
"2025/2026",2026,123,123,100,3,-2306,0,42555.4372500372
"2026/2027",2027,123,123,100,0,-2349,0,41736.9226833088
"2027/2028",2028,123,123,100,0,-2328.5,0,41680.4080862463
"2028/2029",2029,123,123,100,2,-2263,0,43785.7948606005
"2029/2030",2030,123,123,100,0,-2347,0,41478.3183370279
"2030/2031",2031,123,123,100,0,-2287,0,43125.2983456561
"2031/2032",2032,123,123,100,1,-2378,0,43791.5898139849
"2032/2033",2033,123,123,100,0,-2229.5,0,43459.2514936547
"2033/2034",2034,123,123,100,0,-2293,0,42140.9830643404
"2034/2035",2035,123,123,100,0,-2411.5,0,42906.0799029917
"2035/2036",2036,123,123,100,0,-2439,0,44980.225443379
"2036/2037",2037,123,123,100,0,-2310.5,0,41669.4689709079
"2037/2038",2038,123,123,100,0,-2238.5,0,42486.0211088443
"2038/2039",2039,123,123,100,0,-2343.5,0,41791.3630481269
"2039/2040",2040,123,123,100,0,-2347,0,42363.8068996146
"2040/2041",2041,123,123,100,0,-2317,0,42629.7067588279
"2041/2042",2042,123,123,100,0,-2294,0,42621.1564849438
"2042/2043",2043,123,123,100,0,-2327,0,42952.3197579961
"2043/2044",2044,123,123,100,0,-2350.5,0,43486.7346694209
"2044/2045",2045,123,123,100,0,-2446.5,0,43111.1983515881
"2045/2046",2046,123,123,100,0,-2457.5,0,43533.0515448852
"2046/2047",2047,123,123,100,0,-2393.5,0,42030.6296607582
"2047/2048",2048,123,123,100,0,-2321,0,42691.8983458765
"2048/2049",2049,123,123,100,0,-2237,0,43067.5011895923
"2049/2050",2050,123,123,100,2,-2197.5,0.999080706722177,41419.0014632931
"2050/2051",2051,123,123,100,0,-2253.5,0,42795.3877585754
"2051/2052",2052,123,123,100,5,-2229.5,0,43125.6704758964
"2052/2053",2053,123,123,100,0,-2221,0,42644.4652896542
"2053/2054",2054,123,123,100,0,-2307,0,43209.1601125672
"2054/2055",2055,123,123,100,0,-2273.5,0,42345.4754095133
"2055/2056",2056,123,123,100,0,-2191.5,0,42997.0630509015
"2056/2057",2057,123,123,100,0,-2256,0,44079.4738266738
"2057/2058",2058,123,123,100,3,-2164.5,0,41190.2561281594
"2058/2059",2059,123,123,100,0,-2317,0,42376.8876747703
"2059/2060",2060,123,123,100,0,-2243,0,41701.1352310879
"2060/2061",2061,123,123,100,4,-2294,0,43342.5350117246
"2061/2062",2062,123,123,100,0,-2255,0,44047.5139711779
"2062/2063",2063,123,123,100,0,-2320,0,42816.9889145102
"2063/2064",2064,123,123,100,0,-2220.5,0,42623.0961776581
"2064/2065",2065,123,123,100,0,-2343.5,0,42099.7559643351
"2065/2066",2066,123,123,100,0,-2293,0,41521.3663067818
"2066/2067",2067,123,123,100,0,-2271,0,43008.1174555775
"2067/2068",2068,123,123,100,0,-2332,0,42676.0327764414
"2068/2069",2069,123,123,100,0,-2373,0,41031.0659679472
"2069/2070",2070,123,123,100,0,-2364,0,42574.4595725797
"2070/2071",2071,123,123,100,0,-2223,0,43328.0735613629
"2071/2072",2072,123,123,100,0,-2265.5,0,42836.4787403736
"2072/2073",2073,123,123,100,7,-2135,0,40774.0474446099
"2073/2074",2074,123,123,100,0,-2170.5,0,43395.9292511512
"2074/2075",2075,123,123,100,0,-2262.5,0,44049.972933704
"2075/2076",2076,123,123,100,0,-2320,0,42914.6323096976
"2076/2077",2077,123,123,100,0,-2352,0,42385.4340647776
"2077/2078",2078,123,123,100,0,-2269.5,0,43306.2894774023
"2078/2079",2079,123,123,100,0,-2314.5,0,42960.4630788341
"2079/2080",2080,123,123,100,2,-2256,0,41952.3094414622
"2080/2081",2081,123,123,100,0,-2236.5,0,43081.9339294992
"2081/2082",2082,123,123,100,0,-2210,0,42767.5191961545
"2082/2083",2083,123,123,100,0,-2340,0,43848.4857937284
"2083/2084",2084,123,123,100,0,-2310,0,42031.6328118593
"2084/2085",2085,123,123,100,0,-2271,0,42231.2117232047
"2085/2086",2086,123,123,100,1,-2426,0,42672.2812925261
"2086/2087",2087,123,123,100,4,-2092,0,40793.1052299794
"2087/2088",2088,123,123,100,0,-2325,0,43602.1421117485
"2088/2089",2089,123,123,100,0,-2283.5,0,43816.0482483506
"2089/2090",2090,123,123,100,0,-2332,0,42915.1406837497
"2090/2091",2091,123,123,100,0,-2353.5,0,45071.4914907627
"2091/2092",2092,123,123,100,0,-2251,0,42598.9111549743
"2092/2093",2093,123,123,100,0,-2475.5,0,43524.589100603
"2093/2094",2094,123,123,100,0,-2458.5,0,43745.2672657575
"2094/2095",2095,123,123,100,0,-2226.5,0,41914.2685353905
"2095/2096",2096,123,123,100,0,-2284,0,43722.0912189838
"2096/2097",2097,123,123,100,0,-2376.5,0,42726.2470968813
"2097/2098",2098,123,123,100,0,-2366,0,43902.8687281776
"2098/2099",2099,123,123,100,0,-2257,0,42641.5806944463
"2099/2100",2100,123,123,100,0,-2382.5,0,42669.4375203587
