"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2003.5,0,42976.3466514649
"2000/2001",2001,123,123,100,0,-2094.5,0,43735.1975981978
"2001/2002",2002,123,123,100,4,-2026.5,0,43075.8386121511
"2002/2003",2003,123,123,100,0,-1991,0,43354.1870800389
"2003/2004",2004,123,123,100,0,-2031,0,43906.0120655418
"2004/2005",2005,123,123,100,1,-2026,0,42694.0203473929
"2005/2006",2006,123,123,100,2,-2031,0,43800.2231914998
"2006/2007",2007,123,123,100,2,-1917.5,1.00440578822181,42120.185111993
"2007/2008",2008,123,123,100,2,-2067,0,41943.4820172326
"2008/2009",2009,123,123,100,1,-1987,0,42597.598094203
"2009/2010",2010,123,123,100,0,-1946.5,0,43464.0245446817
"2010/2011",2011,123,123,100,2,-2120.5,0,44253.3969541849
"2011/2012",2012,123,123,100,0,-1984.5,0,42876.9909792177
"2012/2013",2013,123,123,100,2,-1908.5,0,42967.7293754511
"2013/2014",2014,123,123,100,0,-2043.5,0,43071.7105353768
"2014/2015",2015,123,123,100,1,-2021,0,42168.5328020109
"2015/2016",2016,123,123,100,0,-2087,0,42903.0477258945
"2016/2017",2017,123,123,100,0,-2156,0,42633.3273719065
"2017/2018",2018,123,123,100,0,-2148.5,0,43957.2378334943
"2018/2019",2019,123,123,100,12,-1865.5,0.980871224351559,42097.2819303661
"2019/2020",2020,123,123,100,3,-2004.5,0,43006.2725600968
"2020/2021",2021,123,123,100,1,-2022.5,0,43181.3604473337
"2021/2022",2022,123,123,100,0,-2066,0,42648.6718131118
"2022/2023",2023,123,123,100,2,-2138.5,1.01093725441395,44257.6099831467
"2023/2024",2024,123,123,100,0,-1932,0,41766.6199938552
"2024/2025",2025,123,123,100,0,-2048.5,1.01514456209379,42544.7527750959
"2025/2026",2026,123,123,100,5,-2021.5,0,42713.6580026406
"2026/2027",2027,123,123,100,0,-2067.5,0,42550.5366570349
"2027/2028",2028,123,123,100,1,-2064.5,0,42373.7835765346
"2028/2029",2029,123,123,100,6,-1968,0,43699.5834618416
"2029/2030",2030,123,123,100,0,-2083,0,42309.4614274213
"2030/2031",2031,123,123,100,2,-1982.5,0,42990.2122250935
"2031/2032",2032,123,123,100,6,-2095.5,0,44106.2980471104
"2032/2033",2033,123,123,100,0,-1913,0,43286.6461830521
"2033/2034",2034,123,123,100,0,-2005,0,42656.7369119758
"2034/2035",2035,123,123,100,0,-2149.5,0,43495.6940703783
"2035/2036",2036,123,123,100,0,-2152,0,45183.7694910401
"2036/2037",2037,123,123,100,0,-2041.5,0,41907.5773390466
"2037/2038",2038,123,123,100,0,-1931,0,42581.8643605188
"2038/2039",2039,123,123,100,0,-2085.5,0,42610.3845524685
"2039/2040",2040,123,123,100,0,-2069,0,42956.1229156591
"2040/2041",2041,123,123,100,0,-2056,0,43133.6794049423
"2041/2042",2042,123,123,100,0,-1999,0,42841.6150628254
"2042/2043",2043,123,123,100,0,-2073.5,0,43606.9214242175
"2043/2044",2044,123,123,100,0,-2070.5,0,43882.1118837548
"2044/2045",2045,123,123,100,0,-2165,0,43726.128779782
"2045/2046",2046,123,123,100,0,-2193,0,44235.630823547
"2046/2047",2047,123,123,100,0,-2117,0,42582.9271707311
"2047/2048",2048,123,123,100,3,-2047,0,43370.9245633623
"2048/2049",2049,123,123,100,0,-1971.5,0,43317.8698373353
"2049/2050",2050,123,123,100,8,-1902,4.05531231228888,41564.4641086794
"2050/2051",2051,123,123,100,0,-1973,0,43009.7177914893
"2051/2052",2052,123,123,100,7,-1918.5,0,42892.0258027231
"2052/2053",2053,123,123,100,0,-1928,0,42953.5483846935
"2053/2054",2054,123,123,100,0,-2023.5,0,43402.4455670835
"2054/2055",2055,123,123,100,0,-1985.5,0,42927.3498985283
"2055/2056",2056,123,123,100,0,-1916.5,0,43257.0506443847
"2056/2057",2057,123,123,100,0,-1975.5,0,43903.0379823102
"2057/2058",2058,123,123,100,6,-1888,0,41700.5551839815
"2058/2059",2059,123,123,100,0,-2040,0,42829.6156300753
"2059/2060",2060,123,123,100,1,-1958,0,42054.7391888537
"2060/2061",2061,123,123,100,7,-2026.5,1.01567421028338,43828.8852706496
"2061/2062",2062,123,123,100,1,-1959.5,0,44300.2069700696
"2062/2063",2063,123,123,100,0,-2040,0,43158.792667523
"2063/2064",2064,123,123,100,0,-1920.5,0.999183725287097,42643.1375069004
"2064/2065",2065,123,123,100,0,-2070,0,42785.5767944995
"2065/2066",2066,123,123,100,2,-2024.5,0,42021.6988278553
"2066/2067",2067,123,123,100,2,-1982.5,0,43430.9067058023
"2067/2068",2068,123,123,100,0,-2059.5,0,43094.6290959492
"2068/2069",2069,123,123,100,0,-2118.5,0,42056.9836091064
"2069/2070",2070,123,123,100,0,-2102.5,0,43214.3460184503
"2070/2071",2071,123,123,100,0,-1925,0,43357.0923541896
"2071/2072",2072,123,123,100,0,-1974.5,0,43215.4992405735
"2072/2073",2073,123,123,100,8,-1849.5,1.0069804032045,40948.4273807462
"2073/2074",2074,123,123,100,0,-1844,0,43125.4726971574
"2074/2075",2075,123,123,100,0,-1964.5,0,43939.1597397104
"2075/2076",2076,123,123,100,0,-2040.5,0,43300.7054894846
"2076/2077",2077,123,123,100,0,-2086,0,42813.3967985678
"2077/2078",2078,123,123,100,0,-1970.5,0,43452.7152923457
"2078/2079",2079,123,123,100,0,-2019,0,43318.5105393883
"2079/2080",2080,123,123,100,5,-1993.5,0,42678.4772549663
"2080/2081",2081,123,123,100,0,-1918,0,42876.1437805388
"2081/2082",2082,123,123,100,2,-1930,0,42939.2602437753
"2082/2083",2083,123,123,100,2,-2053.5,0,43828.4345353134
"2083/2084",2084,123,123,100,0,-2033.5,0,42373.1484844703
"2084/2085",2085,123,123,100,0,-2011,0,42366.7071880177
"2085/2086",2086,123,123,100,3,-2152,0,43214.8405258078
"2086/2087",2087,123,123,100,5,-1803,1.00166374994284,41033.0096960589
"2087/2088",2088,123,123,100,0,-2032.5,0,43768.1441302262
"2088/2089",2089,123,123,100,0,-1973,0,43109.7175919823
"2089/2090",2090,123,123,100,0,-2058,0,43375.6057869196
"2090/2091",2091,123,123,100,0,-2050.5,0,45001.4100422803
"2091/2092",2092,123,123,100,1,-1962,1.01158324680356,42674.6579828449
