"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2282.5,0,43279.6996601954
"2000/2001",2001,123,123,100,0,-2359,0,44008.6198613027
"2001/2002",2002,123,123,100,2,-2301,0,43373.7332620366
"2002/2003",2003,123,123,100,0,-2273,0,43903.5429605966
"2003/2004",2004,123,123,100,0,-2296.5,0,44357.7291884559
"2004/2005",2005,123,123,100,0,-2301.5,0,43076.9552981631
"2005/2006",2006,123,123,100,0,-2288,0,44253.8700049755
"2006/2007",2007,123,123,100,0,-2183.5,0,42863.2011609363
"2007/2008",2008,123,123,100,0,-2324,0,42156.8310867937
"2008/2009",2009,123,123,100,0,-2251,0,42930.4023744168
"2009/2010",2010,123,123,100,0,-2255,0,44329.229324223
"2010/2011",2011,123,123,100,0,-2389.5,0,44395.3513437533
"2011/2012",2012,123,123,100,0,-2263.5,0,43309.14158492
"2012/2013",2013,123,123,100,0,-2203.5,0,43752.2858666559
"2013/2014",2014,123,123,100,0,-2320,0,43434.9756685891
"2014/2015",2015,123,123,100,0,-2284.5,0,42476.5211949695
"2015/2016",2016,123,123,100,0,-2367,0,43126.388818895
"2016/2017",2017,123,123,100,0,-2414.5,0,42674.6808387982
"2017/2018",2018,123,123,100,0,-2400.5,0,44309.8189730886
"2018/2019",2019,123,123,100,3,-2134.5,0,42598.9886249951
"2019/2020",2020,123,123,100,0,-2286.5,0,43439.3349320162
"2020/2021",2021,123,123,100,0,-2299.5,0,43530.0773610831
"2021/2022",2022,123,123,100,0,-2350.5,0,42935.0512620457
"2022/2023",2023,123,123,100,0,-2399,0,44384.7767162942
"2023/2024",2024,123,123,100,0,-2210,0,42203.0926537779
"2024/2025",2025,123,123,100,0,-2326.5,0,42877.467555169
"2025/2026",2026,123,123,100,2,-2283.5,0,43108.0290276748
"2026/2027",2027,123,123,100,0,-2342.5,0,42671.9224796053
"2027/2028",2028,123,123,100,0,-2332,0,42644.4697623109
"2028/2029",2029,123,123,100,1,-2258.5,0,44444.816519592
"2029/2030",2030,123,123,100,0,-2348.5,0,42410.3352612839
"2030/2031",2031,123,123,100,0,-2272,0,43700.0563815348
"2031/2032",2032,123,123,100,0,-2369.5,0,44585.0491264882
"2032/2033",2033,123,123,100,0,-2217,0,44170.2527545569
"2033/2034",2034,123,123,100,0,-2287.5,0,43054.9392829128
"2034/2035",2035,123,123,100,0,-2397.5,0,43712.7382042557
"2035/2036",2036,123,123,100,0,-2428.5,0,45670.2399248555
"2036/2037",2037,123,123,100,0,-2298,0,42361.4421456251
"2037/2038",2038,123,123,100,0,-2237,0,43270.3707441231
"2038/2039",2039,123,123,100,0,-2345.5,0,42770.7102834564
"2039/2040",2040,123,123,100,0,-2331,0,43177.2710782243
"2040/2041",2041,123,123,100,0,-2312,0,43396.1725244913
"2041/2042",2042,123,123,100,0,-2294.5,0,43398.81143275
"2042/2043",2043,123,123,100,0,-2334.5,0,43928.9707006728
"2043/2044",2044,123,123,100,0,-2349,0,44303.1182840178
"2044/2045",2045,123,123,100,0,-2438.5,0,43932.8819899829
"2045/2046",2046,123,123,100,0,-2464,0,44483.9552630633
"2046/2047",2047,123,123,100,0,-2384.5,0,42858.2928184103
"2047/2048",2048,123,123,100,0,-2319.5,0,43647.672351107
"2048/2049",2049,123,123,100,0,-2244,0,43878.3097405955
"2049/2050",2050,123,123,100,3,-2173,1.00449613259725,41928.088181464
"2050/2051",2051,123,123,100,0,-2252.5,0,43609.4621328488
"2051/2052",2052,123,123,100,4,-2211,0,43798.350207489
"2052/2053",2053,123,123,100,0,-2223.5,0,43531.5955149364
"2053/2054",2054,123,123,100,0,-2299.5,0,43949.3066728571
"2054/2055",2055,123,123,100,0,-2270,0,43281.1831865218
"2055/2056",2056,123,123,100,0,-2184.5,0,43687.1072073411
"2056/2057",2057,123,123,100,0,-2242,0,44680.4375049723
"2057/2058",2058,123,123,100,2,-2161,0,42029.3044731198
"2058/2059",2059,123,123,100,0,-2313,0,43256.201527847
"2059/2060",2060,123,123,100,0,-2237.5,0,42363.3509731563
"2060/2061",2061,123,123,100,4,-2298.5,1.0044020004546,44162.4881736394
"2061/2062",2062,123,123,100,0,-2252,0,44980.9026198145
"2062/2063",2063,123,123,100,0,-2311,0,43636.9119675634
"2063/2064",2064,123,123,100,0,-2203.5,0,43188.6090802755
"2064/2065",2065,123,123,100,0,-2340.5,0,42954.6778009329
"2065/2066",2066,123,123,100,0,-2283,0,42210.9982300792
"2066/2067",2067,123,123,100,0,-2262.5,0,43851.3614008464
"2067/2068",2068,123,123,100,0,-2332,0,43491.3852933459
"2068/2069",2069,123,123,100,0,-2372,0,42018.8465926871
"2069/2070",2070,123,123,100,0,-2355.5,0,43388.4783926681
"2070/2071",2071,123,123,100,0,-2213,0,44157.7419875395
"2071/2072",2072,123,123,100,0,-2260,0,43696.753387358
"2072/2073",2073,123,123,100,5,-2131.5,0,41369.5354824252
"2073/2074",2074,123,123,100,0,-2158.5,0,44052.2295693997
"2074/2075",2075,123,123,100,0,-2255,0,44895.2689277325
"2075/2076",2076,123,123,100,0,-2310.5,0,43644.9446778428
"2076/2077",2077,123,123,100,0,-2353,0,43103.3745540343
"2077/2078",2078,123,123,100,0,-2250.5,0,43889.8604164552
"2078/2079",2079,123,123,100,0,-2306.5,0,43753.2906138096
"2079/2080",2080,123,123,100,1,-2259.5,0,42877.3423293382
"2080/2081",2081,123,123,100,0,-2215,0,43755.3940139115
"2081/2082",2082,123,123,100,0,-2211.5,0,43548.0383003782
"2082/2083",2083,123,123,100,0,-2313,0,44376.2561609298
"2083/2084",2084,123,123,100,0,-2297,0,42792.1063346919
"2084/2085",2085,123,123,100,0,-2269.5,0,42919.7716088984
"2085/2086",2086,123,123,100,1,-2420,0,43443.0642854813
"2086/2087",2087,123,123,100,4,-2099.5,0,41782.408828171
"2087/2088",2088,123,123,100,0,-2309,0,44165.2694519069
"2088/2089",2089,123,123,100,0,-2255.5,0,44234.2570751626
"2089/2090",2090,123,123,100,0,-2328,0,43713.9303534813
"2090/2091",2091,123,123,100,0,-2339,0,45813.7849685811
"2091/2092",2092,123,123,100,0,-2241,0,43354.6605461575
"2092/2093",2093,123,123,100,0,-2478.5,0,44366.650311131
"2093/2094",2094,123,123,100,0,-2455,0,44565.3952964023
"2094/2095",2095,123,123,100,0,-2226.5,0,42686.8566775173
"2095/2096",2096,123,123,100,0,-2268,0,44487.8635185938
"2096/2097",2097,123,123,100,0,-2373,0,43450.5918710176
"2097/2098",2098,123,123,100,0,-2354.5,0,44658.1678192746
"2098/2099",2099,123,123,100,0,-2254,0,43363.6540372651
"2099/2100",2100,123,123,100,0,-2381,0,43481.6033558883
