"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2772.5,0,42996.0146736107
"2000/2001",2001,123,123,100,0,-2802,0,42636.7812502204
"2001/2002",2002,123,123,100,0,-2765.5,0,42088.7607091091
"2002/2003",2003,123,123,100,0,-2774,0,43258.4023548156
"2003/2004",2004,123,123,100,0,-2780.5,0,43030.9253518208
"2004/2005",2005,123,123,100,0,-2796,0,42534.6221975955
"2005/2006",2006,123,123,100,0,-2745.5,0,43067.1475698677
"2006/2007",2007,123,123,100,0,-2709.5,0,42694.8485170266
"2007/2008",2008,123,123,100,0,-2773.5,0,40959.0548766218
"2008/2009",2009,123,123,100,0,-2750.5,0,42018.0026835371
"2009/2010",2010,123,123,100,0,-2793,0,43929.1210256722
"2010/2011",2011,123,123,100,0,-2830.5,0,42856.4529421658
"2011/2012",2012,123,123,100,0,-2747.5,0,42675.3721613081
"2012/2013",2013,123,123,100,0,-2733.5,0,43561.1574542881
"2013/2014",2014,123,123,100,0,-2796,0,42436.5771657436
"2014/2015",2015,123,123,100,0,-2769.5,0,41380.9897658143
"2015/2016",2016,123,123,100,0,-2810.5,0,41668.4137050023
"2016/2017",2017,123,123,100,0,-2831,0,40979.0303923506
"2017/2018",2018,123,123,100,0,-2836,0,42699.8195157144
"2018/2019",2019,123,123,100,0,-2652,0,42682.6650371039
"2019/2020",2020,123,123,100,0,-2777,0,42258.8202923066
"2020/2021",2021,123,123,100,0,-2787,0,42632.9252614919
"2021/2022",2022,123,123,100,0,-2826.5,0,42032.8671873757
"2022/2023",2023,123,123,100,0,-2810.5,0,42983.0606305711
"2023/2024",2024,123,123,100,0,-2741,0,41516.40943752
"2024/2025",2025,123,123,100,0,-2779.5,0,42167.5489282729
"2025/2026",2026,123,123,100,0,-2774,0,42358.4927550904
"2026/2027",2027,123,123,100,0,-2809.5,0,41290.992924138
"2027/2028",2028,123,123,100,0,-2787,0,41221.0522739552
"2028/2029",2029,123,123,100,0,-2761,0,43752.8916499284
"2029/2030",2030,123,123,100,0,-2780,0,40866.2490610876
"2030/2031",2031,123,123,100,0,-2774.5,0,43072.987704433
"2031/2032",2032,123,123,100,0,-2811.5,0,43226.5627239184
"2032/2033",2033,123,123,100,0,-2780,0,43784.4464228828
