"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2706,0,50901.6576456256
"2000/2001",2001,123,123,100,0,-2698,0,51217.1288729029
"2001/2002",2002,123,123,100,0,-2653,0,51480.0135890789
"2002/2003",2003,123,123,100,0,-2775,0,52463.2567786747
"2003/2004",2004,123,123,100,0,-2738.5,0,51504.9014528829
"2004/2005",2005,123,123,100,0,-2608.5,0,50592.7548630183
"2005/2006",2006,123,123,100,0,-2701,0,49227.7955430924
"2006/2007",2007,123,123,100,0,-2710.5,0,49460.8146993064
"2007/2008",2008,123,123,100,0,-2493,0,50523.3828686043
"2008/2009",2009,123,123,100,0,-2693,0,51897.3822316909
"2009/2010",2010,123,123,100,0,-2757.5,0,52137.9044510138
"2010/2011",2011,123,123,100,0,-2672.5,0,51970.2429847999
"2011/2012",2012,123,123,100,0,-2679.5,0,51721.6500376228
"2012/2013",2013,123,123,100,0,-2754,0,51846.4002438553
"2013/2014",2014,123,123,100,0,-2678.5,0,51790.5196520672
"2014/2015",2015,123,123,100,0,-2597,0,51702.4196498757
"2015/2016",2016,123,123,100,0,-2613.5,0,51334.5177449551
"2016/2017",2017,123,123,100,0,-2559.5,0,51174.6510796193
"2017/2018",2018,123,123,100,0,-2711,0,50272.8734537954
"2018/2019",2019,123,123,100,0,-2680.5,0,51322.7522583944
"2019/2020",2020,123,123,100,0,-2587.5,0,51547.2038885858
"2020/2021",2021,123,123,100,0,-2694.5,0,52219.564099513
"2021/2022",2022,123,123,100,0,-2612,0,51785.6577031589
"2022/2023",2023,123,123,100,0,-2761.5,0,50604.9650230315
"2023/2024",2024,123,123,100,0,-2540.5,0,50948.2072504037
"2024/2025",2025,123,123,100,0,-2626.5,0,50256.9324213071
"2025/2026",2026,123,123,100,0,-2723,0,51434.7919847537
"2026/2027",2027,123,123,100,0,-2607.5,0,51841.5404826128
"2027/2028",2028,123,123,100,0,-2530,0,49901.6156376391
"2028/2029",2029,123,123,100,0,-2747,0,51605.309439674
"2029/2030",2030,123,123,100,0,-2543.5,0,50706.7820685413
"2030/2031",2031,123,123,100,0,-2700.5,0,51522.367725173
"2031/2032",2032,123,123,100,0,-2654.5,0,49860.2951453933
