"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2952,0,47551.6653031652
"2000/2001",2001,123,123,100,0,-2936.5,0,48093.4047540195
"2001/2002",2002,123,123,100,0,-2952,0,50317.8300036146
"2002/2003",2003,123,123,100,0,-2950.5,0,49094.4097930416
"2003/2004",2004,123,123,100,0,-2949.5,0,48023.1287880325
"2004/2005",2005,123,123,100,0,-2944,0,48163.2794963691
"2005/2006",2006,123,123,100,0,-2950,0,45010.2977159475
"2006/2007",2007,123,123,100,0,-2952,0,44070.9811394124
"2007/2008",2008,123,123,100,0,-2914.5,0,50957.0768629014
"2008/2009",2009,123,123,100,0,-2945,0,50023.1083759188
"2009/2010",2010,123,123,100,0,-2952,0,47975.4848270104
"2010/2011",2011,123,123,100,0,-2952,0,49841.6046295457
"2011/2012",2012,123,123,100,0,-2947,0,49481.9048973047
"2012/2013",2013,123,123,100,0,-2950.5,0,47905.0746574763
"2013/2014",2014,123,123,100,0,-2941.5,0,49514.2818217878
"2014/2015",2015,123,123,100,0,-2945,0,51249.9400743907
"2015/2016",2016,123,123,100,0,-2935,0,50816.8287406792
"2016/2017",2017,123,123,100,0,-2942.5,0,50736.3703596364
"2017/2018",2018,123,123,100,0,-2946,0,46117.3302732715
"2018/2019",2019,123,123,100,0,-2945.5,0,48879.7892101877
"2019/2020",2020,123,123,100,0,-2948.5,0,51004.915279686
"2020/2021",2021,123,123,100,0,-2944.5,0,50162.653641562
"2021/2022",2022,123,123,100,0,-2948.5,0,50272.9315173882
"2022/2023",2023,123,123,100,0,-2952,0,46789.7610928058
"2023/2024",2024,123,123,100,0,-2948.5,0,50723.4425366661
"2024/2025",2025,123,123,100,0,-2930.5,0,47319.2930787243
"2025/2026",2026,123,123,100,0,-2951.5,0,47982.1413916834
"2026/2027",2027,123,123,100,0,-2952,0,51435.6458332487
"2027/2028",2028,123,123,100,0,-2940,0,49227.750972901
"2028/2029",2029,123,123,100,0,-2951.5,0,47403.6499762083
"2029/2030",2030,123,123,100,0,-2952,0,50716.9743496301
"2030/2031",2031,123,123,100,0,-2950.5,0,47527.7588258879
"2031/2032",2032,123,123,100,0,-2949,0,46020.7045087623
"2032/2033",2033,123,123,100,0,-2952,0,49650.4256693702
"2033/2034",2034,123,123,100,0,-2946,0,50699.8387707807
"2034/2035",2035,123,123,100,0,-2952,0,47044.5359973926
"2035/2036",2036,123,123,100,0,-2952,0,44711.6533965552
"2036/2037",2037,123,123,100,0,-2944,0,49672.5126618883
"2037/2038",2038,123,123,100,0,-2932,0,49561.9598587668
"2038/2039",2039,123,123,100,0,-2925,0,51429.8617579481
"2039/2040",2040,123,123,100,0,-2943,0,50056.4842443755
"2040/2041",2041,123,123,100,0,-2937.5,0,48572.3188465256
"2041/2042",2042,123,123,100,0,-2939,0,48219.3109628353
"2042/2043",2043,123,123,100,0,-2952,0,48870.0352370143
"2043/2044",2044,123,123,100,0,-2952,0,47297.5799419992
"2044/2045",2045,123,123,100,0,-2940.5,0,47821.0549943838
"2045/2046",2046,123,123,100,0,-2949.5,0,47755.1744165216
"2046/2047",2047,123,123,100,0,-2940.5,0,48892.4088164065
"2047/2048",2048,123,123,100,0,-2952,0,49707.8731377581
"2048/2049",2049,123,123,100,0,-2952,0,49617.7241762504
"2049/2050",2050,123,123,100,0,-2938.5,0,46832.6081937915
"2050/2051",2051,123,123,100,0,-2944,0,49536.8286667382
"2051/2052",2052,123,123,100,0,-2952,0,47197.6157200076
"2052/2053",2053,123,123,100,0,-2948.5,0,49911.276090947
"2053/2054",2054,123,123,100,0,-2936.5,0,48494.0189879918
"2054/2055",2055,123,123,100,0,-2950.5,0,50898.7071349472
"2055/2056",2056,123,123,100,0,-2952,0,49258.2469180468
"2056/2057",2057,123,123,100,0,-2949.5,0,45438.3306084629
"2057/2058",2058,123,123,100,0,-2951,0,51249.5897198496
"2058/2059",2059,123,123,100,0,-2942.5,0,49781.825666301
"2059/2060",2060,123,123,100,0,-2950,0,50406.9429024672
"2060/2061",2061,123,123,100,0,-2952,0,47150.2196238423
"2061/2062",2062,123,123,100,0,-2952,0,44977.7330522565
"2062/2063",2063,123,123,100,0,-2946.5,0,49157.6911967508
"2063/2064",2064,123,123,100,0,-2949.5,0,49473.5329272691
"2064/2065",2065,123,123,100,0,-2950,0,49860.050677835
"2065/2066",2066,123,123,100,0,-2936.5,0,51185.8172914889
"2066/2067",2067,123,123,100,0,-2952,0,49059.0896733608
"2067/2068",2068,123,123,100,0,-2951.5,0,48828.1549374796
"2068/2069",2069,123,123,100,0,-2950,0,50697.6091639269
"2069/2070",2070,123,123,100,0,-2952,0,49976.8888496272
"2070/2071",2071,123,123,100,0,-2950,0,48195.2194351684
"2071/2072",2072,123,123,100,0,-2951,0,48832.829380665
"2072/2073",2073,123,123,100,0,-2945,0,51188.7329760827
"2073/2074",2074,123,123,100,0,-2952,0,49179.900397256
"2074/2075",2075,123,123,100,0,-2949.5,0,45364.1896952558
"2075/2076",2076,123,123,100,0,-2943.5,0,49633.8213042375
"2076/2077",2077,123,123,100,0,-2934.5,0,49031.3420414198
"2077/2078",2078,123,123,100,0,-2952,0,49211.8079349641
"2078/2079",2079,123,123,100,0,-2943,0,49392.8450272549
"2079/2080",2080,123,123,100,0,-2947.5,0,49487.2071570288
"2080/2081",2081,123,123,100,0,-2947.5,0,48068.4625091534
"2081/2082",2082,123,123,100,0,-2952,0,49778.1487939507
"2082/2083",2083,123,123,100,0,-2945.5,0,45904.8241530191
"2083/2084",2084,123,123,100,0,-2896.5,0,48593.5275696646
"2084/2085",2085,123,123,100,0,-2932,0,48993.4033776503
"2085/2086",2086,123,123,100,0,-2939.5,0,48845.7126738019
"2086/2087",2087,123,123,100,0,-2949.5,0,51615.4628274553
"2087/2088",2088,123,123,100,0,-2952,0,48909.3434076421
"2088/2089",2089,123,123,100,0,-2951,0,46030.6665754467
"2089/2090",2090,123,123,100,0,-2948.5,0,48746.9864060003
"2090/2091",2091,123,123,100,0,-2952,0,44562.5646574963
"2091/2092",2092,123,123,100,0,-2950,0,48120.2325292192
"2092/2093",2093,123,123,100,0,-2951,0,48222.144908011
"2093/2094",2094,123,123,100,0,-2938,0,48084.3515458852
"2094/2095",2095,123,123,100,0,-2944,0,49611.0984449461
"2095/2096",2096,123,123,100,0,-2951.5,0,49692.1055338271
"2096/2097",2097,123,123,100,0,-2947.5,0,49317.3793982007
"2097/2098",2098,123,123,100,0,-2952,0,47064.7311214153
"2098/2099",2099,123,123,100,0,-2939.5,0,48302.6048652716
"2099/2100",2100,123,123,100,0,-2948.5,0,48047.7536694203
