"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2950.5,0,39169.1281803924
"2000/2001",2001,123,123,100,0,-2950.5,0,39304.8641899374
"2001/2002",2002,123,123,100,0,-2948.5,0,38186.7747577112
"2002/2003",2003,123,123,100,0,-2947.5,0,39172.6613248815
"2003/2004",2004,123,123,100,0,-2950.5,0,39154.7114613264
"2004/2005",2005,123,123,100,0,-2939,0,38441.64113836
"2005/2006",2006,123,123,100,0,-2927.5,0,39497.5977886454
"2006/2007",2007,123,123,100,0,-2891.5,0,39625.8146338281
"2007/2008",2008,123,123,100,0,-2944.5,0,36562.5240283851
"2008/2009",2009,123,123,100,0,-2952,0,38329.6337175604
"2009/2010",2010,123,123,100,0,-2948.5,0,38430.9601185389
"2010/2011",2011,123,123,100,0,-2952,0,39320.3992286692
"2011/2012",2012,123,123,100,0,-2952,0,38259.5572739593
"2012/2013",2013,123,123,100,0,-2947.5,0,38880.2302229137
"2013/2014",2014,123,123,100,0,-2948,0,38913.845505438
"2014/2015",2015,123,123,100,0,-2949,0,37319.8848842119
"2015/2016",2016,123,123,100,0,-2952,0,37871.7573976973
"2016/2017",2017,123,123,100,0,-2952,0,38302.621574318
"2017/2018",2018,123,123,100,0,-2950.5,0,40278.7339153518
"2018/2019",2019,123,123,100,0,-2942.5,0,38496.588176921
"2019/2020",2020,123,123,100,0,-2952,0,37719.1386210844
"2020/2021",2021,123,123,100,0,-2947.5,0,37691.1474723732
"2021/2022",2022,123,123,100,0,-2940.5,0,37392.2490381072
"2022/2023",2023,123,123,100,0,-2944.5,0,40290.1408625511
"2023/2024",2024,123,123,100,0,-2940.5,0,36106.1589920358
"2024/2025",2025,123,123,100,0,-2923,0,38302.8573896894
"2025/2026",2026,123,123,100,0,-2935,0,39683.4218108109
"2026/2027",2027,123,123,100,0,-2951.5,0,37607.0530646206
"2027/2028",2028,123,123,100,0,-2952,0,37765.2063298612
"2028/2029",2029,123,123,100,0,-2942,0,39191.3921921724
"2029/2030",2030,123,123,100,0,-2952,0,38050.6161402985
"2030/2031",2031,123,123,100,0,-2942.5,0,38738.7063170471
"2031/2032",2032,123,123,100,0,-2945,0,40027.9709286173
"2032/2033",2033,123,123,100,0,-2949,0,38240.7664680183
"2033/2034",2034,123,123,100,0,-2938.5,0,37430.7834474533
"2034/2035",2035,123,123,100,0,-2934.5,0,39831.082228031
"2035/2036",2036,123,123,100,0,-2952,0,41069.1887823818
"2036/2037",2037,123,123,100,0,-2950.5,0,37293.3480540561
"2037/2038",2038,123,123,100,0,-2946,0,37082.867742761
"2038/2039",2039,123,123,100,0,-2952,0,37080.6493327431
"2039/2040",2040,123,123,100,0,-2952,0,38213.492345212
"2040/2041",2041,123,123,100,0,-2952,0,38464.3587108897
"2041/2042",2042,123,123,100,0,-2950.5,0,37941.7833657973
"2042/2043",2043,123,123,100,0,-2950.5,0,38803.5737600429
"2043/2044",2044,123,123,100,0,-2939,0,39395.6577030504
"2044/2045",2045,123,123,100,0,-2952,0,39140.6372630103
"2045/2046",2046,123,123,100,0,-2947.5,0,40263.2407270279
"2046/2047",2047,123,123,100,0,-2950,0,37808.4313318245
"2047/2048",2048,123,123,100,0,-2952,0,39086.2458668295
"2048/2049",2049,123,123,100,0,-2949,0,39050.6205190411
"2049/2050",2050,123,123,100,0,-2917,0,38477.5965309544
"2050/2051",2051,123,123,100,0,-2941.5,0,38289.2181590237
"2051/2052",2052,123,123,100,0,-2949,0,38581.0835572649
"2052/2053",2053,123,123,100,0,-2933,0,37600.0693163676
"2053/2054",2054,123,123,100,0,-2945.5,0,38468.2917730315
"2054/2055",2055,123,123,100,0,-2952,0,37869.5408108579
"2055/2056",2056,123,123,100,0,-2952,0,38697.9079781007
"2056/2057",2057,123,123,100,0,-2941,0,39696.0388147226
"2057/2058",2058,123,123,100,0,-2952,0,37144.8707933221
"2058/2059",2059,123,123,100,0,-2948.5,0,37771.0390230827
"2059/2060",2060,123,123,100,0,-2949.5,0,37921.5732403407
