"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2951.5,0,30235.8990749617
"2000/2001",2001,123,123,100,0,-2951.5,0,30228.0766128078
"2001/2002",2002,123,123,100,0,-2952,0,29013.1506423434
"2002/2003",2003,123,123,100,0,-2951,0,30349.3879488821
"2003/2004",2004,123,123,100,0,-2952,0,30320.8631954325
"2004/2005",2005,123,123,100,0,-2941,0,29023.6139318424
"2005/2006",2006,123,123,100,0,-2939,0,30862.9519371784
"2006/2007",2007,123,123,100,0,-2909.5,0,31138.7856877629
"2007/2008",2008,123,123,100,0,-2948.5,0,27129.2091348013
"2008/2009",2009,123,123,100,0,-2952,0,29275.8389575919
"2009/2010",2010,123,123,100,0,-2952,0,29465.9470920351
"2010/2011",2011,123,123,100,0,-2952,0,29717.7095861755
"2011/2012",2012,123,123,100,0,-2952,0,29268.0341058311
"2012/2013",2013,123,123,100,0,-2951,0,30222.8312592122
"2013/2014",2014,123,123,100,0,-2950.5,0,29936.1613671209
"2014/2015",2015,123,123,100,0,-2951,0,27916.8703263693
"2015/2016",2016,123,123,100,0,-2952,0,28986.8544778312
"2016/2017",2017,123,123,100,0,-2952,0,28655.3351635456
"2017/2018",2018,123,123,100,0,-2952,0,31145.1472724648
"2018/2019",2019,123,123,100,0,-2946.5,0,29831.2430095777
"2019/2020",2020,123,123,100,0,-2952,0,28549.1996874034
"2020/2021",2021,123,123,100,0,-2951,0,28412.53805868
"2021/2022",2022,123,123,100,0,-2944.5,0,27979.7925876514
"2022/2023",2023,123,123,100,0,-2947.5,0,30795.1794101011
"2023/2024",2024,123,123,100,0,-2943,0,27039.5628789475
"2024/2025",2025,123,123,100,0,-2933,0,29293.744256648
"2025/2026",2026,123,123,100,0,-2940,0,30999.0164821674
"2026/2027",2027,123,123,100,0,-2952,0,28219.6826709476
"2027/2028",2028,123,123,100,0,-2952,0,28456.0288461139
"2028/2029",2029,123,123,100,0,-2947.5,0,30392.5236834907
"2029/2030",2030,123,123,100,0,-2952,0,28471.7850212725
"2030/2031",2031,123,123,100,0,-2945.5,0,29667.5685080756
"2031/2032",2032,123,123,100,0,-2948.5,0,30769.3269154765
"2032/2033",2033,123,123,100,0,-2951.5,0,29493.3818110833
"2033/2034",2034,123,123,100,0,-2941.5,0,28123.7941867057
"2034/2035",2035,123,123,100,0,-2939,0,30781.4600749761
"2035/2036",2036,123,123,100,0,-2952,0,32426.5839997027
"2036/2037",2037,123,123,100,0,-2952,0,28196.1789886355
"2037/2038",2038,123,123,100,0,-2949,0,27885.0641222461
"2038/2039",2039,123,123,100,0,-2952,0,27622.8124366938
"2039/2040",2040,123,123,100,0,-2952,0,28877.8130375422
"2040/2041",2041,123,123,100,0,-2952,0,28917.6087891618
"2041/2042",2042,123,123,100,0,-2952,0,28886.7798397052
"2042/2043",2043,123,123,100,0,-2952,0,29480.8007177683
"2043/2044",2044,123,123,100,0,-2948.5,0,30298.1340630343
"2044/2045",2045,123,123,100,0,-2952,0,29863.4640637003
"2045/2046",2046,123,123,100,0,-2950.5,0,30924.9321082514
"2046/2047",2047,123,123,100,0,-2951.5,0,28315.0000620657
"2047/2048",2048,123,123,100,0,-2952,0,29822.0920942337
"2048/2049",2049,123,123,100,0,-2951,0,30173.2424272802
"2049/2050",2050,123,123,100,0,-2927.5,0,29616.4011771479
"2050/2051",2051,123,123,100,0,-2944,0,29449.6266973973
"2051/2052",2052,123,123,100,0,-2951.5,0,29585.0980401132
"2052/2053",2053,123,123,100,0,-2938.5,0,28661.8087110855
"2053/2054",2054,123,123,100,0,-2948,0,29231.5116172247
"2054/2055",2055,123,123,100,0,-2952,0,28630.579735823
"2055/2056",2056,123,123,100,0,-2952,0,29793.521815055
"2056/2057",2057,123,123,100,0,-2945,0,30860.7511029821
"2057/2058",2058,123,123,100,0,-2952,0,28398.9170920076
"2058/2059",2059,123,123,100,0,-2952,0,28646.8543079561
"2059/2060",2060,123,123,100,0,-2952,0,28702.1569120092
"2060/2061",2061,123,123,100,0,-2944.5,0,31230.5157013098
"2061/2062",2062,123,123,100,0,-2952,0,31199.737731399
"2062/2063",2063,123,123,100,0,-2946.5,0,29669.1018397743
"2063/2064",2064,123,123,100,0,-2952,0,29079.0249052532
"2064/2065",2065,123,123,100,0,-2950,0,28319.5646171942
"2065/2066",2066,123,123,100,0,-2952,0,28194.4215576611
"2066/2067",2067,123,123,100,0,-2952,0,29204.0048686853
"2067/2068",2068,123,123,100,0,-2952,0,29406.0723344767
"2068/2069",2069,123,123,100,0,-2952,0,27594.3732720856
"2069/2070",2070,123,123,100,0,-2952,0,29093.725721892
"2070/2071",2071,123,123,100,0,-2952,0,29348.750574884
"2071/2072",2072,123,123,100,0,-2952,0,28681.2003250411
"2072/2073",2073,123,123,100,0,-2946,0,27148.8706847643
"2073/2074",2074,123,123,100,0,-2951,0,28884.2954429723
"2074/2075",2075,123,123,100,0,-2941.5,0,30944.8996450417
"2075/2076",2076,123,123,100,0,-2952,0,29446.4774513105
"2076/2077",2077,123,123,100,0,-2950,0,29387.5925829103
"2077/2078",2078,123,123,100,0,-2952,0,29907.066789805
"2078/2079",2079,123,123,100,0,-2951,0,28512.2320239199
"2079/2080",2080,123,123,100,0,-2951,0,28430.0099750785
"2080/2081",2081,123,123,100,0,-2952,0,28845.4781175181
"2081/2082",2082,123,123,100,0,-2947.5,0,29291.8822913142
"2082/2083",2083,123,123,100,0,-2952,0,29703.4241475463
"2083/2084",2084,123,123,100,0,-2952,0,28457.4876367962
"2084/2085",2085,123,123,100,0,-2945.5,0,28975.2035733499
"2085/2086",2086,123,123,100,0,-2950,0,29768.6598770125
"2086/2087",2087,123,123,100,0,-2946.5,0,26859.0386842592
"2087/2088",2088,123,123,100,0,-2952,0,30693.1321158297
"2088/2089",2089,123,123,100,0,-2952,0,30232.8637275929
"2089/2090",2090,123,123,100,0,-2952,0,29372.1563483085
"2090/2091",2091,123,123,100,0,-2952,0,32144.5617811736
"2091/2092",2092,123,123,100,0,-2946,0,29396.2662418606
"2092/2093",2093,123,123,100,0,-2952,0,31027.6868343093
"2093/2094",2094,123,123,100,0,-2952,0,30374.1063014045
"2094/2095",2095,123,123,100,0,-2941.5,0,28682.4827828659
"2095/2096",2096,123,123,100,0,-2952,0,29193.6451699985
"2096/2097",2097,123,123,100,0,-2952,0,29462.0307662794
"2097/2098",2098,123,123,100,0,-2935,0,31266.9853570396
"2098/2099",2099,123,123,100,0,-2952,0,28572.1407791264
"2099/2100",2100,123,123,100,0,-2944,0,29848.5647726832
