"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2952,0,9352.81034668581
"2000/2001",2001,123,123,100,0,-2952,0,8902.24019302191
"2001/2002",2002,123,123,100,0,-2952,0,8369.20119871495
"2002/2003",2003,123,123,100,0,-2952,0,9371.21930007118
"2003/2004",2004,123,123,100,0,-2952,0,9182.05815902672
"2004/2005",2005,123,123,100,0,-2948.5,0,8340.8857913817
"2005/2006",2006,123,123,100,0,-2951,0,9943.88661216665
"2006/2007",2007,123,123,100,0,-2939,0,10426.328091274
"2007/2008",2008,123,123,100,0,-2952,0,7422.67858562476
"2008/2009",2009,123,123,100,0,-2952,0,8428.56562240032
"2009/2010",2010,123,123,100,0,-2952,0,9048.76402709354
"2010/2011",2011,123,123,100,0,-2952,0,8344.35944434063
"2011/2012",2012,123,123,100,0,-2952,0,8323.88089659601
"2012/2013",2013,123,123,100,0,-2952,0,9811.67263135401
"2013/2014",2014,123,123,100,0,-2952,0,9423.85920505447
"2014/2015",2015,123,123,100,0,-2952,0,7730.44479953137
"2015/2016",2016,123,123,100,0,-2952,0,8575.09047370462
"2016/2017",2017,123,123,100,0,-2952,0,7868.79161864356
"2017/2018",2018,123,123,100,0,-2952,0,9716.58085334394
"2018/2019",2019,123,123,100,0,-2951.5,0,9335.03657962359
"2019/2020",2020,123,123,100,0,-2952,0,8026.65548980155
"2020/2021",2021,123,123,100,0,-2952,0,8195.87008148583
"2021/2022",2022,123,123,100,0,-2952,0,8299.53173799301
"2022/2023",2023,123,123,100,0,-2952,0,9381.6234810272
"2023/2024",2024,123,123,100,0,-2950.5,0,7469.40556629538
"2024/2025",2025,123,123,100,0,-2951,0,8892.32178192842
"2025/2026",2026,123,123,100,0,-2950,0,10483.1853881318
"2026/2027",2027,123,123,100,0,-2952,0,7909.91676764993
"2027/2028",2028,123,123,100,0,-2952,0,7801.10106419353
"2028/2029",2029,123,123,100,0,-2952,0,9602.20888909919
"2029/2030",2030,123,123,100,0,-2952,0,7626.98566484149
"2030/2031",2031,123,123,100,0,-2951.5,0,8718.94299635361
"2031/2032",2032,123,123,100,0,-2952,0,9234.27345806919
"2032/2033",2033,123,123,100,0,-2952,0,9084.1612802936
"2033/2034",2034,123,123,100,0,-2948,0,7934.79109679756
"2034/2035",2035,123,123,100,0,-2948,0,9653.10532097192
"2035/2036",2036,123,123,100,0,-2952,0,10437.1706885982
"2036/2037",2037,123,123,100,0,-2952,0,8310.35487398482
"2037/2038",2038,123,123,100,0,-2952,0,7831.16451301961
"2038/2039",2039,123,123,100,0,-2952,0,7497.87621718785
"2039/2040",2040,123,123,100,0,-2952,0,8240.9950640006
"2040/2041",2041,123,123,100,0,-2952,0,7950.47021362185
"2041/2042",2042,123,123,100,0,-2952,0,8279.88434326439
"2042/2043",2043,123,123,100,0,-2952,0,8307.41048384225
"2043/2044",2044,123,123,100,0,-2952,0,9505.2289062175
"2044/2045",2045,123,123,100,0,-2952,0,8601.18832694227
"2045/2046",2046,123,123,100,0,-2952,0,9231.95769036282
"2046/2047",2047,123,123,100,0,-2952,0,7756.64797598682
"2047/2048",2048,123,123,100,0,-2952,0,8464.78450926859
"2048/2049",2049,123,123,100,0,-2952,0,9310.48951921123
"2049/2050",2050,123,123,100,0,-2945.5,0,9751.15666933521
"2050/2051",2051,123,123,100,0,-2950.5,0,8882.80606993032
"2051/2052",2052,123,123,100,0,-2952,0,8927.77695477311
"2052/2053",2053,123,123,100,0,-2947.5,0,8542.94116189168
"2053/2054",2054,123,123,100,0,-2952,0,8453.03430372523
"2054/2055",2055,123,123,100,0,-2952,0,7930.42671437585
"2055/2056",2056,123,123,100,0,-2952,0,8932.72834234638
"2056/2057",2057,123,123,100,0,-2952,0,9682.55140935094
"2057/2058",2058,123,123,100,0,-2952,0,8219.06799137802
"2058/2059",2059,123,123,100,0,-2952,0,8313.54916587682
"2059/2060",2060,123,123,100,0,-2952,0,8451.73580395454
"2060/2061",2061,123,123,100,0,-2951,0,10539.8431029988
"2061/2062",2062,123,123,100,0,-2952,0,10377.0315744705
"2062/2063",2063,123,123,100,0,-2952,0,9297.20962280384
"2063/2064",2064,123,123,100,0,-2952,0,8448.91188044031
"2064/2065",2065,123,123,100,0,-2952,0,7855.42256415496
"2065/2066",2066,123,123,100,0,-2952,0,8299.08113064291
"2066/2067",2067,123,123,100,0,-2952,0,8294.7261541253
"2067/2068",2068,123,123,100,0,-2952,0,8386.14634799282
"2068/2069",2069,123,123,100,0,-2952,0,7311.565082605
"2069/2070",2070,123,123,100,0,-2952,0,8141.21316947928
"2070/2071",2071,123,123,100,0,-2952,0,8659.32612068066
"2071/2072",2072,123,123,100,0,-2952,0,8292.72703050589
"2072/2073",2073,123,123,100,0,-2952,0,7641.4106584792
"2073/2074",2074,123,123,100,0,-2952,0,8880.19409216242
"2074/2075",2075,123,123,100,0,-2948.5,0,10439.008254068
"2075/2076",2076,123,123,100,0,-2952,0,8408.58296714816
"2076/2077",2077,123,123,100,0,-2952,0,9275.54998789355
"2077/2078",2078,123,123,100,0,-2952,0,8797.61740181595
"2078/2079",2079,123,123,100,0,-2952,0,8432.28727714391
"2079/2080",2080,123,123,100,0,-2952,0,8434.6328395484
"2080/2081",2081,123,123,100,0,-2952,0,8331.04687835509
"2081/2082",2082,123,123,100,0,-2952,0,8648.85008716816
"2082/2083",2083,123,123,100,0,-2952,0,8812.64685228327
"2083/2084",2084,123,123,100,0,-2952,0,8123.7049371209
"2084/2085",2085,123,123,100,0,-2952,0,8968.26660079462
"2085/2086",2086,123,123,100,0,-2952,0,8949.00909026666
"2086/2087",2087,123,123,100,0,-2951.5,0,7440.50768888136
"2087/2088",2088,123,123,100,0,-2952,0,9362.92331801774
"2088/2089",2089,123,123,100,0,-2952,0,9158.11338924896
"2089/2090",2090,123,123,100,0,-2952,0,8822.81524336897
"2090/2091",2091,123,123,100,0,-2952,0,10735.4634677414
"2091/2092",2092,123,123,100,0,-2952,0,9073.14573052851
"2092/2093",2093,123,123,100,0,-2952,0,9208.17723359587
"2093/2094",2094,123,123,100,0,-2952,0,8845.21251863893
"2094/2095",2095,123,123,100,0,-2949.5,0,8634.18404467031
"2095/2096",2096,123,123,100,0,-2952,0,8353.38116561482
"2096/2097",2097,123,123,100,0,-2952,0,8887.02234576968
"2097/2098",2098,123,123,100,0,-2947.5,0,9742.30788571248
"2098/2099",2099,123,123,100,0,-2952,0,8466.19817329943
"2099/2100",2100,123,123,100,0,-2952,0,8686.46002273122
